Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERT;Maeva;Maeva ALBERT;CASTR;FRA;BASIC NOVICE Minimes Novices Dames;F
ARKHIPOV;Angelika;Angelika ARKHIPOV;TOUCP;FRA;N2 Poussines Filles;F
ATTARD;Carla;Carla ATTARD;NIMES;FRA;BASIC NOVICE  Juniors Seniors Dames;F
AZANZA;Victoria;Victoria AZANZA;ANGLE;FRA;CAT D Poussines Filles;F
BELLET;Marine;Marine BELLET;NIMES;FRA;CAT B Minimes Filles;F
BOUQUIER;Yaelle;Yaelle BOUQUIER;TOUCP;FRA;FEDERAL 2 Benjamines Filles;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;TOUCP;FRA;FEDERAL 2 Minimes Filles;F
BOUTON MARGAIL;Jeanne;Jeanne BOUTON MARGAIL;FONTR;FRA;CAT B Minimes Filles;F
BROQUA;Lilian;Lilian BROQUA;TOUCP;FRA;N2 Novices Messieurs;M
BRUNEVAL;Lilly;Lilly BRUNEVAL;NIMES;FRA;FEDERAL 1 Benjamines Filles;F
BUISAN;Lola;Lola BUISAN;FONTR;FRA;CAT B Benjamines Filles;F
CABIROL;Rose;Rose CABIROL;TOUCP;FRA;FEDERAL 1 Novices Dames;F
CALBO;Alexandrine;Alexandrine CALBO;TOUCP;FRA;INTERMEDIAIRE Juniors Seniors Dames;F
CALMELS;Alyson;Alyson CALMELS;TOUCP;FRA;FEDERAL 2 Benjamines Filles;F
CANEZIN;Caroline;Caroline CANEZIN;ANGLE;FRA;CAT C Minimes Filles;F
CAPACES;Judit;Judit CAPACES;FONTR;FRA;N2 Novices Dames;F
CASTELLANOS;Eva;Eva CASTELLANOS;TOUCP;FRA;FEDERAL 1 Minimes Filles;F
CATUSSE;Amandine;Amandine CATUSSE;TOUCP;FRA;BASIC NOVICE Minimes Novices Dames;F
CHATER;Sana;Sana CHATER;NIMES;FRA;CAT B Minimes Filles;F
CHAY;Candice;Candice CHAY;NIMES;FRA;CAT B Minimes Filles;F
COCHEZ;Diane;Diane COCHEZ;FONTR;FRA;CAT A Novices Dames;F
COLL COTS;Mariona;Mariona COLL COTS;FONTR;FRA;FEDERAL 1 Juniors Dames;F
COMTE--MAHIEU;Kalie;Kalie COMTE--MAHIEU;CASTR;FRA;CAT A Minimes Filles;F
COURTIN;Emy;Emy COURTIN;FONTR;FRA;CAT A Minimes Filles;F
CUENCA;Pauline;Pauline CUENCA;FONTR;FRA;FEDERAL 2 Novices Dames;F
CULLELL;Nina;Nina CULLELL;FONTR;FRA;FEDERAL 1 Juniors Dames;F
CULLELL;Fanny;Fanny CULLELL;FONTR;FRA;CAT A Minimes Filles;F
DENOYELLE;Leonie;Leonie DENOYELLE;NIMES;FRA;BASIC NOVICE Minimes Novices Dames;F
DUBROCA;Polina;Polina DUBROCA;ANGLE;FRA;N2 Minimes Filles;F
DUPEYROUX;Clemence;Clemence DUPEYROUX;NARBO;FRA;CAT C Minimes Filles;F
ERNY;Saskia;Saskia ERNY;TOUCP;FRA;FEDERAL 1 Benjamines Filles;F
ERY-PEYTAVY;Zoé;Zoé ERY-PEYTAVY;CASTR;FRA;BASIC NOVICE Minimes Novices Dames;F
ESCAPE;Chloé;Chloé ESCAPE;FONTR;FRA;FEDERAL 2 Minimes Filles;F
ETIENNE;Margaux;Margaux ETIENNE;CASTR;FRA;CAT B Minimes Filles;F
FANGARI;Sarah;Sarah FANGARI;ANGLE;FRA;CAT A Novices Dames;F
FAVARETTO;Anais;Anais FAVARETTO;ANGLE;FRA;BASIC NOVICE Minimes Novices Dames;F
GARCIA;Jeanne;Jeanne GARCIA;CASTR;FRA;FEDERAL 2 Novices Dames;F
GARCIA;Lya;Lya GARCIA;NARBO;FRA;FEDERAL 1 Minimes Filles;F
GAUTHIER;Leylou;Leylou GAUTHIER;NARBO;FRA;FEDERAL 1 Novices Dames;F
GLORIEUX;Justine;Justine GLORIEUX;NIMES;FRA;FEDERAL 2 Benjamines Filles;F
GLORIEUX;Alice;Alice GLORIEUX;NIMES;FRA;CAT A Novices Dames;F
GOYARD;Luna;Luna GOYARD;NARBO;FRA;BASIC NOVICE Minimes Novices Dames;F
GRATALON;Maloe;Maloe GRATALON;NIMES;FRA;FEDERAL 2 Benjamines Filles;F
GUICHOU;Elina;Elina GUICHOU;NARBO;FRA;BASIC NOVICE Minimes Novices Dames;F
GUILLOTEAU;Hugo;Hugo GUILLOTEAU;TOUCP;FRA;FEDERAL 1 Novices Messsieurs;F
HAIDAR;Rita;Rita HAIDAR;NIMES;FRA;CAT B Benjamines Filles;F
HERVE;Mia;Mia HERVE;TOUCP;FRA;FEDERAL 1 Benjamines Filles;F
HOET;Emma;Emma HOET;FONTR;FRA;CAT C Novices Dames;F
ISMAILI;Zakaria;Zakaria ISMAILI;NIMES;FRA;INTERMEDIAIRE Juniors Seniors Messieurs;M
KARMOUNI;Lina;Lina KARMOUNI;NIMES;FRA;BASIC NOVICE Minimes Novices Dames;F
KARMOUNI;Inès;Inès KARMOUNI;NIMES;FRA;FEDERAL 1 Minimes Filles;F
LABIKI;Sofia;Sofia LABIKI;NIMES;FRA;CAT B Novices Dames;F
LE SAINT HUBY;Paloma;Paloma LE SAINT HUBY;TOUCP;FRA;FEDERAL 1 Juniors Dames;F
MARC;Emma;Emma MARC;CASTR;FRA;FEDERAL 2 Benjamines Filles;F
MARTINEZ;Rachel;Rachel MARTINEZ;FONTR;FRA;FEDERAL 1 Novices Dames;F
MAVEL;Timéa;Timéa MAVEL;NIMES;FRA;CAT B Minimes Filles;F
MEYER;Erin;Erin MEYER;FONTR;FRA;BASIC NOVICE Minimes Novices Dames;F
PAILLARD;Tiphene;Tiphene PAILLARD;NIMES;FRA;CAT B Novices Dames;F
PASCUETS;Ariadna;Ariadna PASCUETS;FONTR;FRA;CAT B Benjamines Filles;F
PASTEUR;Elise;Elise PASTEUR;TOUCP;FRA;BASIC NOVICE  Juniors Seniors Dames;F
PAULEY;Rose;Rose PAULEY;FONTR;FRA;BASIC NOVICE Minimes Novices Dames;F
PELATAN-DEBEAUNE;Abigael;Abigael PELATAN-DEBEAUNE;NIMES;FRA;BASIC NOVICE Minimes Novices Messieurs;M
PILLOIX;Rose-Michele;Rose-Michele PILLOIX;NIMES;FRA;CAT B Benjamines Filles;F
POISSON GARCIA;Clémence;Clémence POISSON GARCIA;NIMES;FRA;CAT B Benjamines Filles;F
POLO;Faustine;Faustine POLO;NIMES;FRA;FEDERAL 2 Minimes Filles;F
