Surname;First Name;Full name;Club;Nationality;Category;Genre
BOUTON MARGAIL;Jeanne;Jeanne BOUTON MARGAIL;Font Romeu Club Glace;FRA;CATEGORIE 3 MINIMES DAMES;F
BRUNEVAL;Tom;Tom BRUNEVAL;Club Olympique Patinage Nimois;FRA;CATEGORIES 2 GARCONS;F
BUISAN;Lola;Lola BUISAN;Font Romeu Club Glace;FRA;CATEGORIE 1 BENJAMIN DAMES;F
COCHEZ CULLELL;Diane / Fanny;Diane COCHEZ / Fanny CULLELL;Font Romeu Club Glace / Font Romeu Club Glace;FRA;CATEGORIE DUO INFERIEUR PREPARATOIRE;F
DRACK;Chloe;Chloe DRACK;Club Olympique Patinage Nimois;FRA;CATEGORIE 2 DAMES;F
GARCIA;Mia;Mia GARCIA;Font Romeu Club Glace;FRA;CATEGORIE EXHIBITION DAMES;F
KARMOUNI;Nael;Nael KARMOUNI;Club Olympique Patinage Nimois;FRA;CATEGORIES 2 GARCONS;F
PASCUETS;Ariadna;Ariadna PASCUETS;Font Romeu Club Glace;FRA;CATEGORIE 1 BENJAMIN DAMES;F
PUIGDELLOSES-LLORCA;Aïtana;Aïtana PUIGDELLOSES-LLORCA;Font Romeu Club Glace;FRA;CATEGORIE 1 MINIMES DAMES;F
ROSSELL;Lola;Lola ROSSELL;Font Romeu Club Glace;FRA;CATEGORIE 1 MINIMES DAMES;F
SAIOC;Lily-Rose;Lily-Rose SAIOC;Club Olympique Patinage Nimois;FRA;CATEGORIE 2 DAMES;F
