Surname;First Name;Full name;Club;Nationality;Category;Genre
AIT-OUBBA;Sofia;Sofia AIT-OUBBA;TOUCP;FRA;Challenge 2 Minime Filles;F
ALBERT;Anae;Anae ALBERT;CASTR;FRA;Challenge 1 Benjamin Filles;F
BAEZA;Eloise;Eloise BAEZA;NIMES;FRA;Challenge 1 Poussin Filles;F
BOUQUIER;Adele;Adele BOUQUIER;TOUCP;FRA;Challenge 2 Poussin Filles;F
BRUNEVAL;Tom;Tom BRUNEVAL;NIMES;FRA;Challenge 3 Poussin Garcons;F
BUE-HUBERT;Mathys;Mathys BUE-HUBERT;TOUCP;FRA;Challenge 2 Minime Garcons;F
CAUBET;Manon;Manon CAUBET;ANGLE;FRA;Catégorie Adulte Acier Dames;F
CLEMENTI;Emma;Emma CLEMENTI;NARBO;FRA;Challenge 2 Minime Filles;F
COLL COTS;Michele;Michele COLL COTS;FONTR;FRA;Challenge 1 Minime Filles;F
CONVENANT-BOUSSAC;Stefany;Stefany CONVENANT-BOUSSAC;NIMES;FRA;Catégorie Adulte Argent Dames;F
CULLELL COCHEZ;Fanny / Diane;Fanny CULLELL / Diane COCHEZ;FONTR;FRA;Catégorie Duo;F
DRACK;Chloe;Chloe DRACK;NIMES;FRA;Challenge 3 Poussin Filles;F
DRUNOT;Elise;Elise DRUNOT;TOUCP;FRA;Challenge 4 Minime Filles;F
DUCHEMANN;Léonie;Léonie DUCHEMANN;CASTR;FRA;Challenge 1 Poussin Filles;F
DUMEZ;Candice;Candice DUMEZ;ANGLE;FRA;Catégorie Adulte Acier Dames;F
ERNY;Nell;Nell ERNY;TOUCP;FRA;Challenge 4 Poussin Filles;F
ERNY;Izia;Izia ERNY;TOUCP;FRA;Challenge 2 Poussin Filles;F
FLOREK;Eva;Eva FLOREK;TOUCP;FRA;Challenge 4 Minime Filles;F
GONZALEZ;Julie;Julie GONZALEZ;TOUCP;FRA;Challenge 2 Benjamin Filles;F
HAURIE SERS;Amaia / Julie;Amaia HAURIE / Julie SERS;CASTR;FRA;Catégorie Duo;F
KARMOUNI;Nael;Nael KARMOUNI;NIMES;FRA;Challenge 3 Poussin Garcons;F
LATRASSE;Tamara;Tamara LATRASSE;TOUCP;FRA;Challenge 2 Minime Filles;F
PASCUAL;Laura;Laura PASCUAL;TOUCP;FRA;Challenge 3 Minime Filles;F
PITIE;Syrine;Syrine PITIE;TOUCP;FRA;Challenge 4 Benjamin Filles;F
PITIE;Shaims;Shaims PITIE;TOUCP;FRA;Challenge 2 Poussin Garcons;F
POLO;Lea;Lea POLO;NIMES;FRA;Challenge 4 Junior Filles;F
SAIOC;Lily-Rose;Lily-Rose SAIOC;NIMES;FRA;Challenge 3 Poussin Filles;F
SANZ;Eva;Eva SANZ;CASTR;FRA;Challenge 1 Poussin Filles;F
VALETTE;Mélyna;Mélyna VALETTE;CASTR;FRA;Challenge 1 Minime Filles;F
