Surname;First Name;Full name;Club;Nationality;Category;Genre
BODIT;Laurine;Laurine BODIT;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
BOUQUIER;Adele;Adele BOUQUIER;TOUCP;FRA;Cat 2 Poussin/Benjamin Filles;F
BOYER;Charlise;Charlise BOYER;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
BRAS;Chloe;Chloe BRAS;TOUCP;FRA;Cat 2 Poussin/Benjamin Filles;F
CHORRO;Arwen;Arwen CHORRO;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
CHORRO;Eva;Eva CHORRO;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
CLEMENTI;Emma;Emma CLEMENTI;NARBO;FRA;Cat 2 Minime/Novice Filles;F
ERNY;Izia;Izia ERNY;TOUCP;FRA;Cat 1 Poussin/Benjamin Filles;F
ERNY;Nell;Nell ERNY;TOUCP;FRA;Cat 3 Poussin/Benjamin Filles;F
GONZALEZ;Julie;Julie GONZALEZ;TOUCP;FRA;Cat 2 Poussin/Benjamin Filles;F
GORCE;Maya;Maya GORCE;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
PITIE;Shaims;Shaims PITIE;TOUCP;FRA;Cat 1 Poussin/Benjamin Garcons;F
PITIE;Syrine;Syrine PITIE;TOUCP;FRA;Cat 3 Poussin/Benjamin Filles;F
VERBRUGGHE;Maëllys;Maëllys VERBRUGGHE;EXPRE;FRA;Cat 3 Poussin/Benjamin Filles;F
VIGNOLES;Sophie;Sophie VIGNOLES;TOUCP;FRA;Cat 2 Poussin/Benjamin Filles;F
