Surname;First Name;Full name;Club;Nationality;Category;Genre
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;CDF BENJAMINS MESSIEURS;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;CDF NOVICES DAMES;F
ARTAUD;Agathe;Agathe ARTAUD;Briancon Les Escartons;FRA;CDF JUNIORS DAMES;F
BABILANI;Tiana;Tiana BABILANI;Annecy Sports Glace;FRA;CDF BENJAMINS DAMES;F
BACAR;Raynourou;Raynourou BACAR;Colombes Sur Glace;FRA;CDF MINIMES DAMES;F
BAKHABBAJ;Serena;Serena BAKHABBAJ;Asnieres Patinage;FRA;CDF POUSSINS DAMES;F
BEE;Angelina;Angelina BEE;Dammarie Csg;FRA;CDF MINIMES DAMES;F
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;CDF MINIMES DAMES;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;CDF BENJAMINS DAMES;F
BENTARA;Iliana;Iliana BENTARA;Cergy Pontoise Csg;FRA;CDF MINIMES DAMES;F
BERISSET;Ivan;Ivan BERISSET;Club Olympique De Courbevoie;FRA;CDF MINIMES MESSIEURS;F
BERTEAU;Alissa;Alissa BERTEAU;Club Olympique De Courbevoie;FRA;CDF BENJAMINS DAMES;F
BLANCHET;Lilian;Lilian BLANCHET;Grenoble Isere Metropole Patinage;FRA;CDF POUSSINS MESSIEURS;F
BONNIN;Clea;Clea BONNIN;Hockey Patinage Romorantinais;FRA;CDF NOVICES DAMES;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;CDF MINIMES DAMES;F
BOURIANT;Juliette;Juliette BOURIANT;Academie Sports De Glace Dijon-Bourgogne;FRA;CDF JUNIORS DAMES;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;Boulogne Acbb;FRA;CDF MINIMES DAMES;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;CDF NOVICES MESSIEURS;F
CAPACES;Judit;Judit CAPACES;Font Romeu Club Glace;FRA;CDF NOVICES DAMES;F
CHABANE;Ysnelle;Ysnelle CHABANE;Colombes Sur Glace;FRA;FRANCE B JUNIORS DAMES;F
CHAFFOTTE;Fantine;Fantine CHAFFOTTE;Sport De Glace De Metz;FRA;CDF NOVICES DAMES;F
CHAN;Amandine;Amandine CHAN;Espar;FRA;CDF MINIMES DAMES;F
CHAUMIN;Sarah;Sarah CHAUMIN;Club Multi-Patinage De Tours;FRA;CDF JUNIORS DAMES;F
CLERMIDY;Anaelle;Anaelle CLERMIDY;Grenoble Isere Metropole Patinage;FRA;FRANCE B JUNIORS DAMES;F
DANCI;Flora;Flora DANCI;Brian Joubert Poitiers Glace;FRA;CDF POUSSINS DAMES;F
DASILVA-MOUTINHO;Elsa;Elsa DASILVA-MOUTINHO;Club De Patinage Artistique De Reims;FRA;CDF POUSSINS DAMES;F
DAVID;Louise Marie;Louise Marie DAVID;Cergy Pontoise Csg;FRA;CDF MINIMES DAMES;F
DE FONDAUMIERE;Mathieu;Mathieu DE FONDAUMIERE;Valence Patinage Artistique;FRA;CDF JUNIORS MESSIEURS;F
DENIZART;Louise;Louise DENIZART;Club De Patinage Artistique De Reims;FRA;CDF POUSSINS DAMES;F
DEPERRIER;Héléna;Héléna DEPERRIER;Dammarie Csg;FRA;CDF POUSSINS DAMES;F
DESIRAT;Axel;Axel DESIRAT;Boulogne Acbb;FRA;CDF JUNIORS MESSIEURS;F
DETREILLE-MALL;Bérénice;Bérénice DETREILLE-MALL;Strasbourg Alsace Csg;FRA;CDF NOVICES DAMES;F
DEVITERNE-LAPEYRE;Louanne;Louanne DEVITERNE-LAPEYRE;Association Nice Baies Des Anges;FRA;CDF MINIMES DAMES;F
DEZAEL;Marie-Ly;Marie-Ly DEZAEL;Club Multi-Patinage De Tours;FRA;CDF JUNIORS DAMES;F
DHAINE;Emilie;Emilie DHAINE;Champigny Csg;FRA;CDF JUNIORS DAMES;F
DJERMANOVIC KERIRZIN;Nolann;Nolann DJERMANOVIC KERIRZIN;Champigny Csg;FRA;CDF POUSSINS MESSIEURS;F
DORIER;Khelia;Khelia DORIER;Valence Patinage Artistique;FRA;CDF BENJAMINS DAMES;F
DOUALE--LEPAGE;Oxence;Oxence DOUALE--LEPAGE;Amiens Patinage Club;FRA;CDF NOVICES MESSIEURS;F
DUCHENE;Victor;Victor DUCHENE;Strasbourg Alsace Csg;FRA;CDF MINIMES MESSIEURS;F
DUCHENE;Martin;Martin DUCHENE;Strasbourg Alsace Csg;FRA;CDF BENJAMINS MESSIEURS;F
DUFOUR;Emi;Emi DUFOUR;Dammarie Csg;FRA;CDF BENJAMINS DAMES;F
DUNMILL;Lauren;Lauren DUNMILL;Franconville Sg;FRA;CDF NOVICES DAMES;F
EL ALJ;Sami;Sami EL ALJ;Club Olympique De Courbevoie;FRA;CDF POUSSINS MESSIEURS;F
ESCROUZAILLES;Lou;Lou ESCROUZAILLES;Annecy Sports Glace;FRA;CDF MINIMES DAMES;F
ETOURMY;Ambre;Ambre ETOURMY;Briancon Les Escartons;FRA;CDF NOVICES DAMES;F
FILLATRE;Louison;Louison FILLATRE;Louviers Ice Skating Club;FRA;CDF MINIMES DAMES;F
FRANDSEN;Elisa;Elisa FRANDSEN;Brian Joubert Poitiers Glace;FRA;CDF NOVICES DAMES;F
GAGNARD;Aline;Aline GAGNARD;Skating Club Compiegne Oise;FRA;CDF MINIMES DAMES;F
GALLINET;Beatrice;Beatrice GALLINET;Briancon Les Escartons;FRA;CDF MINIMES DAMES;F
GERARD;Hannah;Hannah GERARD;Dammarie Csg;FRA;CDF BENJAMINS DAMES;F
GHEBBARI;Kony;Kony GHEBBARI;Mulhouse Asg;FRA;CDF JUNIORS DAMES;F
GHODBANE;Ly Ann;Ly Ann GHODBANE;Sport De Glace De Metz;FRA;CDF NOVICES DAMES;F
GLESSER;Oceane;Oceane GLESSER;Cergy Pontoise Csg;FRA;GPN SENIORS DAMES;F
GRANGIER;Clarine;Clarine GRANGIER;Roannais Patinage Artistique;FRA;CDF NOVICES DAMES;F
GRAVE;Maelya;Maelya GRAVE;Association Nice Baies Des Anges;FRA;CDF POUSSINS DAMES;F
GRODARD OLIVER;Colin;Colin GRODARD OLIVER;Champigny Csg;FRA;CDF JUNIORS MESSIEURS;F
GUILLOIS;Simon;Simon GUILLOIS;Havre Athletic Club Patinage Artistique;FRA;CDF JUNIORS MESSIEURS;F
HALLET;Charlie;Charlie HALLET;Champigny Csg;FRA;CDF BENJAMINS DAMES;F
HAMBYE;Prince De Luc;Prince De Luc HAMBYE;Club Olympique De Courbevoie;FRA;CDF MINIMES MESSIEURS;F
HARUTYUNYAN;Any;Any HARUTYUNYAN;Caen Acsel;FRA;FRANCE B JUNIORS DAMES;F
HEURTEBIS;Lorenzo;Lorenzo HEURTEBIS;Boulogne Acbb;FRA;CDF BENJAMINS MESSIEURS;F
JAGIELLO;Tessa;Tessa JAGIELLO;Association Nice Baies Des Anges;FRA;CDF POUSSINS DAMES;F
JANY;Irina;Irina JANY;Colombes Sur Glace;FRA;CDF POUSSINS DAMES;F
JEANNEAU;Daphne;Daphne JEANNEAU;Club Multi-Patinage De Tours;FRA;CDF JUNIORS DAMES;F
JIANG;Leo;Leo JIANG;Club Multi-Patinage De Tours;FRA;CDF NOVICES MESSIEURS;F
JOULIA;Margaux;Margaux JOULIA;Club De Patinage Artistique De Reims;FRA;CDF BENJAMINS DAMES;F
KHALIDY;Sarah;Sarah KHALIDY;Charleville Mezieres Sg;FRA;CDF NOVICES DAMES;F
KOLTUSHKIN;Anna;Anna KOLTUSHKIN;Club Olympique De Courbevoie;FRA;CDF MINIMES DAMES;F
KRIVOCHTCHEKOV;Ekaterina;Ekaterina KRIVOCHTCHEKOV;La Garde Silver Skate;FRA;CDF JUNIORS DAMES;F
KRIVOCHTCHEKOV;Anastassia;Anastassia KRIVOCHTCHEKOV;La Garde Silver Skate;FRA;CDF JUNIORS DAMES;F
KUBLER;Hannah;Hannah KUBLER;Caen Acsel;FRA;CDF MINIMES DAMES;F
LAMBOLEY;Aislinn;Aislinn LAMBOLEY;Besancon Ass Patinage Artistique;FRA;CDF NOVICES DAMES;F
LAUBENHEIMER;Capucine;Capucine LAUBENHEIMER;Nantes Sports Glace;FRA;CDF NOVICES DAMES;F
LE MAROIS;Gabin;Gabin LE MAROIS;Espar;FRA;CDF MINIMES MESSIEURS;F
LE MAY;Vassili;Vassili LE MAY;Nantes Sports Glace;FRA;CDF JUNIORS MESSIEURS;F
LEAL;Wendy;Wendy LEAL;Espar;FRA;CDF POUSSINS DAMES;F
LECESNE;Jade;Jade LECESNE;Annecy Sports Glace;FRA;CDF NOVICES DAMES;F
LEMOINE;Noemie;Noemie LEMOINE;Asso Patinage Artistique Montdorien;FRA;CDF MINIMES DAMES;F
LEMOINE;Nell;Nell LEMOINE;Skate Hainaut Valenciennes Club;FRA;CDF NOVICES DAMES;F
LI;Falyne;Falyne LI;Cergy Pontoise Csg;FRA;CDF JUNIORS DAMES;F
LIISANANTTI;Fanny Sofia;Fanny Sofia LIISANANTTI;Association Nice Baies Des Anges;FRA;CDF MINIMES DAMES;F
LIROT;Alexandre;Alexandre LIROT;Dammarie Csg;FRA;CDF BENJAMINS MESSIEURS;F
LOPEZ;Alicia;Alicia LOPEZ;Alpe D'huez Patinage Club;FRA;CDF SENIORS DAMES;F
LOREAU;Audric;Audric LOREAU;Strasbourg Alsace Csg;FRA;CDF POUSSINS MESSIEURS;F
LUSCALOV;Teodora;Teodora LUSCALOV;Lyon Glace Patinage;FRA;CDF JUNIORS DAMES;F
MAAROUF;Sophia;Sophia MAAROUF;Brian Joubert Poitiers Glace;FRA;GPN SENIORS DAMES;F
MALETTE;Clara;Clara MALETTE;Club De Patinage Artistique De Reims;FRA;CDF BENJAMINS DAMES;F
MEKANE NIAMAZOK;Emmanuelle;Emmanuelle MEKANE NIAMAZOK;Club Multi-Patinage De Tours;FRA;CDF NOVICES DAMES;F
MENUT;Lalie;Lalie MENUT;Amnevillois Club Des Sports De Glace;FRA;CDF BENJAMINS DAMES;F
MIZOKAMI;Laïla;Laïla MIZOKAMI;Association Nice Baies Des Anges;FRA;CDF BENJAMINS DAMES;F
MOTILLA;Gianni;Gianni MOTILLA;Club De Patinage Artistique De Reims;FRA;CDF MINIMES MESSIEURS;F
MOUDAKKIR;Sanaa;Sanaa MOUDAKKIR;Franconville Sg;FRA;CDF MINIMES DAMES;F
NEHEMIA;Tahlie;Tahlie NEHEMIA;Club De Patinage De Colmar;FRA;CDF BENJAMINS DAMES;F
NOUGA;Dorcas Odile;Dorcas Odile NOUGA;Caen Acsel;FRA;CDF JUNIORS DAMES;F
OLIVEIRA;Eva;Eva OLIVEIRA;Boulogne Acbb;FRA;CDF MINIMES DAMES;F
OUDOT;Anais;Anais OUDOT;Club De Patinage Artistique De Reims;FRA;CDF NOVICES DAMES;F
OZDAMAR;Aylin;Aylin OZDAMAR;Belfort Asm;FRA;CDF NOVICES DAMES;F
PAULY;Tatiana;Tatiana PAULY;Brian Joubert Poitiers Glace;FRA;CDF BENJAMINS DAMES;F
PFLIEGER;Marcel;Marcel PFLIEGER;Mulhouse Asg;FRA;CDF POUSSINS MESSIEURS;F
PHOLSENA;Angelina;Angelina PHOLSENA;Valence Patinage Artistique;FRA;CDF NOVICES DAMES;F
PIERSON;Harmonie;Harmonie PIERSON;Charleville Mezieres Sg;FRA;CDF MINIMES DAMES;F
PONCHAUT-THERY;Olivia;Olivia PONCHAUT-THERY;Dammarie Csg;FRA;CDF MINIMES DAMES;F
PUCHOL;Lauriane;Lauriane PUCHOL;Club Olympique De Courbevoie;FRA;CDF POUSSINS DAMES;F
RAPESO;Alessio;Alessio RAPESO;Dunkerque Patinage;FRA;CDF JUNIORS MESSIEURS;F
RICHOMME;Lea;Lea RICHOMME;Lyon Glace Patinage;FRA;CDF JUNIORS DAMES;F
RIGAUDEAU;Lilou;Lilou RIGAUDEAU;Asso Choletaise De Patinage Sur Glace;FRA;FRANCE B JUNIORS DAMES;F
ROLLAND;Miley;Miley ROLLAND;Association Nice Baies Des Anges;FRA;CDF POUSSINS DAMES;F
ROMAND;Margot;Margot ROMAND;Annecy Sports Glace;FRA;CDF NOVICES DAMES;F
ROQUE;Romane;Romane ROQUE;Lyon Glace Patinage;FRA;CDF NOVICES DAMES;F
ROUXEL;Coraline;Coraline ROUXEL;Boulogne Acbb;FRA;CDF SENIORS DAMES;F
RUDER;Robin;Robin RUDER;Strasbourg Alsace Csg;FRA;CDF POUSSINS MESSIEURS;F
SALSINI;Lenaura;Lenaura SALSINI;Alpe D'huez Patinage Club;FRA;CDF POUSSINS DAMES;F
SATFAOUI;Isma;Isma SATFAOUI;Lyon Glace Patinage;FRA;CDF JUNIORS DAMES;F
SIBELLE;Eulalie;Eulalie SIBELLE;Lyon Glace Patinage;FRA;CDF JUNIORS DAMES;F
SIMON;Camille Mathilde;Camille Mathilde SIMON;Club Olympique De Courbevoie;FRA;CDF JUNIORS DAMES;F
SIRLIN-LHOMME;Marceline;Marceline SIRLIN-LHOMME;Mulhouse Asg;FRA;CDF POUSSINS DAMES;F
THOMAS LEDREN;Lena;Lena THOMAS LEDREN;Nantes Sports Glace;FRA;CDF MINIMES DAMES;F
TRANCOSO;Sarah;Sarah TRANCOSO;Espar;FRA;CDF MINIMES DAMES;F
TROMMENSCHLAGER;Roxane;Roxane TROMMENSCHLAGER;Mulhouse Asg;FRA;CDF POUSSINS DAMES;F
TRUONG;Oscar Kim;Oscar Kim TRUONG;Charleville Mezieres Sg;FRA;CDF MINIMES MESSIEURS;F
ULLATE;Covadonga;Covadonga ULLATE;Chamonix Club Des Sports;FRA;CDF NOVICES DAMES;F
VANDAMME;Muse;Muse VANDAMME;Boulogne Acbb;FRA;CDF POUSSINS DAMES;F
VANDAMME;Misha;Misha VANDAMME;Boulogne Acbb;FRA;CDF BENJAMINS DAMES;F
VANGREVELYNGHE;Leane;Leane VANGREVELYNGHE;Hockey Patinage Romorantinais;FRA;FRANCE B JUNIORS DAMES;F
VEILLARD GUISSET;Clemence;Clemence VEILLARD GUISSET;Boulogne Acbb;FRA;FRANCE B JUNIORS DAMES;F
VERMEULEN;Victoria;Victoria VERMEULEN;Club Olympique De Courbevoie;FRA;CDF NOVICES DAMES;F
VERNIN;Youna;Youna VERNIN;Roannais Patinage Artistique;FRA;CDF NOVICES DAMES;F
VIVIEN;Aleksandra;Aleksandra VIVIEN;Champigny Csg;FRA;FRANCE B JUNIORS DAMES;F
WEHMEYER;Aure;Aure WEHMEYER;Boulogne Acbb;FRA;CDF MINIMES DAMES;F
YAN;Anna;Anna YAN;Champigny Csg;FRA;CDF BENJAMINS DAMES;F
YANDIBENE-PIGOT;Emma;Emma YANDIBENE-PIGOT;Anglet Sports De Glace;FRA;CDF POUSSINS DAMES;F
YANG;Adeline;Adeline YANG;Asso Choletaise De Patinage Sur Glace;FRA;CDF BENJAMINS DAMES;F
