Surname;First Name;Full name;Club;Nationality;Category;Genre
ALVARADO;Melissa;Melissa ALVARADO;Franconville Sg;FRA;Criterium Juniors Dames;F
AUSSANT;Axelle;Axelle AUSSANT;Rennes Csg;FRA;Criterium Minimes Dames;F
BEAURAIN;Maeva;Maeva BEAURAIN;Skating Club Compiegne Oise;FRA;Criterium Seniors Dames;F
BELLE;Lili;Lili BELLE;Caen Acsel;FRA;Criterium Benjamins Dames;F
BERISHVILI;Lizy;Lizy BERISHVILI;Caen Acsel;FRA;Criterium Benjamins Dames;F
BERTOIS;Camille;Camille BERTOIS;Espar;FRA;Criterium Minimes Dames;F
BERTOMEU;Leyna;Leyna BERTOMEU;Montpellier Mediterranee Metropole Patinage;FRA;Criterium Benjamins Dames;F
BLANC;Mathilde;Mathilde BLANC;Chambery Csg;FRA;Criterium Novices Dames;F
BONGINI;Valentin;Valentin BONGINI;Havre Athletic Club Patinage Artistique;FRA;Criterium Benjamins Messieurs;M
BOUCHEREAU;Astrid;Astrid BOUCHEREAU;Nantes Sports Glace;FRA;Criterium Novices Dames;F
BOUFFIER;Tess;Tess BOUFFIER;Annecy Sports Glace;FRA;Criterium Juniors Dames;F
BOURGEOIS;Adele;Adele BOURGEOIS;Besancon Ass Patinage Artistique;FRA;Criterium Novices Dames;F
BUCHOTTE;Emie;Emie BUCHOTTE;Franconville Sg;FRA;Criterium Benjamins Dames;F
BUSSON;Marine;Marine BUSSON;Niortglace;FRA;Criterium Novices Dames;F
CASSERT;Mathys;Mathys CASSERT;Charleville Mezieres Sg;FRA;Criterium Novices Messieurs;M
CASTELLANOS;Eva;Eva CASTELLANOS;Toulouse Club De Patinage;FRA;Criterium Minimes Dames;F
CHAFFOTTE;Zelie;Zelie CHAFFOTTE;Sport De Glace De Metz;FRA;Criterium Juniors Dames;F
CHANG;Youri;Youri CHANG;Franconville Sg;FRA;Criterium Juniors Dames;F
CHENNOUFI;Adam;Adam CHENNOUFI;Cergy Pontoise Csg;FRA;Criterium Juniors Messieurs;M
CLIQUOT;Mathilde;Mathilde CLIQUOT;Blagnac Patinage Sur Glace;FRA;Criterium Novices Dames;F
CLODIUS;Rachel;Rachel CLODIUS;Havre Athletic Club Patinage Artistique;FRA;Criterium Benjamins Dames;F
COLL;Manon;Manon COLL;Club Olympique De Courbevoie;FRA;Criterium Juniors Dames;F
COLL COTS;Mariona;Mariona COLL COTS;Font Romeu Club Glace;FRA;Criterium Juniors Dames;F
COMBES;Chloe;Chloe COMBES;Montpellier Mediterranee Metropole Patinage;FRA;Criterium Benjamins Dames;F
COUET;Jeanne;Jeanne COUET;Niortglace;FRA;Criterium Novices Dames;F
CULLELL;Nina;Nina CULLELL;Font Romeu Club Glace;FRA;Criterium Juniors Dames;F
DEBROCK;Astrid;Astrid DEBROCK;Epwlm;FRA;Criterium Minimes Dames;F
DENIZART;Emilian;Emilian DENIZART;Club De Patinage Artistique De Reims;FRA;Criterium Novices Messieurs;M
DESESTRETS;Léa;Léa DESESTRETS;Valence Patinage Artistique;FRA;Criterium Novices Dames;F
