Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERDI;Eukem;Eukem ALBERDI;ESP;FRA;JUNIORS MEN;F
APPLEBY;Edward;Edward APPLEBY;GBR;FRA;SENIORS MEN;F
BARISON;Tommaso;Tommaso BARISON;ITA;FRA;JUNIORS MEN;F
BARQUERO ZANDRON;Laura / Marco;Laura BARQUERO / Marco ZANDRON;ESP;FRA;SENIORS PAIRS;F
BARUCCHI;Giulia;Giulia BARUCCHI;ITA;FRA;JUNIORS WOMEN;F
BERNARD JOCHUM;Eva / Tom;Eva BERNARD / Tom JOCHUM;FRA;FRA;JUNIORS DANCE;F
BORDET GIPOULOU;Louise / Thomas;Louise BORDET / Thomas GIPOULOU;FRA;FRA;JUNIORS DANCE;F
BREZINOVA;Eliska;Eliska BREZINOVA;CZE;FRA;SENIORS WOMEN;F
CEDER;Linnea;Linnea CEDER;FIN;FRA;SENIORS WOMEN;F
CONTI MACII;Sara / Niccolo;Sara CONTI / Niccolo MACII;ITA;FRA;SENIORS PAIRS;F
DOROTA BETEGON;Broda / Pedro;Broda DOROTA / Pedro BETEGON;ESP;FRA;SENIORS PAIRS;F
DUBININA;Antonina;Antonina DUBININA;SRB;FRA;SENIORS WOMEN;F
ECONOMIDES;Luc;Luc ECONOMIDES;FRA;FRA;SENIORS MEN;F
FADINI;Alessandro;Alessandro FADINI;ITA;FRA;SENIORS MEN;F
FOIS;Viola;Viola FOIS;ITA;FRA;JUNIORS WOMEN;F
FRADJI FOURNEAUX;Celina / Jean-Hans;Celina FRADJI / Jean-Hans FOURNEAUX;FRA;FRA;JUNIORS DANCE;F
FROETSCHER;Julie;Julie FROETSCHER;FRA;FRA;SENIORS WOMEN;F
GOLOVKINA;Aleksandra;Aleksandra GOLOVKINA;LTU;FRA;SENIORS WOMEN;F
GROGAN;Romy;Romy GROGAN;AUS;FRA;SENIORS WOMEN;F
HALLAM;Peter James;Peter James HALLAM;GBR;FRA;SENIORS MEN;F
HAMMI;Samy;Samy HAMMI;FRA;FRA;SENIORS MEN;F
HARRISON;Danielle;Danielle HARRISON;GBR;FRA;SENIORS WOMEN;F
HELSKE;Mai;Mai HELSKE;FIN;FRA;JUNIORS WOMEN;F
HIADLOVSKA;Emma;Emma HIADLOVSKA;FRA;FRA;JUNIORS WOMEN;F
HOVINE;Jade;Jade HOVINE;BEL;FRA;JUNIORS WOMEN;F
INDELICATO;Emanuele;Emanuele INDELICATO;ITA;FRA;JUNIORS MEN;F
JEPSEN;Anna-Flora Colmor;Anna-Flora Colmor JEPSEN;DEN;FRA;JUNIORS WOMEN;F
KAISER;Livia;Livia KAISER;SUI;FRA;JUNIORS WOMEN;F
KAPTICH;Darian;Darian KAPTICH;AUS;FRA;SENIORS MEN;F
