Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;Champigny Csg;FRA;N1 - Novices Dames;F
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;N1 - Benjamins Messieurs;M
ALVARADO;Melissa;Melissa ALVARADO;Franconville Sg;FRA;N3 - Juniors/Seniors Dames;F
ARKHIPOV;Angelika;Angelika ARKHIPOV;Toulouse Club De Patinage;FRA;N2 - Poussins Dames;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;N2 - Novices Dames;F
ARTAUD;Agathe;Agathe ARTAUD;Briancon Les Escartons;FRA;N2 - Juniors Dames;F
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;Cergy Pontoise Csg;FRA;N2 - Novices Dames;F
BABILANI;Tiana;Tiana BABILANI;Annecy Sports Glace;FRA;N2 - Benjamins Dames;F
BARADEL;Theo;Theo BARADEL;Cergy Pontoise Csg;FRA;N1 - Juniors Messieurs;M
BARITHEL;Rose;Rose BARITHEL;Annecy Sports Glace;FRA;N3 - Benjamins Dames;F
BAUSSERON;Alexandra;Alexandra BAUSSERON;Club Olympique De Courbevoie;FRA;N1 - Minimes Dames;F
BEAURAIN;Maeva;Maeva BEAURAIN;Skating Club Compiegne Oise;FRA;N3 - Juniors/Seniors Dames;F
BECK;Elena;Elena BECK;Amnevillois Club Des Sports De Glace;FRA;N2 - Benjamins Dames;F
BELLE;Lili;Lili BELLE;Caen Acsel;FRA;N3 - Benjamins Dames;F
BELLE;Theo;Theo BELLE;Caen Acsel;FRA;N1 - Juniors Messieurs;M
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;N2 - Minimes Dames;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;N2 - Benjamins Dames;F
BENMEFTAH;Kayna;Kayna BENMEFTAH;Caen Acsel;FRA;N3 - Minimes Dames;F
BENTARA;Iliana;Iliana BENTARA;Cergy Pontoise Csg;FRA;N2 - Minimes Dames;F
BERISSET;Ivan;Ivan BERISSET;Club Olympique De Courbevoie;FRA;N2 - Minimes Messieurs;M
BERTHE;Eva;Eva BERTHE;Charleville Mezieres Sg;FRA;N2 - Minimes Dames;F
BERTOIS;Camille;Camille BERTOIS;Espar;FRA;N3 - Minimes Dames;F
BERTRAND;Faustine;Faustine BERTRAND;Sport De Glace De Metz;FRA;N3 - Minimes Dames;F
BERTSCH;Mila;Mila BERTSCH;Grenoble Isere Metropole Patinage;FRA;N1 - Minimes Dames;F
BLANCHET;Lilian;Lilian BLANCHET;Grenoble Isere Metropole Patinage;FRA;N1 - Poussins Messieurs;M
BLAZART;Suzon;Suzon BLAZART;Patinage Artistique Briviste;FRA;N3 - Benjamins Dames;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;N2 - Minimes Dames;F
BOUCHEREAU;Astrid;Astrid BOUCHEREAU;Nantes Sports Glace;FRA;N3 - Novices Dames;F
BOUDERSA;Cherine;Cherine BOUDERSA;Amnevillois Club Des Sports De Glace;FRA;N2 - Minimes Dames;F
BOUFFIER;Tess;Tess BOUFFIER;Annecy Sports Glace;FRA;N3 - Juniors/Seniors Dames;F
BOUILLAULT;Jade;Jade BOUILLAULT;Caen Acsel;FRA;N1 - Benjamins Dames;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;Amnevillois Club Des Sports De Glace;FRA;N2 - Minimes Dames;F
BOURBON;Melina;Melina BOURBON;Annecy Sports Glace;FRA;N2 - Minimes Dames;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;Boulogne Acbb;FRA;N2 - Minimes Dames;F
BRON;Sarah;Sarah BRON;Nantes Sports Glace;FRA;N2 - Minimes Dames;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;N2 - Novices Messieurs;M
BUCHOTTE;Emie;Emie BUCHOTTE;Franconville Sg;FRA;N3 - Benjamins Dames;F
BUI VAN FOUCHE;Loan;Loan BUI VAN FOUCHE;Skating Club Compiegne Oise;FRA;N1 - Minimes Dames;F
CABIROL;Rose;Rose CABIROL;Toulouse Club De Patinage;FRA;N3 - Novices Dames;F
CARON;Heloise;Heloise CARON;Espar;FRA;N1 - Juniors Dames;F
CASSERT;Mathys;Mathys CASSERT;Charleville Mezieres Sg;FRA;N3 - Novices Messieurs;M
CASTELLANOS;Eva;Eva CASTELLANOS;Toulouse Club De Patinage;FRA;N3 - Minimes Dames;F
CAZZARO;Lola;Lola CAZZARO;Charleville Mezieres Sg;FRA;N1 - Novices Dames;F
