Surname;First Name;Full name;Club;Nationality;Category;Genre
ADIBEKIAN;Emily Rosy;Emily Rosy ADIBEKIAN;Havre Athletic Club Patinage Artistique;FRA;SCC - POUSSINS DAMES;F
AKCHURINA;Marta;Marta AKCHURINA;Asga Artistique Et Synchronise;FRA;SCC - POUSSINS DAMES;F
ALEX;Sidonie;Sidonie ALEX;Rennes Csg;FRA;R1 - MINIMES DAMES;F
ALIX WINTER;Justine;Justine ALIX WINTER;Havre Athletic Club Patinage Artistique;FRA;F2 - BENJAMINS DAMES;F
ALIX WINTER;Julya;Julya ALIX WINTER;Havre Athletic Club Patinage Artistique;FRA;SCC - POUSSINS DAMES;F
ALVARADO;Melissa;Melissa ALVARADO;Franconville Sg;FRA;F1 - JUNIORS DAMES;F
AUBOURG;Morgane;Morgane AUBOURG;Havre Athletic Club Patinage Artistique;FRA;D3 - JUNIORS/SENIORS DAMES;F
AUSSANT;Lou;Lou AUSSANT;Rennes Csg;FRA;F2 - NOVICES DAMES;F
AUSSANT;Axelle;Axelle AUSSANT;Rennes Csg;FRA;D3 - MINIMES DAMES;F
AZAIS DE VERGERON;Victoria;Victoria AZAIS DE VERGERON;Asga Artistique Et Synchronise;FRA;R2 - MINIMES DAMES;F
BARBE;Andrea;Andrea BARBE;Dunkerque Patinage;FRA;SCA - BENJAMINS DAMES;F
BARBE;Eloise;Eloise BARBE;Dunkerque Patinage;FRA;SCA - POUSSINS DAMES;F
BARICAULT;Chloe;Chloe BARICAULT;Espar;FRA;R2 - MINIMES DAMES;F
BATARDIERE;Emilie;Emilie BATARDIERE;Asso Choletaise De Patinage Sur Glace;FRA;D3 - BENJAMINS DAMES;F
BAUDIN;Lalou;Lalou BAUDIN;Asso Choletaise De Patinage Sur Glace;FRA;D3 - JUNIORS/SENIORS DAMES;F
BEAUX;Josephine;Josephine BEAUX;Espar;FRA;R1 - NOVICES DAMES;F
BELAN;Camille;Camille BELAN;Asso Choletaise De Patinage Sur Glace;FRA;R1 - NOVICES DAMES;F
BELAN;Domitille;Domitille BELAN;Asso Choletaise De Patinage Sur Glace;FRA;SCC - POUSSINS DAMES;F
BELAN;Paul;Paul BELAN;Asso Choletaise De Patinage Sur Glace;FRA;D3 - MINIMES MESSIEURS;F
BELLE;Lili;Lili BELLE;Caen Acsel;FRA;D3 - BENJAMINS DAMES;F
BENMEFTAH;Kayna;Kayna BENMEFTAH;Caen Acsel;FRA;D3 - MINIMES DAMES;F
BERISHVILI;Lizy;Lizy BERISHVILI;Caen Acsel;FRA;D3 - BENJAMINS DAMES;F
BERTELOOT;Emy;Emy BERTELOOT;Dunkerque Patinage;FRA;SCB - BENJAMINS DAMES;F
BERTHELOT;Alyssa;Alyssa BERTHELOT;Armor Sports De Glace;FRA;R2 - MINIMES DAMES;F
BERTOIS;Camille;Camille BERTOIS;Espar;FRA;D3 - MINIMES DAMES;F
BESSON;Jade;Jade BESSON;Asso Choletaise De Patinage Sur Glace;FRA;R1 - MINIMES DAMES;F
BLOUIN;Mathilde;Mathilde BLOUIN;Asso Choletaise De Patinage Sur Glace;FRA;SCB - BENJAMINS DAMES;F
BONGINI;Clement;Clement BONGINI;Havre Athletic Club Patinage Artistique;FRA;SCD - BAMBIS MESSIEURS;F
BONGINI;Valentin;Valentin BONGINI;Havre Athletic Club Patinage Artistique;FRA;D3 - BENJAMINS MESSIEURS;F
BOUCHEREAU;Astrid;Astrid BOUCHEREAU;Nantes Sports Glace;FRA;D3 - NOVICES DAMES;F
BOUELLE;Flore;Flore BOUELLE;Espar;FRA;R1 - JUNIORS/SENIORS DAMES;F
BOUILLAULT;Jade;Jade BOUILLAULT;Caen Acsel;FRA;D1 - BENJAMINS DAMES;F
BOULORD;Jeanne;Jeanne BOULORD;Asga Artistique Et Synchronise;FRA;ADULTES ACIER DAMES;F
BOUVIER;Louane;Louane BOUVIER;Asga Artistique Et Synchronise;FRA;SCB - BENJAMINS DAMES;F
BRAULT;Héloise;Héloise BRAULT;Poitevin Stade Club De Glace;FRA;SCD - POUSSINS DAMES;F
BRON;Sarah;Sarah BRON;Nantes Sports Glace;FRA;D2 - MINIMES DAMES;F
BRUNEL;Juliette;Juliette BRUNEL;Havre Athletic Club Patinage Artistique;FRA;SCB - BENJAMINS DAMES;F
BURBAUD;Martine;Martine BURBAUD;Chatellerault Csac;FRA;ADULTES ARGENT DAMES;F
CARDON;Salome;Salome CARDON;Espar;FRA;SCA - BENJAMINS DAMES;F
CARUHEL;Thaïs;Thaïs CARUHEL;Espar;FRA;D3 - MINIMES DAMES;F
CERTAIN;Leonore;Leonore CERTAIN;Armor Sports De Glace;FRA;SCC - BENJAMINS DAMES;F
CHAN;Amandine;Amandine CHAN;Espar;FRA;D2 - MINIMES DAMES;F
CHANTREAU;Nayah;Nayah CHANTREAU;Nantes Sports Glace;FRA;D2 - NOVICES DAMES;F
CHARPENTIER LELONG;Lorine;Lorine CHARPENTIER LELONG;Nantes Sports Glace;FRA;D3 - NOVICES DAMES;F
CHAUME;Leana;Leana CHAUME;Poitevin Stade Club De Glace;FRA;R1 - MINIMES DAMES;F
CHOUTEAU;Colombe;Colombe CHOUTEAU;Asga Artistique Et Synchronise;FRA;R1 - NOVICES DAMES;F
CLODIUS;Rachel;Rachel CLODIUS;Havre Athletic Club Patinage Artistique;FRA;D3 - BENJAMINS DAMES;F
COLLARDEY;Chloe;Chloe COLLARDEY;Asga Artistique Et Synchronise;FRA;R1 - NOVICES DAMES;F
COLLARDEY;Line;Line COLLARDEY;Asga Artistique Et Synchronise;FRA;R1 - NOVICES DAMES;F
COLLIN;Thalia;Thalia COLLIN;Rennes Csg;FRA;SCC - BENJAMINS DAMES;F
CONNEBERT;Louane;Louane CONNEBERT;Espar;FRA;D2 - JUNIORS DAMES;F
COULON;Lucas;Lucas COULON;Caen Acsel;FRA;D1 - NOVICES MESSIEURS;F
CRECEL-AZE;Lenny;Lenny CRECEL-AZE;Caen Acsel;FRA;SCB - BENJAMINS MESSIEURS;F
DAUWE;Latika;Latika DAUWE;Dunkerque Patinage;FRA;SCD - POUSSINS DAMES;F
DAUWE;Guilhem;Guilhem DAUWE;Dunkerque Patinage;FRA;SCD - POUSSINS MESSIEURS;F
DAVID;Solène;Solène DAVID;Asga Artistique Et Synchronise;FRA;R1 - JUNIORS/SENIORS DAMES;F
DEBRUYNE;Armonie;Armonie DEBRUYNE;Dunkerque Patinage;FRA;R2 - NOVICES/JUNIORS DAMES;F
DELALANDE;Faustine;Faustine DELALANDE;Espar;FRA;R2 - MINIMES DAMES;F
DELATOUCHE;Céline;Céline DELATOUCHE;Asga Artistique Et Synchronise;FRA;ADULTES BRONZE DAMES;F
DELATTRE;Hayden;Hayden DELATTRE;Dunkerque Patinage;FRA;SCD - POUSSINS DAMES;F
DEVRIENT;Heidi;Heidi DEVRIENT;Dunkerque Patinage;FRA;R2 - MINIMES DAMES;F
DORDAIN KOMORI;Maelle;Maelle DORDAIN KOMORI;Armor Sports De Glace;FRA;R1 - JUNIORS/SENIORS DAMES;F
DOTTELONDE;Emmy;Emmy DOTTELONDE;Havre Athletic Club Patinage Artistique;FRA;SCC - BENJAMINS DAMES;F
DOUAY;Lili;Lili DOUAY;Havre Athletic Club Patinage Artistique;FRA;R1 - MINIMES DAMES;F
DRICI;Aliya;Aliya DRICI;Rennes Csg;FRA;SCB - POUSSINS DAMES;F
DRY;Zelie;Zelie DRY;Havre Athletic Club Patinage Artistique;FRA;F2 - MINIMES DAMES;F
DUBOIS;Kassy;Kassy DUBOIS;Dunkerque Patinage;FRA;SCC - BENJAMINS DAMES;F
DUBUC;Valentine;Valentine DUBUC;Havre Athletic Club Patinage Artistique;FRA;R1 - JUNIORS/SENIORS DAMES;F
DUMAINE;Rose;Rose DUMAINE;Asga Artistique Et Synchronise;FRA;D3 - BENJAMINS DAMES;F
DUMAS;Cleo;Cleo DUMAS;Espar;FRA;SCA - POUSSINS DAMES;F
DUTERTRE;Lucie;Lucie DUTERTRE;Nantes Sports Glace;FRA;F2 - MINIMES DAMES;F
EL BOURAKI;Aya;Aya EL BOURAKI;Poitevin Stade Club De Glace;FRA;F1 - MINIMES DAMES;F
ETARD;Lalie;Lalie ETARD;Armor Sports De Glace;FRA;R1 - NOVICES DAMES;F
FAULA;Aurelie;Aurelie FAULA;Caen Acsel;FRA;D2 - SENIORS DAMES;F
FAUVERGUE;Chloe;Chloe FAUVERGUE;Dunkerque Patinage;FRA;SCD - BENJAMINS DAMES;F
FERREIRA DA SILVA;Tom;Tom FERREIRA DA SILVA;Chatellerault Csac;FRA;R1 - NOVICES MESSIEURS;F
