Surname;First Name;Full name;Club;Nationality;Category;Genre
ALLARD;Marine;Marine ALLARD;Association Nice Baies Des Anges;FRA;D3 Minime D;F
ALLARD;Zoe;Zoe ALLARD;Association Nice Baies Des Anges;FRA;D2 Benjamin D;F
AROUI;Sarah;Sarah AROUI;Grenoble Isere Metropole Patinage;FRA;D3 Benjamin D;F
ARTAUD;Agathe;Agathe ARTAUD;Briancon Les Escartons;FRA;D2 Junior D;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;D2 Novice D;F
ARTAUD SAUNDERS;Stella;Stella ARTAUD SAUNDERS;Valence Patinage Artistique;FRA;D1 Poussin D;F
BALTHAZARD;Solene;Solene BALTHAZARD;Grenoble Isere Metropole Patinage;FRA;Advanced Novice D;F
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;D2 Minime D;F
BERTSCH;Mila;Mila BERTSCH;Grenoble Isere Metropole Patinage;FRA;D1 Minime D;F
BONALDI;Sanae;Sanae BONALDI;Alpe D'huez Patinage Club;FRA;D3 Minime D;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;D2 Minime D;F
BOUABDALLAH;Celia;Celia BOUABDALLAH;La Garde Silver Skate;FRA;Intermediate Novice D;F
BOUFFIER;Tess;Tess BOUFFIER;Annecy Sports Glace;FRA;D3 Junior D;F
BOURBON;Melina;Melina BOURBON;Annecy Sports Glace;FRA;D2 Minime D;F
BRAGONI;Emma;Emma BRAGONI;Grenoble Isere Metropole Patinage;FRA;D3 Benjamin D;F
CALDERONE;Elisa;Elisa CALDERONE;Association Nice Baies Des Anges;FRA;Intermediate Novice D;F
CALDERONE;Elisa;Elisa CALDERONE;Association Nice Baies Des Anges;FRA;D3 Junior D;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;Association Nice Baies Des Anges;FRA;D1 Minime D;F
CAROUPAYE TOURNOUD;Neila;Neila CAROUPAYE TOURNOUD;Alpe D'huez Patinage Club;FRA;D3 Benjamin D;F
CASALENGO;Alice;Alice CASALENGO;Valence Patinage Artistique;FRA;D1 Junior D;F
CERNEI;Laura;Laura CERNEI;Association Nice Baies Des Anges;FRA;D1 Novice D;F
CHARLES;Chloé;Chloé CHARLES;Briancon Les Escartons;FRA;D2 Benjamin D;F
CLERMIDY;Anaelle;Anaelle CLERMIDY;Grenoble Isere Metropole Patinage;FRA;D1 Junior D;F
CLUZEL;Dorine;Dorine CLUZEL;Valence Patinage Artistique;FRA;D3 Junior D;F
COQUELET;Alice;Alice COQUELET;Lyon Glace Patinage;FRA;D2 Novice D;F
DAPOIGNY;Ninon;Ninon DAPOIGNY;Grenoble Isere Metropole Patinage;FRA;D1 Novice D;F
DE FONDAUMIERE;Mathieu;Mathieu DE FONDAUMIERE;Valence Patinage Artistique;FRA;D2 Junior M;F
DESCOMBES;Nolah;Nolah DESCOMBES;Valence Patinage Artistique;FRA;D3 Benjamin D;F
DESCORMES;Kelia;Kelia DESCORMES;Valence Patinage Artistique;FRA;D3 Benjamin D;F
DESESTRETS;Léa;Léa DESESTRETS;Valence Patinage Artistique;FRA;D3 Novice D;F
DEVITERNE-LAPEYRE;Louanne;Louanne DEVITERNE-LAPEYRE;Association Nice Baies Des Anges;FRA;D2 Minime D;F
DINGER;Helena;Helena DINGER;Gap Axel;FRA;D3 Junior D;F
DORIER;Khelia;Khelia DORIER;Valence Patinage Artistique;FRA;D2 Benjamin D;F
ESCROUZAILLES;Lou;Lou ESCROUZAILLES;Annecy Sports Glace;FRA;D2 Minime D;F
FROETSCHER;Clara;Clara FROETSCHER;Association Nice Baies Des Anges;FRA;D2 Minime D;F
GAGNEUX OUAKININE;Lenny;Lenny GAGNEUX OUAKININE;Alpe D'huez Patinage Club;FRA;D3 Benjamin M;F
GALLINET;Beatrice;Beatrice GALLINET;Briancon Les Escartons;FRA;D2 Minime D;F
GARNEAU;Natasha;Natasha GARNEAU;Association Nice Baies Des Anges;FRA;D1 Benjamin D;F
GAVACHE;Melusine;Melusine GAVACHE;Chamonix Club Des Sports;FRA;D3 Benjamin D;F
GAY CONVERSET;Azenor;Azenor GAY CONVERSET;Lyon Glace Patinage;FRA;D3 Minime D;F
GILLET;Claire-Marie;Claire-Marie GILLET;Grenoble Isere Metropole Patinage;FRA;D3 Junior D;F
GORGY;Lucas;Lucas GORGY;Grenoble Isere Metropole Patinage;FRA;Basic Novice M;F
GORGY;Leane;Leane GORGY;Grenoble Isere Metropole Patinage;FRA;Basic Novice D;F
GRAVE;Maelya;Maelya GRAVE;Association Nice Baies Des Anges;FRA;D2 Poussin D;F
GRUBER;Zoe;Zoe GRUBER;Briancon Les Escartons;FRA;D3 Benjamin D;F
JAGIELLO;Tessa;Tessa JAGIELLO;Association Nice Baies Des Anges;FRA;D2 Poussin D;F
KACI;Lola;Lola KACI;Briancon Les Escartons;FRA;D3 Minime D;F
LAGUERRE;Lily-Rose;Lily-Rose LAGUERRE;Annecy Sports Glace;FRA;D1 Minime D;F
LAUNDON;Anna;Anna LAUNDON;Briancon Les Escartons;FRA;D3 Minime D;F
LECESNE;Jade;Jade LECESNE;Annecy Sports Glace;FRA;D2 Novice D;F
LEGENDRE;Perline;Perline LEGENDRE;Grenoble Isere Metropole Patinage;FRA;D3 Minime D;F
LOPEZ;Alicia;Alicia LOPEZ;Alpe D'huez Patinage Club;FRA;D2 Senior D;F
LUNATTI;Ilona;Ilona LUNATTI;Association Nice Baies Des Anges;FRA;D1 Junior D;F
MARECHAL;Elea;Elea MARECHAL;Association Nice Baies Des Anges;FRA;D1 Novice D;F
MARECHAL;Maelia;Maelia MARECHAL;Association Nice Baies Des Anges;FRA;D3 Benjamin D;F
MESNIL;Capucine;Capucine MESNIL;Chamonix Club Des Sports;FRA;D3 Minime D;F
MESNIL;Corentine;Corentine MESNIL;Chamonix Club Des Sports;FRA;D3 Novice D;F
MIZOKAMI;Laïla;Laïla MIZOKAMI;Association Nice Baies Des Anges;FRA;D2 Benjamin D;F
NUCCI;Mathilde;Mathilde NUCCI;Lyon Glace Patinage;FRA;D2 Novice D;F
NUCCI;Chleo;Chleo NUCCI;Lyon Glace Patinage;FRA;D3 Minime D;F
OYAGA SALINAS;Leia;Leia OYAGA SALINAS;Gap Axel;FRA;D3 Novice D;F
PAPELOREY;Constance;Constance PAPELOREY;Grenoble Isere Metropole Patinage;FRA;Advanced Novice D;F
PHOLSENA;Angelina;Angelina PHOLSENA;Valence Patinage Artistique;FRA;D2 Novice D;F
POPE;Evie;Evie POPE;Chamonix Club Des Sports;FRA;D3 Benjamin D;F
RENAUT;Cassandre;Cassandre RENAUT;Valence Patinage Artistique;FRA;D3 Minime D;F
RIMET;Zoe;Zoe RIMET;Grenoble Isere Metropole Patinage;FRA;D1 Junior D;F
ROSA;Lana;Lana ROSA;Grenoble Isere Metropole Patinage;FRA;Basic Novice D;F
SAHI;Johayna;Johayna SAHI;Grenoble Isere Metropole Patinage;FRA;D3 Minime D;F
SALSINI;Lenaura;Lenaura SALSINI;Alpe D'huez Patinage Club;FRA;D2 Poussin D;F
SALSINI;Belinda;Belinda SALSINI;Alpe D'huez Patinage Club;FRA;D3 Benjamin D;F
SAMICA;Salome;Salome SAMICA;Valence Patinage Artistique;FRA;D2 Novice D;F
SATFAOUI;Isma;Isma SATFAOUI;Lyon Glace Patinage;FRA;D2 Junior D;F
SAVY;Alice;Alice SAVY;Association Nice Baies Des Anges;FRA;D3 Novice D;F
SAVY;Alice;Alice SAVY;Association Nice Baies Des Anges;FRA;Basic Novice D;F
SCHMITTER;Naomi;Naomi SCHMITTER;Briancon Les Escartons;FRA;D3 Benjamin D;F
SIBELLE;Eulalie;Eulalie SIBELLE;Lyon Glace Patinage;FRA;D2 Junior D;F
SVENSSON;Olivia;Olivia SVENSSON;Chamonix Club Des Sports;FRA;D2 Benjamin D;F
THAVEAU;Lilirose;Lilirose THAVEAU;Valence Patinage Artistique;FRA;D3 Minime D;F
TOURE;Naomie;Naomie TOURE;Grenoble Isere Metropole Patinage;FRA;D1 Benjamin D;F
TRAN;Ninon;Ninon TRAN;Chamonix Club Des Sports;FRA;Basic Novice D;F
ULLATE;Covadonga;Covadonga ULLATE;Chamonix Club Des Sports;FRA;D2 Novice D;F
VELAZCO;Juliana;Juliana VELAZCO;Grenoble Isere Metropole Patinage;FRA;D3 Junior D;F
VERAN;Enola;Enola VERAN;Association Nice Baies Des Anges;FRA;Intermediate Novice D;F
VERBAT;Daniel;Daniel VERBAT;Annecy Sports Glace;FRA;D1 Minime M;F
VICARI;Agathe;Agathe VICARI;Gap Axel;FRA;D3 Junior D;F
VOYER;Molly;Molly VOYER;Chamonix Club Des Sports;FRA;D3 Junior D;F
YANG;Maëlys;Maëlys YANG;Valence Patinage Artistique;FRA;D2 Minime D;F
YU;Jin Ju;Jin Ju YU;Association Nice Baies Des Anges;FRA;D3 Minime D;F
