Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERT;Maeva;Maeva ALBERT;CASTR;FRA;Cat BN Minime/Novice Dames;F
AMBROSETTI;Tchen;Tchen AMBROSETTI;BLAGN;FRA;Cat BN Junior/Senior Messieurs;M
ARKHIPOV -S-;Angelika;Angelika ARKHIPOV -S-;TOUCP;FRA;Cat N2 Poussin Dames;F
BARRET;Maëlys;Maëlys BARRET;LIMOG;FRA;Cat B Minime Filles;F
BILLY -R-;Meline;Meline BILLY -R-;NIORT;FRA;Cat F1 Minime Dames;F
BISCHOFF;Camille;Camille BISCHOFF;BLAGN;FRA;Cat F2 Junior Dames;F
BLAZART -S-;Suzon;Suzon BLAZART -S-;BRIVE;FRA;Cat F1 Benjamin Dames;F
BOUQUIER;Yaelle;Yaelle BOUQUIER;TOUCP;FRA;Cat F2 Benjamin Dames;F
BOURDIN;Louna;Louna BOURDIN;NIORT;FRA;Cat BN Junior/Senior Dames;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;TOUCP;FRA;Cat BN Minime/Novice Dames;F
BRILLOUET;Elise;Elise BRILLOUET;EXPRE;FRA;Cat BN Minime/Novice Dames;F
BROQUA -S-;Lilian;Lilian BROQUA -S-;TOUCP;FRA;Cat N2 Novice Messieurs;M
BUSNEL;Clara;Clara BUSNEL;BLAGN;FRA;Cat F2 Minime Dames;F
BUSSON;Ninon;Ninon BUSSON;NIORT;FRA;Cat BN Minime/Novice Dames;F
BUSSON -S-;Marine;Marine BUSSON -S-;NIORT;FRA;Cat F1 Novice Dames;F
CABIROL -S-;Rose;Rose CABIROL -S-;TOUCP;FRA;Cat F1 Novice Dames;F
CALBO;Alexandrine;Alexandrine CALBO;TOUCP;FRA;Cat BN Junior/Senior Dames;F
CALMELS;Alyson;Alyson CALMELS;TOUCP;FRA;Cat F2 Benjamin Dames;F
CASTELLANOS -S-;Eva;Eva CASTELLANOS -S-;TOUCP;FRA;Cat F1 Minime Dames;F
CELLARD;Amandine;Amandine CELLARD;POIBJ;FRA;Cat F1 Minime Dames;F
CHABREYRON;Coralie;Coralie CHABREYRON;NIORT;FRA;Cat BN Junior/Senior Dames;F
CHABREYRON;Candice;Candice CHABREYRON;NIORT;FRA;Cat BN Junior/Senior Dames;F
CHALOT;Lyseane;Lyseane CHALOT;LIMOG;FRA;Cat D Poussin Filles;F
CHAMPCLAUX -S-;Marie-Amelie;Marie-Amelie CHAMPCLAUX -S-;BRIVE;FRA;Cat N2 Senior Dames;F
CHARBONNET;Loe;Loe CHARBONNET;EXPRE;FRA;Cat F2 Benjamin Dames;F
CLIQUOT;Maeva;Maeva CLIQUOT;BLAGN;FRA;Cat F1 Minime Dames;F
CLIQUOT -S-;Mathilde;Mathilde CLIQUOT -S-;BLAGN;FRA;Cat F1 Novice Dames;F
COMTE--MAHIEU;Kalie;Kalie COMTE--MAHIEU;CASTR;FRA;Cat A Minime Filles;F
COUET -S-;Jeanne;Jeanne COUET -S-;NIORT;FRA;Cat F1 Novice Dames;F
COUET -S-;Agathe;Agathe COUET -S-;NIORT;FRA;Cat F1 Minime Dames;F
DAGUET HERRERA;Ana;Ana DAGUET HERRERA;LIMOG;FRA;Cat C Benjamin Filles;F
DANCI -S-;Flora;Flora DANCI -S-;POIBJ;FRA;Cat N2 Poussin Dames;F
DAUDET;Lou;Lou DAUDET;LIMOG;FRA;Cat A Minime Filles;F
DAUDET;Ninon;Ninon DAUDET;LIMOG;FRA;Cat A Minime Filles;F
DAVIET;Tifenn;Tifenn DAVIET;NIORT;FRA;Cat F2 Novice Dames;F
DAVIET -S-;Julianne;Julianne DAVIET -S-;NIORT;FRA;Cat F1 Minime Dames;F
DESHAIES -S-;Lois;Lois DESHAIES -S-;BLAGN;FRA;Cat F1 Junior Messieurs;M
DESHAIES -S-;Danae;Danae DESHAIES -S-;BLAGN;FRA;Cat F1 Minime Dames;F
