Surname;First Name;Full name;Club;Nationality;Category;Genre
ABRAHMI;Anaelle;Anaelle ABRAHMI;Garges Les Gonesses Csg;FRA;D3 Minime Dames;F
AGRAPART;Lison;Lison AGRAPART;Champigny Csg;FRA;D1 Novice Dames;F
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;D2 Benjamin Messieurs;M
ALVARADO;Melissa;Melissa ALVARADO;Franconville Sg;FRA;D3 Junior Senior Dames;F
AMAROUCHENE;Lelia;Lelia AMAROUCHENE;Garges Les Gonesses Csg;FRA;D3 Novice Dames;F
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;Cergy Pontoise Csg;FRA;D2 Novice Dames;F
BACAR;Raynourou;Raynourou BACAR;Colombes Sur Glace;FRA;D2 Minime Dames;F
BAKHABBAJ;Serena;Serena BAKHABBAJ;Asnieres Patinage;FRA;D2 Poussin Dames;F
BARADEL;Theo;Theo BARADEL;Cergy Pontoise Csg;FRA;D1 Junior Messieurs;M
BAUSSERON;Alexandra;Alexandra BAUSSERON;Club Olympique De Courbevoie;FRA;D1 Minime Dames;F
BEE;Angelina;Angelina BEE;Dammarie Csg;FRA;D2 Minime Dames;F
BEN ALI;Céloa;Céloa BEN ALI;Asnieres Patinage;FRA;D2 Poussin Dames;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;D2 Benjamin Dames;F
BENET MARCHAL;Camille;Camille BENET MARCHAL;Dammarie Csg;FRA;D2 Novice Dames;F
BENTARA;Iliana;Iliana BENTARA;Cergy Pontoise Csg;FRA;D2 Minime Dames;F
BERISSET;Ivan;Ivan BERISSET;Club Olympique De Courbevoie;FRA;D2 Minime Messieurs;M
BERTEAU;Alissa;Alissa BERTEAU;Club Olympique De Courbevoie;FRA;D2 Benjamin Dames;F
BOUALI;Melina Feryel;Melina Feryel BOUALI;Garges Les Gonesses Csg;FRA;D3 Minime Dames;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;Boulogne Acbb;FRA;D2 Minime Dames;F
BRINDEL-BLAZQUEZ;Ambre;Ambre BRINDEL-BLAZQUEZ;Neuilly Patinage Artistique;FRA;D3 Minime Dames;F
BUCHOTTE;Emie;Emie BUCHOTTE;Franconville Sg;FRA;D3 Benjamin Dames;F
BUZY;Côme;Côme BUZY;Boulogne Acbb;FRA;D3 Benjamin Dames;F
CHABANE;Ysnelle;Ysnelle CHABANE;Colombes Sur Glace;FRA;D1 Junior Dames;F
CHENNOUFI;Adam;Adam CHENNOUFI;Cergy Pontoise Csg;FRA;D3 Junior Senior Messieurs;M
COLL;Manon;Manon COLL;Club Olympique De Courbevoie;FRA;D3 Junior Senior Dames;F
COLLEMARE;Marielle;Marielle COLLEMARE;Colombes Sur Glace;FRA;D1 Novice Dames;F
COLLINET;Oceane;Oceane COLLINET;Champigny Csg;FRA;D3 Junior Senior Dames;F
DA ROCHA;Alicia;Alicia DA ROCHA;Champigny Csg;FRA;D3 Minime Dames;F
DANIELOU--PATIE;Valentine;Valentine DANIELOU--PATIE;Paris Club Francais Volants;FRA;D3 Junior Senior Dames;F
DANTENY;Melicia;Melicia DANTENY;Dammarie Csg;FRA;D3 Benjamin Dames;F
DAVID;Louise Marie;Louise Marie DAVID;Cergy Pontoise Csg;FRA;D2 Minime Dames;F
DEPERRIER;Héléna;Héléna DEPERRIER;Dammarie Csg;FRA;D2 Poussin Dames;F
DESIRAT;Axel;Axel DESIRAT;Boulogne Acbb;FRA;D2 Junior Messieurs;M
DEZAEL;Marie-Ly;Marie-Ly DEZAEL;Club Multi-Patinage De Tours;FRA;D2 Junior Dames;F
DHAINE;Emilie;Emilie DHAINE;Champigny Csg;FRA;D2 Junior Dames;F
DJERMANOVIC KERIRZIN;Nolann;Nolann DJERMANOVIC KERIRZIN;Champigny Csg;FRA;D2 Poussin Messieurs;M
DOLIGNIER;Alice;Alice DOLIGNIER;Neuilly Patinage Artistique;FRA;D3 Benjamin Dames;F
DOUSSY;Lea;Lea DOUSSY;Cergy Pontoise Csg;FRA;D3 Junior Senior Dames;F
DUNMILL;Lauren;Lauren DUNMILL;Franconville Sg;FRA;D2 Novice Dames;F
FILIPOVICH;Angelique;Angelique FILIPOVICH;Champigny Csg;FRA;D3 Minime Dames;F
FILLON;Ines;Ines FILLON;Dammarie Csg;FRA;D3 Novice Dames;F
FOFANA;Maya;Maya FOFANA;Paris Club Francais Volants;FRA;D1 Benjamin Dames;F
FORTES;Jiana;Jiana FORTES;Paris Club Francais Volants;FRA;D3 Minime Dames;F
