Surname;First Name;Full name;Club;Nationality;Category;Genre
ANTAL;Eva;Eva ANTAL;Roannais Patinage Artistique;FRA;N2 Minime - Dame;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;N2 Novice - Dame;F
ARTAUD;Agathe;Agathe ARTAUD;Briancon Les Escartons;FRA;N2 Junior - Dame;F
ARTAUD SAUNDERS;Stella;Stella ARTAUD SAUNDERS;Valence Patinage Artistique;FRA;N2 Poussin - Dame;F
BECERRA;Matyas Rafael;Matyas Rafael BECERRA;Grenoble Isere Metropole Patinage;FRA;N2 Junior - Homme;F
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;Programme type Intermediate - Dame;F
BERTSCH;Mila;Mila BERTSCH;Grenoble Isere Metropole Patinage;FRA;N1 Benjamin - Dame;F
BOGET;Juliette;Juliette BOGET;Chambery Csg;FRA;N2 Novice - Dame;F
BONNIN;Clea;Clea BONNIN;Hockey Patinage Romorantinais;FRA;N2 Novice - Dame;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;Programme type Intermediate - Dame;F
BOUDERSA;Cherine;Cherine BOUDERSA;Amnevillois Club Des Sports De Glace;FRA;N2 Minime - Dame;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;Amnevillois Club Des Sports De Glace;FRA;N2 Minime - Dame;F
BOURBON;Melina;Melina BOURBON;Annecy Sports Glace;FRA;N2 Minime - Dame;F
BOURIANT;Juliette;Juliette BOURIANT;Academie Sports De Glace Dijon-Bourgogne;FRA;N2 Junior - Dame;F
BRON;Sarah;Sarah BRON;Nantes Sports Glace;FRA;N2 Minime - Dame;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;Association Nice Baies Des Anges;FRA;N2 Minime - Dame;F
CASALENGO;Alice;Alice CASALENGO;Valence Patinage Artistique;FRA;N1 Junior - Dame;F
CERNEI;Laura;Laura CERNEI;Association Nice Baies Des Anges;FRA;N1 Novice - Dame;F
CHANTREAU;Nayah;Nayah CHANTREAU;Nantes Sports Glace;FRA;N2 Novice - Dame;F
CLERMIDY;Anaelle;Anaelle CLERMIDY;Grenoble Isere Metropole Patinage;FRA;N1 Junior - Dame;F
COLTURI;Lara;Lara COLTURI;Briancon Les Escartons;FRA;N1 Novice - Dame;F
COQUELET;Alice;Alice COQUELET;Lyon Glace Patinage;FRA;N2 Novice - Dame;F
DAPOIGNY;Ninon;Ninon DAPOIGNY;Grenoble Isere Metropole Patinage;FRA;N1 Minime - Dame;F
DE BON;Livia;Livia DE BON;;SUI;N2 Minime - Dame;F
DE BRAUWER;Shade;Shade DE BRAUWER;;BEL;N1 Novice - Dame;F
DE FREITAS PERESTRELO;Lisa;Lisa DE FREITAS PERESTRELO;Mulhouse Asg;FRA;N1 Junior - Dame;F
DETREILLE-MALL;Bérénice;Bérénice DETREILLE-MALL;Strasbourg Alsace Csg;FRA;N2 Novice - Dame;F
DUCHENE;Martin;Martin DUCHENE;Strasbourg Alsace Csg;FRA;N2 Benjamin - Homme;F
EDDABE;Layla;Layla EDDABE;Strasbourg Alsace Csg;FRA;N2 Novice - Dame;F
ESCROUZAILLES;Lou;Lou ESCROUZAILLES;Annecy Sports Glace;FRA;N2 Minime - Dame;F
ETOURMY;Ambre;Ambre ETOURMY;Briancon Les Escartons;FRA;N2 Novice - Dame;F
FAURE;Eloise;Eloise FAURE;Patinage Artistique Briviste;FRA;N2 Novice - Dame;F
FROETSCHER;Clara;Clara FROETSCHER;Association Nice Baies Des Anges;FRA;N2 Minime - Dame;F
GALLINET;Beatrice;Beatrice GALLINET;Briancon Les Escartons;FRA;N2 Minime - Dame;F
GARCIA;Carla;Carla GARCIA;Mulhouse Asg;FRA;N1 Minime - Dame;F
GARNEAU;Natasha;Natasha GARNEAU;Association Nice Baies Des Anges;FRA;N2 Benjamin - Dame;F
GHEBBARI;Kony;Kony GHEBBARI;Mulhouse Asg;FRA;N2 Junior - Dame;F
GHODBANE;Ly Ann;Ly Ann GHODBANE;Sport De Glace De Metz;FRA;N2 Novice - Dame;F
GOGITIDZE;Ilia;Ilia GOGITIDZE;Annecy Sports Glace;FRA;N1 Novice - Homme;F
GRANGIER;Clarine;Clarine GRANGIER;Roannais Patinage Artistique;FRA;N2 Novice - Dame;F
GUERRAH;Lea;Lea GUERRAH;Asnieres Patinage;FRA;N2 Poussin - Dame;F
GUILLOIS;Simon;Simon GUILLOIS;Havre Athletic Club Patinage Artistique;FRA;N2 Junior - Homme;F
HAZOTTE;Lola;Lola HAZOTTE;Amnevillois Club Des Sports De Glace;FRA;N1 Minime - Dame;F
HEUZARD-FRECHE;Salome;Salome HEUZARD-FRECHE;Nantes Sports Glace;FRA;N2 Benjamin - Dame;F
HIADLOVSKA;Emma;Emma HIADLOVSKA;Annecy Sports Glace;FRA;N1 Junior - Dame;F
ION;Ana-Maria;Ana-Maria ION;Amodio Figure Skating Academy Vaujany;;N2 Sénior - Dame;F
JANET;Margaux;Margaux JANET;Lyon Glace Patinage;FRA;N1 Novice - Dame;F
