Surname;First Name;Full name;Club;Nationality;Category;Genre
AMAT;Lison;Lison AMAT;Anglet Sports De Glace;FRA;N2 MINIME DAMES;F
AMAT;Faustine;Faustine AMAT;Anglet Sports De Glace;FRA;N1 JUNIOR DAMES;F
ANDREEA VOICU;Ramona;Ramona ANDREEA VOICU;;ROU;N1 JUNIOR DAMES;F
ANTAL;Eva;Eva ANTAL;Roannais Patinage Artistique;FRA;N2 MINIME DAMES;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;N2 NOVICE DAMES;F
ARTAUD SAUNDERS;Stella;Stella ARTAUD SAUNDERS;Valence Patinage Artistique;FRA;N1 POUSSIN DAMES;F
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;N2 MINIME DAMES;F
BELOT;Ines;Ines BELOT;Anglet Sports De Glace;FRA;N1 NOVICE DAMES;F
BOGET;Juliette;Juliette BOGET;Chambery Csg;FRA;N2 NOVICE DAMES;F
BONNIN;Clea;Clea BONNIN;Hockey Patinage Romorantinais;FRA;N2 NOVICE DAMES;F
CASALENGO;Alice;Alice CASALENGO;Valence Patinage Artistique;FRA;N1 JUNIOR DAMES;F
CHARLES;Chloé;Chloé CHARLES;Briancon Les Escartons;FRA;N2 BENJAMIN DAMES;F
CHENNELL;Noemy;Noemy CHENNELL;Clermont Auvergne Patinage Artistique;FRA;N2 POUSSIN  DAMES;F
CHOUTEAU;Selena;Selena CHOUTEAU;Association La Roche Sur Yon;FRA;N1 NOVICE DAMES;F
COLTURI;Lara;Lara COLTURI;Briancon Les Escartons;FRA;N1 NOVICE DAMES;F
DANCI;Flora;Flora DANCI;Brian Joubert Poitiers Glace;FRA;N2 POUSSIN  DAMES;F
DE BRAUWER;Shade;Shade DE BRAUWER;;BEL;N1 NOVICE DAMES;F
DORIER;Khelia;Khelia DORIER;Valence Patinage Artistique;FRA;N2 BENJAMIN DAMES;F
DUBROCA;Polina;Polina DUBROCA;Anglet Sports De Glace;FRA;N2 MINIME DAMES;F
ECONOMIDES;Luc;Luc ECONOMIDES;Amodio Figure Skating Academy Vaujany;FRA;N1 SENIOR MESSIEURS;F
ETOURMY;Ambre;Ambre ETOURMY;Briancon Les Escartons;FRA;N2 NOVICE DAMES;F
FRANDSEN;Elisa;Elisa FRANDSEN;Brian Joubert Poitiers Glace;FRA;N2 NOVICE DAMES;F
GALLINET;Beatrice;Beatrice GALLINET;Briancon Les Escartons;FRA;N2 MINIME DAMES;F
GRANGIER;Clarine;Clarine GRANGIER;Roannais Patinage Artistique;FRA;N2 NOVICE DAMES;F
HAMMI;Samy;Samy HAMMI;Brian Joubert Poitiers Glace;FRA;N1 SENIOR MESSIEURS;F
JIANG;Leo;Leo JIANG;Club Multi-Patinage De Tours;FRA;N2 NOVICE MESSIEURS;F
LAURENCENA;Angelina;Angelina LAURENCENA;Anglet Sports De Glace;FRA;N2 MINIME DAMES;F
LEMOINE;Noemie;Noemie LEMOINE;Asso Patinage Artistique Montdorien;FRA;N2 MINIME DAMES;F
LOPEZ;Alicia;Alicia LOPEZ;Alpe D'huez Patinage Club;FRA;N2 SENIOR DAMES;F
MAAROUF;Sophia;Sophia MAAROUF;Brian Joubert Poitiers Glace;FRA;N1 SENIOR DAMES;F
MASSON;Lou-Anne;Lou-Anne MASSON;Roannais Patinage Artistique;FRA;N2 NOVICE DAMES;F
MATHEVET;Clothilde;Clothilde MATHEVET;Chambery Csg;FRA;N2 MINIME DAMES;F
MEDARD;Jean;Jean MEDARD;Brian Joubert Poitiers Glace;FRA;N1 JUNIOR MESSIEURS;F
MEKANE NIAMAZOK;Emmanuelle;Emmanuelle MEKANE NIAMAZOK;Club Multi-Patinage De Tours;FRA;N2 NOVICE DAMES;F
PAULY;Tatiana;Tatiana PAULY;Brian Joubert Poitiers Glace;FRA;N2 BENJAMIN DAMES;F
PERCOT;Ilona;Ilona PERCOT;Association La Roche Sur Yon;FRA;N2 NOVICE DAMES;F
PHOLSENA;Angelina;Angelina PHOLSENA;Valence Patinage Artistique;FRA;N2 NOVICE DAMES;F
PINNA;Noa;Noa PINNA;Niortglace;FRA;N2 NOVICE DAMES;F
PITOT;Francois;Francois PITOT;Amodio Figure Skating Academy Vaujany;FRA;N1 SENIOR MESSIEURS;F
RITCHIE;Sylvain;Sylvain RITCHIE;Brian Joubert Poitiers Glace;FRA;N1 NOVICE MESSIEURS;F
ROHFRITSCH;Shirel;Shirel ROHFRITSCH;Neuilly Patinage Artistique;FRA;N2 MINIME DAMES;F
ROLS;Xan;Xan ROLS;Brian Joubert Poitiers Glace;FRA;N1 SENIOR MESSIEURS;F
ROLS;Joshua;Joshua ROLS;Brian Joubert Poitiers Glace;FRA;N1 SENIOR MESSIEURS;F
SAMICA;Salome;Salome SAMICA;Valence Patinage Artistique;FRA;N2 NOVICE DAMES;F
SANTOS;Yohan;Yohan SANTOS;Toulouse Club De Patinage;FRA;N2 SENIOR MESSIEURS;F
SAUVAGE;Chloe;Chloe SAUVAGE;Amodio Figure Skating Academy Vaujany;FRA;N1 NOVICE DAMES;F
SERET;Alexandra;Alexandra SERET;Amodio Figure Skating Academy Vaujany;FRA;N1 JUNIOR DAMES;F
VANGREVELYNGHE;Leane;Leane VANGREVELYNGHE;Hockey Patinage Romorantinais;FRA;N1 JUNIOR DAMES;F
VAUCLIN;Ian;Ian VAUCLIN;Amodio Figure Skating Academy Vaujany;FRA;N1 SENIOR MESSIEURS;F
VERNHES;Agathe;Agathe VERNHES;Clermont Auvergne Patinage Artistique;FRA;N2 POUSSIN  DAMES;F
VERNIN;Youna;Youna VERNIN;Roannais Patinage Artistique;FRA;N2 NOVICE DAMES;F
YANG;Maëlys;Maëlys YANG;Valence Patinage Artistique;FRA;N2 MINIME DAMES;F
