Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;Champigny Csg;FRA;N1 NOVICES DAMES;F
AHMED;Axel;Axel AHMED;Club Olympique De Courbevoie;FRA;N1 JUNIORS MESSIEURS;F
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;N2 BENJAMINS MESSIEURS;F
APPLASAWMY;Sanaelle;Sanaelle APPLASAWMY;Club Olympique De Courbevoie;FRA;N2 BENJAMINS DAMES;F
ARAGONES;Queralt;Queralt ARAGONES;Epwlm;FRA;OPEN NOVICE BASIC DAMES;F
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;Cergy Pontoise Csg;FRA;N2 MINIMES DAMES;F
BACAR;Raynourou;Raynourou BACAR;Colombes Sur Glace;FRA;N2 MINIMES DAMES;F
BARADEL;Theo;Theo BARADEL;Cergy Pontoise Csg;FRA;N1 JUNIORS MESSIEURS;F
BAUSSERON;Alexandra;Alexandra BAUSSERON;Club Olympique De Courbevoie;FRA;N1 NOVICES DAMES;F
BECERRA;Matyas Rafael;Matyas Rafael BECERRA;Grenoble Isere Metropole Patinage;FRA;N2 JUNIORS MESSIEURS;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;N2 BENJAMINS DAMES;F
BENARAB;Samsha;Samsha BENARAB;Club Olympique De Courbevoie;FRA;N1 MINIMES DAMES;F
BENTARA;Iliana;Iliana BENTARA;Cergy Pontoise Csg;FRA;N2 MINIMES DAMES;F
BERTEAU;Alissa;Alissa BERTEAU;Club Olympique De Courbevoie;FRA;N2 BENJAMINS DAMES;F
BERTSCH;Mila;Mila BERTSCH;Grenoble Isere Metropole Patinage;FRA;N1 MINIMES DAMES;F
BLANCHET;Lilian;Lilian BLANCHET;Grenoble Isere Metropole Patinage;FRA;N2 POUSSINS MESSIEURS;F
BOUILLAULT;Jade;Jade BOUILLAULT;Caen Acsel;FRA;N2 BENJAMINS DAMES;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;Boulogne Acbb;FRA;N2 MINIMES DAMES;F
BRON;Sarah;Sarah BRON;Nantes Sports Glace;FRA;N2 MINIMES DAMES;F
