Surname;First Name;Full name;Club;Nationality;Category;Genre
AHMED;Axel;Axel AHMED;Club Olympique De Courbevoie;FRA;N1 Junior Messieurs;M
ALLARD;Zoe;Zoe ALLARD;Association Nice Baies Des Anges;FRA;N2 Benjamin Dames;F
APPLASAWMY;Sanaelle;Sanaelle APPLASAWMY;Club Olympique De Courbevoie;FRA;N2 Benjamin Dames;F
ARTAUD;Charlotte;Charlotte ARTAUD;Briancon Les Escartons;FRA;N2 Novice Dames;F
ARTAUD;Agathe;Agathe ARTAUD;Briancon Les Escartons;FRA;N2 Junior Dames;F
BAUSSERON;Alexandra;Alexandra BAUSSERON;Club Olympique De Courbevoie;FRA;N1 Novice Dames;F
BECERRA;Matyas Rafael;Matyas Rafael BECERRA;Grenoble Isere Metropole Patinage;FRA;N2 Junior Messieurs;M
BEE;Angelina;Angelina BEE;Dammarie Csg;FRA;N2 Minime Dames;F
BENARAB;Samsha;Samsha BENARAB;Club Olympique De Courbevoie;FRA;N1 Minime Dames;F
BENET MARCHAL;Camille;Camille BENET MARCHAL;Dammarie Csg;FRA;N2 Novice Dames;F
BERISSET;Ivan;Ivan BERISSET;Club Olympique De Courbevoie;FRA;N2 Minime Messieurs;M
BERTEAU;Alissa;Alissa BERTEAU;Club Olympique De Courbevoie;FRA;N2 Benjamin Dames;F
BERTSCH;Mila;Mila BERTSCH;Grenoble Isere Metropole Patinage;FRA;N1 Minime Dames;F
BLANCHET;Lilian;Lilian BLANCHET;Grenoble Isere Metropole Patinage;FRA;N2 Poussin Messieurs;M
BOURIANT;Juliette;Juliette BOURIANT;Academie Sports De Glace Dijon-Bourgogne;FRA;N2 Junior Dames;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;N2 Novice Messieurs;M
BUI VAN FOUCHE;Loan;Loan BUI VAN FOUCHE;Skating Club Compiegne Oise;FRA;N1 Novice Dames;F
CAPACES;Judit;Judit CAPACES;Font Romeu Club Glace;FRA;N2 Novice Dames;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;Association Nice Baies Des Anges;FRA;N1 Minime Dames;F
CERNEI;Laura;Laura CERNEI;Association Nice Baies Des Anges;FRA;N1 Novice Dames;F
CHAFFOTTE;Fantine;Fantine CHAFFOTTE;Sport De Glace De Metz;FRA;N2 Novice Dames;F
CHARLES;Chloé;Chloé CHARLES;Briancon Les Escartons;FRA;N2 Benjamin Dames;F
CHAUMIN;Sarah;Sarah CHAUMIN;Club Multi-Patinage De Tours;FRA;N2 Junior Dames;F
CHENEY;Maxime;Maxime CHENEY;Club De Patinage Artistique De Reims;FRA;N1 Benjamin Messieurs;M
CHENEY;Alexandre;Alexandre CHENEY;Club De Patinage Artistique De Reims;FRA;N1 Junior Messieurs;M
CHENNELL;Noemy;Noemy CHENNELL;Clermont Auvergne Patinage Artistique;FRA;N2 Poussin Dames;F
CLEMENT;Victoire;Victoire CLEMENT;Sport De Glace De Metz;FRA;N2 Novice Dames;F
CLERMIDY;Anaelle;Anaelle CLERMIDY;Grenoble Isere Metropole Patinage;FRA;N1 Junior Dames;F
CORBELLARI;Lola;Lola CORBELLARI;Charleville Mezieres Sg;FRA;N2 Novice Dames;F
DAPOIGNY;Ninon;Ninon DAPOIGNY;Grenoble Isere Metropole Patinage;FRA;N1 Novice Dames;F
DASILVA-MOUTINHO;Elsa;Elsa DASILVA-MOUTINHO;Club De Patinage Artistique De Reims;FRA;N2 Poussin Dames;F
DE BRAUWER;Shade;Shade DE BRAUWER;;BEL;N1 Junior Dames;F
DE FREITAS PERESTRELO;Lisa;Lisa DE FREITAS PERESTRELO;Mulhouse Asg;FRA;N1 Junior Dames;F
DEBOURCES;Angel;Angel DEBOURCES;Charleville Mezieres Sg;FRA;N1 Junior Messieurs;M
DENIZART;Louise;Louise DENIZART;Club De Patinage Artistique De Reims;FRA;N2 Poussin Dames;F
DEPERRIER;Héléna;Héléna DEPERRIER;Dammarie Csg;FRA;N2 Poussin Dames;F
DESUERT;Kyara;Kyara DESUERT;Dammarie Csg;FRA;N2 Minime Dames;F
DEVITERNE-LAPEYRE;Louanne;Louanne DEVITERNE-LAPEYRE;Association Nice Baies Des Anges;FRA;N2 Minime Dames;F
DOROZARIO;Marie Lou;Marie Lou DOROZARIO;Dammarie Csg;FRA;N1 Junior Dames;F
DOUALE--LEPAGE;Oxence;Oxence DOUALE--LEPAGE;Amiens Patinage Club;FRA;N2 Novice Messieurs;M
DRIJKONINGEN;Aube-Laure;Aube-Laure DRIJKONINGEN;;BEL;N1 Minime Dames;F
EL ALJ;Sami;Sami EL ALJ;Club Olympique De Courbevoie;FRA;N2 Poussin Messieurs;M
ETOURMY;Ambre;Ambre ETOURMY;Briancon Les Escartons;FRA;N2 Novice Dames;F
FILLATRE;Louison;Louison FILLATRE;Louviers Ice Skating Club;FRA;N2 Minime Dames;F
FOFANA;Maya;Maya FOFANA;Paris Club Francais Volants;FRA;N2 Benjamin Dames;F
FROETSCHER;Clara;Clara FROETSCHER;Association Nice Baies Des Anges;FRA;N2 Minime Dames;F
GAGNARD;Aline;Aline GAGNARD;Skating Club Compiegne Oise;FRA;N2 Minime Dames;F
GALLINET;Beatrice;Beatrice GALLINET;Briancon Les Escartons;FRA;N2 Minime Dames;F
GARCIA;Carla;Carla GARCIA;Mulhouse Asg;FRA;N1 Minime Dames;F
GARNEAU;Natasha;Natasha GARNEAU;Association Nice Baies Des Anges;FRA;N1 Benjamin Dames;F
GASHAEVA;Liliya;Liliya GASHAEVA;Club De Patinage Artistique De Reims;FRA;N2 Minime Dames;F
GERARD;Hannah;Hannah GERARD;Dammarie Csg;FRA;N2 Benjamin Dames;F
GHEBBARI;Kirsten;Kirsten GHEBBARI;Mulhouse Asg;FRA;N1 Novice Dames;F
GHEBBARI;Kony;Kony GHEBBARI;Mulhouse Asg;FRA;N2 Junior Dames;F
GHODBANE;Ly Ann;Ly Ann GHODBANE;Sport De Glace De Metz;FRA;N2 Novice Dames;F
GLADKI;Stefania;Stefania GLADKI;Association Nice Baies Des Anges;FRA;N1 Novice Dames;F
GOBLET;Chloé;Chloé GOBLET;Amiens Patinage Club;FRA;N2 Minime Dames;F
GRAVE;Maelya;Maelya GRAVE;Association Nice Baies Des Anges;FRA;N2 Poussin Dames;F
HAMBYE;Prince De Luc;Prince De Luc HAMBYE;Club Olympique De Courbevoie;FRA;N2 Minime Messieurs;M
HONHON;Celiane;Celiane HONHON;;BEL;N1 Minime Dames;F
HUART;Salome;Salome HUART;Charleville Mezieres Sg;FRA;N1 Novice Dames;F
JAGIELLO;Tessa;Tessa JAGIELLO;Association Nice Baies Des Anges;FRA;N2 Poussin Dames;F
JEANNEAU;Daphne;Daphne JEANNEAU;Club Multi-Patinage De Tours;FRA;N2 Junior Dames;F
JIANG;Leo;Leo JIANG;Club Multi-Patinage De Tours;FRA;N2 Novice Messieurs;M
JOULIA;Margaux;Margaux JOULIA;Club De Patinage Artistique De Reims;FRA;N2 Benjamin Dames;F
KHALIDY;Sarah;Sarah KHALIDY;Charleville Mezieres Sg;FRA;N2 Novice Dames;F
KOLTUSHKIN;Anna;Anna KOLTUSHKIN;Club Olympique De Courbevoie;FRA;N2 Minime Dames;F
