Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;Champigny Csg;FRA;N1 NOVICE FEMME;F
AIBOUD;Sarah;Sarah AIBOUD;Champigny Csg;FRA;N2 BENJAMIN FEMME;F
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;N2 BENJAMIN HOMME;F
ALVARADO;Melissa;Melissa ALVARADO;Franconville Sg;FRA;MEDAILLE OPEN ADV NOVICE FEMME;F
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;Cergy Pontoise Csg;FRA;N2 MINIME FEMME;F
BAKHABBAJ;Serena;Serena BAKHABBAJ;Asnieres Patinage;FRA;N2 POUSSIN FEMME;F
BARADEL;Theo;Theo BARADEL;Cergy Pontoise Csg;FRA;N1 JUNIOR HOMME;F
BECK;Elena;Elena BECK;Amnevillois Club Des Sports De Glace;FRA;N2 BENJAMIN FEMME;F
BEN ALI;Céloa;Céloa BEN ALI;Asnieres Patinage;FRA;N2 POUSSIN FEMME;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;N2 BENJAMIN FEMME;F
BENTARA;Iliana;Iliana BENTARA;Cergy Pontoise Csg;FRA;N2 MINIME FEMME;F
BERGI;Delya;Delya BERGI;Vitry Esv Patinage;FRA;MEDAILLE OPEN BASIC NOVICE FEMME;F
BOUDERSA;Cherine;Cherine BOUDERSA;Amnevillois Club Des Sports De Glace;FRA;N2 MINIME FEMME;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;Amnevillois Club Des Sports De Glace;FRA;N2 MINIME FEMME;F
BOUMEZBEUR;Melina;Melina BOUMEZBEUR;Amnevillois Club Des Sports De Glace;FRA;N2 BENJAMIN FEMME;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;Boulogne Acbb;FRA;N2 MINIME FEMME;F
CHILINGUIRIAN;Julie;Julie CHILINGUIRIAN;Boulogne Acbb;FRA;N2 MINIME FEMME;F
CHILINGUIRIAN;Emma;Emma CHILINGUIRIAN;Boulogne Acbb;FRA;N2 MINIME FEMME;F
DAVID;Louise Marie;Louise Marie DAVID;Cergy Pontoise Csg;FRA;N2 MINIME FEMME;F
DESIRAT;Axel;Axel DESIRAT;Boulogne Acbb;FRA;N2 JUNIOR HOMME;F
DHAINE;Emilie;Emilie DHAINE;Champigny Csg;FRA;N2 JUNIOR FEMME;F
DJERMANOVIC KERIRZIN;Nolann;Nolann DJERMANOVIC KERIRZIN;Champigny Csg;FRA;N2 POUSSIN HOMME;F
DUFOUR;Emi;Emi DUFOUR;Dammarie Csg;FRA;N2 BENJAMIN FEMME;F
DUNMILL;Lauren;Lauren DUNMILL;Franconville Sg;FRA;N2 NOVICE FEMME;F
DUPRAT;Louise;Louise DUPRAT;Vitry Esv Patinage;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
EHRHARD PELLEGRIS;Louise / Matthis;Louise EHRHARD / Matthis PELLEGRIS;Champigny Csg / Champigny Csg;FRA;N1 JUNIOR COUPLE;F
FILIPOVICH;Angelique;Angelique FILIPOVICH;Champigny Csg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
GARNIER;Aurelie;Aurelie GARNIER;Asnieres Patinage;FRA;N2 BENJAMIN FEMME;F
GELLON;Baptiste;Baptiste GELLON;Champigny Csg;FRA;N1 POUSSIN HOMME;F
GLESSER;Oceane;Oceane GLESSER;Cergy Pontoise Csg;FRA;N1 SENIOR FEMME;F
GRODARD OLIVER;Colin;Colin GRODARD OLIVER;Champigny Csg;FRA;N2 JUNIOR HOMME;F
GUERRAH;Lea;Lea GUERRAH;Asnieres Patinage;FRA;N1 POUSSIN FEMME;F
GUILLOIS;Simon;Simon GUILLOIS;Havre Athletic Club Patinage Artistique;FRA;N2 JUNIOR HOMME;F
HALLET;Charlie;Charlie HALLET;Champigny Csg;FRA;N2 BENJAMIN FEMME;F
HAYET;Elsa;Elsa HAYET;Cergy Pontoise Csg;FRA;N1 JUNIOR FEMME;F
HAZOTTE;Lola;Lola HAZOTTE;Amnevillois Club Des Sports De Glace;FRA;N1 MINIME FEMME;F
HELT;Lena;Lena HELT;Boulogne Acbb;FRA;N1 NOVICE FEMME;F
HEMIMOU;Janna;Janna HEMIMOU;Boulogne Acbb;FRA;N1 JUNIOR FEMME;F
HEURTEBIS;Anne-Sophie;Anne-Sophie HEURTEBIS;Boulogne Acbb;FRA;N1 MINIME FEMME;F
HEURTEBIS;Lorenzo;Lorenzo HEURTEBIS;Boulogne Acbb;FRA;N2 BENJAMIN HOMME;F
KHACHAB;Mayane;Mayane KHACHAB;Club Olympique De Courbevoie;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
KHOUADER;Fatiha;Fatiha KHOUADER;Franconville Sg;FRA;N2 MINIME FEMME;F
KHOUADER;Assia;Assia KHOUADER;Franconville Sg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
KHOUADER;Assia;Assia KHOUADER;Franconville Sg;FRA;N1 POUSSIN FEMME;F
LEMAIRE;Clara;Clara LEMAIRE;Cergy Pontoise Csg;FRA;N1 MINIME FEMME;F
LEMAIRE;Maelie Jude;Maelie Jude LEMAIRE;Cergy Pontoise Csg;FRA;N1 MINIME FEMME;F
LEPAGE;Olga;Olga LEPAGE;Champigny Csg;FRA;N2 BENJAMIN FEMME;F
LI;Falyne;Falyne LI;Cergy Pontoise Csg;FRA;N2 JUNIOR FEMME;F
MACRE;Ilana;Ilana MACRE;Asnieres Patinage;FRA;N1 MINIME FEMME;F
MAUMET;Lorine;Lorine MAUMET;Champigny Csg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
MENUT;Lalie;Lalie MENUT;Amnevillois Club Des Sports De Glace;FRA;N2 BENJAMIN FEMME;F
MEURIC;Daphne;Daphne MEURIC;Boulogne Acbb;FRA;N1 NOVICE FEMME;F
MEZIANI;Ambrine;Ambrine MEZIANI;Champigny Csg;FRA;N2 BENJAMIN FEMME;F
MONTIEL;Audrey;Audrey MONTIEL;Boulogne Acbb;FRA;N1 MINIME FEMME;F
MOREAU;Dorine;Dorine MOREAU;Franconville Sg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
MOUDAKKIR;Sanaa;Sanaa MOUDAKKIR;Franconville Sg;FRA;N2 MINIME FEMME;F
NANDROT;Luca;Luca NANDROT;Champigny Csg;FRA;N1 NOVICE HOMME;F
NARDONI;Isabella;Isabella NARDONI;Boulogne Acbb;FRA;N2 MINIME FEMME;F
OBANDO;Emilie;Emilie OBANDO;Asnieres Patinage;FRA;N1 MINIME FEMME;F
OLIVEIRA;Eva;Eva OLIVEIRA;Boulogne Acbb;FRA;N2 MINIME FEMME;F
PAITIER;Marion;Marion PAITIER;Boulogne Acbb;FRA;N2 NOVICE FEMME;F
PANNEAU-THIERY;Lola;Lola PANNEAU-THIERY;Franconville Sg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
PANNETIER;Maxence;Maxence PANNETIER;Vitry Esv Patinage;FRA;MEDAILLE OPEN BASIC NOVICE HOMME;F
PANNETIER;Pauline;Pauline PANNETIER;Vitry Esv Patinage;FRA;MEDAILLE OPEN SANS PRELIMINAIRE SOCLE A;F
POLIKANOVAS;Elisabet;Elisabet POLIKANOVAS;Champigny Csg;FRA;N1 NOVICE FEMME;F
POULIQUEN;Leane;Leane POULIQUEN;Franconville Sg;FRA;N2 MINIME FEMME;F
RAPESO;Alessio;Alessio RAPESO;Dunkerque Patinage;FRA;N2 JUNIOR HOMME;F
RIVAUD;Lise;Lise RIVAUD;Boulogne Acbb;FRA;N1 MINIME FEMME;F
ROBIC;Nolwenn;Nolwenn ROBIC;Franconville Sg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
ROCCHINI;Enalia;Enalia ROCCHINI;Vitry Esv Patinage;FRA;N2 BENJAMIN FEMME;F
ROUAHI;Rahma;Rahma ROUAHI;Neuilly Patinage Artistique;FRA;N2 BENJAMIN FEMME;F
SELIVESTRU;Andreea;Andreea SELIVESTRU;Franconville Sg;FRA;MEDAILLE OPEN INTERMEDIATE NOVICE FEMME;F
TAHAR;Ilyana;Ilyana TAHAR;Amnevillois Club Des Sports De Glace;FRA;N2 NOVICE FEMME;F
VANDAMME;Misha;Misha VANDAMME;Boulogne Acbb;FRA;N2 BENJAMIN FEMME;F
VANDAMME;Muse;Muse VANDAMME;Boulogne Acbb;FRA;N2 POUSSIN FEMME;F
VEILLARD GUISSET;Clemence;Clemence VEILLARD GUISSET;Boulogne Acbb;FRA;N1 JUNIOR FEMME;F
VIVIEN;Aleksandra;Aleksandra VIVIEN;Champigny Csg;FRA;N1 JUNIOR FEMME;F
VIVIEN;Charlotte;Charlotte VIVIEN;Champigny Csg;FRA;N2 MINIME FEMME;F
VIVIEN NANDROT;Charlotte / Lucas;Charlotte VIVIEN / Lucas NANDROT;Champigny Csg / Champigny Csg;FRA;N1 MINIME COUPLE;F
WAGNER;Alizee;Alizee WAGNER;Amnevillois Club Des Sports De Glace;FRA;MEDAILLE OPEN BASIC NOVICE FEMME;F
WEHMEYER;Aure;Aure WEHMEYER;Boulogne Acbb;FRA;N2 MINIME FEMME;F
YAJJOU;Yasmeen;Yasmeen YAJJOU;Franconville Sg;FRA;N1 NOVICE FEMME;F
YAN;Anna;Anna YAN;Champigny Csg;FRA;N2 BENJAMIN FEMME;F
