Surname;First Name;Full name;Club;Nationality;Category;Genre
AMAT;Lison;Lison AMAT;Anglet Sports De Glace;FRA;N2 - MINIMES DAMES;F
ANTAL;Eva;Eva ANTAL;Roannais Patinage Artistique;FRA;N2 - MINIMES DAMES;F
ARTAUD SAUNDERS;Stella;Stella ARTAUD SAUNDERS;Valence Patinage Artistique;FRA;N1 - POUSSINS DAMES;F
BABILANI;Tiana;Tiana BABILANI;Annecy Sports Glace;FRA;N2 - BENJAMINS DAMES;F
BACAR;Raynourou;Raynourou BACAR;Colombes Sur Glace;FRA;N2 - MINIMES DAMES;F
BELLOUATI;Jade;Jade BELLOUATI;Valence Patinage Artistique;FRA;N2 - MINIMES DAMES;F
BELOT;Ines;Ines BELOT;Anglet Sports De Glace;FRA;N1 - JUNIORS DAMES;F
BOGET;Juliette;Juliette BOGET;Chambery Csg;FRA;N2 - NOVICES DAMES;F
BONNIN;Clea;Clea BONNIN;Hockey Patinage Romorantinais;FRA;N2 - NOVICES DAMES;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;N2 - MINIMES DAMES;F
BOUILLAULT;Jade;Jade BOUILLAULT;Caen Acsel;FRA;N1 - BENJAMINS DAMES;F
BOURBON;Melina;Melina BOURBON;Annecy Sports Glace;FRA;N2 - MINIMES DAMES;F
BRON;Sarah;Sarah BRON;Nantes Sports Glace;FRA;N2 - MINIMES DAMES;F
CASALENGO;Alice;Alice CASALENGO;Valence Patinage Artistique;FRA;N1 - JUNIORS DAMES;F
CHABANE;Ysnelle;Ysnelle CHABANE;Colombes Sur Glace;FRA;N1 - JUNIORS DAMES;F
CHAN;Amandine;Amandine CHAN;Espar;FRA;N2 - MINIMES DAMES;F
CHANTREAU;Nayah;Nayah CHANTREAU;Nantes Sports Glace;FRA;N2 - NOVICES DAMES;F
CHOUTEAU;Selena;Selena CHOUTEAU;Association La Roche Sur Yon;FRA;N1 - NOVICES DAMES;F
COLLEMARE;Marielle;Marielle COLLEMARE;Colombes Sur Glace;FRA;N1 - NOVICES DAMES;F
COQUELET;Alice;Alice COQUELET;Lyon Glace Patinage;FRA;N2 - NOVICES DAMES;F
DANCI;Flora;Flora DANCI;Brian Joubert Poitiers Glace;FRA;N2 - POUSSINS DAMES;F
DE FONDAUMIERE;Mathieu;Mathieu DE FONDAUMIERE;Valence Patinage Artistique;FRA;N2 - JUNIORS MESSIEURS;F
DESJARDINS;Eloise;Eloise DESJARDINS;Club De Patinage De Colmar;FRA;N2 - MINIMES DAMES;F
DETREILLE-MALL;Bérénice;Bérénice DETREILLE-MALL;Strasbourg Alsace Csg;FRA;N2 - NOVICES DAMES;F
DORIER;Khelia;Khelia DORIER;Valence Patinage Artistique;FRA;N2 - BENJAMINS DAMES;F
DUBROCA;Polina;Polina DUBROCA;Anglet Sports De Glace;FRA;N2 - MINIMES DAMES;F
DUCHENE;Martin;Martin DUCHENE;Strasbourg Alsace Csg;FRA;N2 - BENJAMINS MESSIEURS;F
ESCROUZAILLES;Lou;Lou ESCROUZAILLES;Annecy Sports Glace;FRA;N2 - MINIMES DAMES;F
FAURE;Eloise;Eloise FAURE;Patinage Artistique Briviste;FRA;N2 - NOVICES DAMES;F
FRANDSEN;Elisa;Elisa FRANDSEN;Brian Joubert Poitiers Glace;FRA;N2 - NOVICES DAMES;F
GERBIER;Prune;Prune GERBIER;Club De Patinage De Colmar;FRA;N2 - MINIMES DAMES;F
GOGITIDZE;Ilia;Ilia GOGITIDZE;Annecy Sports Glace;FRA;N1 - NOVICES MESSIEURS;F
GRANGIER;Clarine;Clarine GRANGIER;Roannais Patinage Artistique;FRA;N2 - NOVICES DAMES;F
HAMMI;Samy;Samy HAMMI;Brian Joubert Poitiers Glace;FRA;N1 - SENIORS MESSIEURS;F
HEUZARD-FRECHE;Salome;Salome HEUZARD-FRECHE;Nantes Sports Glace;FRA;N1 - BENJAMINS DAMES;F
JANET;Margaux;Margaux JANET;Lyon Glace Patinage;FRA;N1 - NOVICES DAMES;F
JANY;Irina;Irina JANY;Colombes Sur Glace;FRA;N2 - POUSSINS DAMES;F
JEANNE;Sophia;Sophia JEANNE;Caen Acsel;FRA;N1 - POUSSINS DAMES;F
KUBLER;Hannah;Hannah KUBLER;Caen Acsel;FRA;N2 - MINIMES DAMES;F
LAENG;Julie;Julie LAENG;Strasbourg Alsace Csg;FRA;N2 - MINIMES DAMES;F
LAGUERRE;Lily-Rose;Lily-Rose LAGUERRE;Annecy Sports Glace;FRA;N1 - MINIMES DAMES;F
LAMARRE;Alix;Alix LAMARRE;Belfort Asm;FRA;N2 - MINIMES DAMES;F
LAUBENHEIMER;Capucine;Capucine LAUBENHEIMER;Nantes Sports Glace;FRA;N2 - NOVICES DAMES;F
LAURENCENA;Angelina;Angelina LAURENCENA;Anglet Sports De Glace;FRA;N2 - MINIMES DAMES;F
LE MAY;Vassili;Vassili LE MAY;Nantes Sports Glace;FRA;N2 - JUNIORS MESSIEURS;F
LEAL;Wendy;Wendy LEAL;Espar;FRA;N2 - POUSSINS DAMES;F
LEBRUMENT;Timothee;Timothee LEBRUMENT;Espar;FRA;N1 - MINIMES MESSIEURS;F
LECADRE;Pierre;Pierre LECADRE;Espar;FRA;N1 - MINIMES MESSIEURS;F
LECESNE;Jade;Jade LECESNE;Annecy Sports Glace;FRA;N2 - NOVICES DAMES;F
LEGENDRE;Olivia;Olivia LEGENDRE;Strasbourg Alsace Csg;FRA;N1 - POUSSINS DAMES;F
LEMARCHAND;Alice;Alice LEMARCHAND;Espar;FRA;N2 - MINIMES DAMES;F
LEMOINE;Noemie;Noemie LEMOINE;Asso Patinage Artistique Montdorien;FRA;N2 - MINIMES DAMES;F
LOREAU;Audric;Audric LOREAU;Strasbourg Alsace Csg;FRA;N2 - POUSSINS MESSIEURS;F
MAAROUF;Sophia;Sophia MAAROUF;Brian Joubert Poitiers Glace;FRA;N1 - SENIORS DAMES;F
MASSON;Lou-Anne;Lou-Anne MASSON;Roannais Patinage Artistique;FRA;N2 - NOVICES DAMES;F
MASSON;Elsa;Elsa MASSON;Roannais Patinage Artistique;FRA;N2 - MINIMES DAMES;F
MASUREL;Olivia;Olivia MASUREL;Epwlm;FRA;N1 - MINIMES DAMES;F
MATHEVET;Clothilde;Clothilde MATHEVET;Chambery Csg;FRA;N2 - MINIMES DAMES;F
MEDARD;Jean;Jean MEDARD;Brian Joubert Poitiers Glace;FRA;N1 - JUINIORS MESSIEURS;F
MESNIL;Constance;Constance MESNIL;Epwlm;FRA;N2 - BENJAMINS DAMES;F
MULLER;Alya;Alya MULLER;Club De Patinage De Colmar;FRA;N2 - MINIMES DAMES;F
NAVASARDYAN;Ivetta;Ivetta NAVASARDYAN;Caen Acsel;FRA;N1 - POUSSINS DAMES;F
NEHEMIA;Tahlie;Tahlie NEHEMIA;Club De Patinage De Colmar;FRA;N2 - BENJAMINS DAMES;F
NUCCI;Mathilde;Mathilde NUCCI;Lyon Glace Patinage;FRA;N2 - NOVICES DAMES;F
OZDAMAR;Aylin;Aylin OZDAMAR;Belfort Asm;FRA;N2 - NOVICES DAMES;F
PAULY;Tatiana;Tatiana PAULY;Brian Joubert Poitiers Glace;FRA;N2 - BENJAMINS DAMES;F
PERCOT;Ilona;Ilona PERCOT;Association La Roche Sur Yon;FRA;N2 - NOVICES DAMES;F
PHOLSENA;Angelina;Angelina PHOLSENA;Valence Patinage Artistique;FRA;N2 - NOVICES DAMES;F
PINNA;Noa;Noa PINNA;Niortglace;FRA;N2 - NOVICES DAMES;F
PRIEUR DU PERRAY;Timothee;Timothee PRIEUR DU PERRAY;Asso Choletaise De Patinage Sur Glace;FRA;N1 - BENJAMINS MESSIEURS;F
RIGAUDEAU;Lilou;Lilou RIGAUDEAU;Asso Choletaise De Patinage Sur Glace;FRA;N1 - JUNIORS DAMES;F
ROLS;Xan;Xan ROLS;Brian Joubert Poitiers Glace;FRA;N1 - SENIORS MESSIEURS;F
ROLS;Joshua;Joshua ROLS;Brian Joubert Poitiers Glace;FRA;N1 - SENIORS MESSIEURS;F
ROMAND;Margot;Margot ROMAND;Annecy Sports Glace;FRA;N2 - NOVICES DAMES;F
ROQUE;Romane;Romane ROQUE;Lyon Glace Patinage;FRA;N2 - NOVICES DAMES;F
RUDER;Robin;Robin RUDER;Strasbourg Alsace Csg;FRA;N2 - POUSSINS MESSIEURS;F
SAHRAOUI;Meyssoun;Meyssoun SAHRAOUI;Belfort Asm;FRA;N1 - MINIMES DAMES;F
SAMICA;Salome;Salome SAMICA;Valence Patinage Artistique;FRA;N2 - NOVICES DAMES;F
SAUVAGET;Anton;Anton SAUVAGET;Colombes Sur Glace;FRA;N1 - NOVICES MESSIEURS;F
THOMAS LEDREN;Lena;Lena THOMAS LEDREN;Nantes Sports Glace;FRA;N2 - MINIMES DAMES;F
TRANCOSO;Sarah;Sarah TRANCOSO;Espar;FRA;N2 - MINIMES DAMES;F
VATINE ALVEZ;Celenia;Celenia VATINE ALVEZ;Espar;FRA;N2 - POUSSINS DAMES;F
VERBAT;Daniel;Daniel VERBAT;Annecy Sports Glace;FRA;N1 - MINIMES MESSIEURS;F
VERNIN;Youna;Youna VERNIN;Roannais Patinage Artistique;FRA;N2 - NOVICES DAMES;F
WARIN;Emma;Emma WARIN;Roannais Patinage Artistique;FRA;N2 - MINIMES DAMES;F
WITKOWSKI;Candie;Candie WITKOWSKI;Nantes Sports Glace;FRA;N2 - NOVICES DAMES;F
YANDIBENE-PIGOT;Emma;Emma YANDIBENE-PIGOT;Anglet Sports De Glace;FRA;N2 - POUSSINS DAMES;F
YANG;Adeline;Adeline YANG;Asso Choletaise De Patinage Sur Glace;FRA;N2 - BENJAMINS DAMES;F
YANG;Maëlys;Maëlys YANG;Valence Patinage Artistique;FRA;N2 - MINIMES DAMES;F
