Surname;First Name;Full name;Club;Nationality;Category;Genre
BABILANI;Tiana;Tiana BABILANI;Annecy Sports Glace;FRA;N2 Benjamin Dames;F
BAKHABBAJ;Serena;Serena BAKHABBAJ;Asnieres Patinage;FRA;N2 Poussin Dames;F
BEE;Angelina;Angelina BEE;Dammarie Csg;FRA;N2 Minime Dames;F
BENET MARCHAL;Camille;Camille BENET MARCHAL;Dammarie Csg;FRA;N2 Novice Dames;F
BORNER;Camille;Camille BORNER;Annecy Sports Glace;FRA;N2 Minime Dames;F
BOUDERSA;Cherine;Cherine BOUDERSA;Amnevillois Club Des Sports De Glace;FRA;N2 Minime Dames;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;Amnevillois Club Des Sports De Glace;FRA;N2 Minime Dames;F
BOURBON;Melina;Melina BOURBON;Annecy Sports Glace;FRA;N2 Minime Dames;F
BUI VAN FOUCHE;Loan;Loan BUI VAN FOUCHE;Skating Club Compiegne Oise;FRA;N1 Novice Dames;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;Association Nice Baies Des Anges;FRA;N1 Minime Dames;F
CERNEI;Laura;Laura CERNEI;Association Nice Baies Des Anges;FRA;N1 Novice Dames;F
CHAFFOTTE;Fantine;Fantine CHAFFOTTE;Sport De Glace De Metz;FRA;N2 Novice Dames;F
CHENEY;Alexandre;Alexandre CHENEY;Club De Patinage Artistique De Reims;FRA;N1 Junior Messieurs;M
CHENEY;Maxime;Maxime CHENEY;Club De Patinage Artistique De Reims;FRA;N1 Benjamin Messieurs;M
COQUELET;Alice;Alice COQUELET;Lyon Glace Patinage;FRA;N2 Novice Dames;F
CORBELLARI;Lola;Lola CORBELLARI;Charleville Mezieres Sg;FRA;N2 Novice Dames;F
DE FREITAS PERESTRELO;Lisa;Lisa DE FREITAS PERESTRELO;Mulhouse Asg;FRA;N1 Junior Dames;F
DEBOURCES;Angel;Angel DEBOURCES;Charleville Mezieres Sg;FRA;N1 Junior Messieurs;M
DEPERRIER;Héléna;Héléna DEPERRIER;Dammarie Csg;FRA;N2 Poussin Dames;F
DESJARDINS;Eloise;Eloise DESJARDINS;Club De Patinage De Colmar;FRA;N2 Minime Dames;F
DESUERT;Kyara;Kyara DESUERT;Dammarie Csg;FRA;N2 Minime Dames;F
DETREILLE-MALL;Bérénice;Bérénice DETREILLE-MALL;Strasbourg Alsace Csg;FRA;N2 Novice Dames;F
DEVITERNE-LAPEYRE;Louanne;Louanne DEVITERNE-LAPEYRE;Association Nice Baies Des Anges;FRA;N2 Minime Dames;F
DOROZARIO;Marie Lou;Marie Lou DOROZARIO;Dammarie Csg;FRA;N1 Junior Dames;F
DRIJKONINGEN;Aube-Laure;Aube-Laure DRIJKONINGEN;;BEL;N1 Minime Dames;F
DUCHENE;Martin;Martin DUCHENE;Strasbourg Alsace Csg;FRA;N2 Benjamin Messieurs;M
