Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;Champigny Csg;FRA;N1 Novice Dames;F
AHMED;Axel;Axel AHMED;Club Olympique De Courbevoie;FRA;N1 Junior Messieurs;M
ALIZON;Constant;Constant ALIZON;Boulogne Acbb;FRA;N2 Benjamin Messieurs;M
AMAT;Faustine;Faustine AMAT;Anglet Sports De Glace;FRA;N1 Junior Dames;F
AMAT;Lison;Lison AMAT;Anglet Sports De Glace;FRA;N2 Minime Dames Serie 1;F
ANTCHAGNO;Jennifer;Jennifer ANTCHAGNO;Champigny Csg;FRA;N1 Novice Dames;F
APPLASAWMY;Sanaelle;Sanaelle APPLASAWMY;Club Olympique De Courbevoie;FRA;N2 Benjamin Dames;F
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;Cergy Pontoise Csg;FRA;N2 Minime Dames Serie 1;F
BACAR;Raynourou;Raynourou BACAR;Colombes Sur Glace;FRA;N2 Minime Dames Serie 1;F
BARADEL;Theo;Theo BARADEL;Cergy Pontoise Csg;FRA;N1 Junior Messieurs;M
BAUSSERON;Alexandra;Alexandra BAUSSERON;Club Olympique De Courbevoie;FRA;N1 Minime Dames;F
BEE;Angelina;Angelina BEE;Dammarie Csg;FRA;N2 Minime Dames Serie 1;F
BELOT;Ines;Ines BELOT;Anglet Sports De Glace;FRA;N1 Novice Dames;F
BENAMAR;Selma;Selma BENAMAR;Cergy Pontoise Csg;FRA;N2 Benjamin Dames;F
BENARAB;Samsha;Samsha BENARAB;Club Olympique De Courbevoie;FRA;N1 Minime Dames;F
BENET MARCHAL;Camille;Camille BENET MARCHAL;Dammarie Csg;FRA;N2 Novice Dames;F
BERTEAU;Alissa;Alissa BERTEAU;Club Olympique De Courbevoie;FRA;N2 Benjamin Dames;F
BOUILLAULT;Jade;Jade BOUILLAULT;Caen Acsel;FRA;N2 Benjamin Dames;F
BUI VAN FOUCHE;Loan;Loan BUI VAN FOUCHE;Skating Club Compiegne Oise;FRA;N1 Minime Dames;F
CHAUMIN;Sarah;Sarah CHAUMIN;Club Multi-Patinage De Tours;FRA;N2 Junior Dames;F
CHENEY;Maxime;Maxime CHENEY;Club De Patinage Artistique De Reims;FRA;N1 Benjamin Messieurs;M
CHILINGUIRIAN;Emma;Emma CHILINGUIRIAN;Boulogne Acbb;FRA;N2 Minime Dames Serie 1;F
CHILINGUIRIAN;Julie;Julie CHILINGUIRIAN;Boulogne Acbb;FRA;N2 Minime Dames Serie 1;F
CHOUTEAU;Selena;Selena CHOUTEAU;Association La Roche Sur Yon;FRA;N1 Novice Dames;F
COLLEMARE;Marielle;Marielle COLLEMARE;Colombes Sur Glace;FRA;N1 Novice Dames;F
CONNEBERT;Louane;Louane CONNEBERT;Espar;FRA;N2 Junior Dames;F
CORBELLARI;Lola;Lola CORBELLARI;Charleville Mezieres Sg;FRA;N2 Novice Dames;F
DEBOURCES;Angel;Angel DEBOURCES;Charleville Mezieres Sg;FRA;N1 Junior Messieurs;M
DELMOULY;Cirine;Cirine DELMOULY;Champigny Csg;FRA;N2 Junior Dames;F
DESUERT;Kyara;Kyara DESUERT;Dammarie Csg;FRA;N2 Minime Dames Serie 1;F
DHAINE;Emilie;Emilie DHAINE;Champigny Csg;FRA;N2 Junior Dames;F
DOROZARIO;Marie Lou;Marie Lou DOROZARIO;Dammarie Csg;FRA;N1 Junior Dames;F
DRIJKONINGEN;Aube-Laure;Aube-Laure DRIJKONINGEN;;BEL;N1 Minime Dames;F
DUBROCA;Polina;Polina DUBROCA;Anglet Sports De Glace;FRA;N2 Minime Dames Serie 1;F
FOFANA;Maya;Maya FOFANA;Paris Club Francais Volants;FRA;N2 Benjamin Dames;F
FRANDSEN;Elisa;Elisa FRANDSEN;Brian Joubert Poitiers Glace;FRA;N2 Novice Dames;F
GELLON;Baptiste;Baptiste GELLON;Champigny Csg;FRA;N1 Poussin Messieurs;M
GLESSER;Oceane;Oceane GLESSER;Cergy Pontoise Csg;FRA;N1 Senior Dames;F
GOBLET;Chloé;Chloé GOBLET;Amiens Patinage Club;FRA;N2 Minime Dames Serie 1;F
HAMMI;Samy;Samy HAMMI;Brian Joubert Poitiers Glace;FRA;N1 Senior Messieurs;M
HARPE;Leelou;Leelou HARPE;Espar;FRA;N1 Novice Dames;F
HARUTYUNYAN;Any;Any HARUTYUNYAN;Caen Acsel;FRA;N1 Junior Dames;F
HAYET;Elsa;Elsa HAYET;Cergy Pontoise Csg;FRA;N1 Junior Dames;F
HELT;Lena;Lena HELT;Boulogne Acbb;FRA;N1 Novice Dames;F
HEMIMOU;Janna;Janna HEMIMOU;Boulogne Acbb;FRA;N1 Junior Dames;F
HEURTEBIS;Anne-Sophie;Anne-Sophie HEURTEBIS;Boulogne Acbb;FRA;N2 Benjamin Dames;F
HONHON;Celiane;Celiane HONHON;;BEL;N2 Minime Dames Serie 1;F
HOVINE;Jade;Jade HOVINE;;BEL;N1 Senior Dames;F
HUART;Salome;Salome HUART;Charleville Mezieres Sg;FRA;N1 Novice Dames;F
JEANNEAU;Daphne;Daphne JEANNEAU;Club Multi-Patinage De Tours;FRA;N2 Junior Dames;F
JIANG;Leo;Leo JIANG;Club Multi-Patinage De Tours;FRA;N2 Novice Messieurs;M
JOULIA;Margaux;Margaux JOULIA;Club De Patinage Artistique De Reims;FRA;N2 Benjamin Dames;F
KHALIDY;Sarah;Sarah KHALIDY;Charleville Mezieres Sg;FRA;N2 Novice Dames;F
KHOUADER;Assia;Assia KHOUADER;Franconville Sg;FRA;N1 Poussin Dames;F
KOLTUSHKIN;Anna;Anna KOLTUSHKIN;Club Olympique De Courbevoie;FRA;N2 Minime Dames Serie 1;F
KOLTUSHKIN;Victoria;Victoria KOLTUSHKIN;Club Olympique De Courbevoie;FRA;N2 Benjamin Dames;F
LEBRUMENT;Timothee;Timothee LEBRUMENT;Espar;FRA;N2 Minime Messieurs;M
LECADRE;Pierre;Pierre LECADRE;Espar;FRA;N1 Minime Messieurs;M
LEMAIRE;Clara;Clara LEMAIRE;Cergy Pontoise Csg;FRA;N1 Minime Dames;F
LEMAIRE;Maelie Jude;Maelie Jude LEMAIRE;Cergy Pontoise Csg;FRA;N1 Minime Dames;F
LEMARCHAND;Alice;Alice LEMARCHAND;Espar;FRA;N2 Minime Dames Serie 1;F
LI;Falyne;Falyne LI;Cergy Pontoise Csg;FRA;N2 Junior Dames;F
LIROT;Alexandre;Alexandre LIROT;Dammarie Csg;FRA;N2 Benjamin Messieurs;M
LOEZ;Jeanne;Jeanne LOEZ;Club France;FRA;N1 Junior Dames;F
MAAROUF;Sophia;Sophia MAAROUF;Brian Joubert Poitiers Glace;FRA;N1 Senior Dames;F
MALETTE;Clara;Clara MALETTE;Club De Patinage Artistique De Reims;FRA;N2 Benjamin Dames;F
MEDARD;Jean;Jean MEDARD;Brian Joubert Poitiers Glace;FRA;N1 Junior Messieurs;M
MEKANE NIAMAZOK;Emmanuelle;Emmanuelle MEKANE NIAMAZOK;Club Multi-Patinage De Tours;FRA;N2 Novice Dames;F
MEURIC;Daphne;Daphne MEURIC;Boulogne Acbb;FRA;N1 Novice Dames;F
MOUDAKKIR;Sanaa;Sanaa MOUDAKKIR;Franconville Sg;FRA;N2 Minime Dames Serie 1;F
NANDROT;Luca;Luca NANDROT;Champigny Csg;FRA;N2 Novice Messieurs;M
NOUGA;Dorcas Odile;Dorcas Odile NOUGA;Caen Acsel;FRA;N2 Junior Dames;F
OLIVEIRA;Eva;Eva OLIVEIRA;Boulogne Acbb;FRA;N2 Minime Dames Serie 1;F
OUDOT;Anais;Anais OUDOT;Club De Patinage Artistique De Reims;FRA;N2 Novice Dames;F
OVIDE ETIENNE;Sheryl;Sheryl OVIDE ETIENNE;Club Olympique De Courbevoie;FRA;N1 Minime Dames;F
PAITIER;Marion;Marion PAITIER;Boulogne Acbb;FRA;N2 Novice Dames;F
