Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERT;Maeva;Maeva ALBERT;Castres Sports De Glace;FRA;CATEGORIE A MODIFIE NOVICES Dames;F
AMBROSETTI;Tchen;Tchen AMBROSETTI;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE JUNIORS/SENIORS Messieurs;M
AMELOT;Louise;Louise AMELOT;Blagnac Patinage Sur Glace;FRA;CATEGORIE B BENJAMINS Dames;F
ARKHIPOV;Angelika;Angelika ARKHIPOV;Toulouse Club De Patinage;FRA;CATEGORIE A POUSSINS Dames;F
ATTARD;Carla;Carla ATTARD;Club Olympique Patinage Nimois;FRA;BASIC NOVICE JUNIORS/SENIORS Dames;F
BARTHELEMY;Camille;Camille BARTHELEMY;Montpellier Mediterranee Metropole Patinage;FRA;CATEGORIE A POUSSINS Dames;F
BEAUMES RODRIGUEZ;Izie;Izie BEAUMES RODRIGUEZ;Montpellier Mediterranee Metropole Patinage;FRA;CATEGORIE B BENJAMINS Dames;F
BERTOMEU;Leyna;Leyna BERTOMEU;Montpellier Mediterranee Metropole Patinage;FRA;F2 BENJAMINS Dames;F
BISCHOFF;Camille;Camille BISCHOFF;Blagnac Patinage Sur Glace;FRA;F2 JUNIORS Dames;F
BLACHE;Lou Anne;Lou Anne BLACHE;Montpellier Mediterranee Metropole Patinage;FRA;CATEGORIE A NOVICE Dames;F
BORIES;Maeva;Maeva BORIES;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICE JUNIORS/SENIORS Dames;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;Toulouse Club De Patinage;FRA;BASIC NOVICE MINIMES/NOVICES Dames;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;F1 NOVICES Messieurs;M
BRUNEVAL;Lilly;Lilly BRUNEVAL;Club Olympique Patinage Nimois;FRA;F1 BENJAMINS Dames;F
BUSNEL;Clara;Clara BUSNEL;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE MINIMES/NOVICES Dames;F
CABIROL;Rose;Rose CABIROL;Toulouse Club De Patinage;FRA;F1 NOVICES Dame;F
CALBO;Alexandrine;Alexandrine CALBO;Toulouse Club De Patinage;FRA;BASIC NOVICE JUNIORS/SENIORS Dames;F
CALMELS;Alyson;Alyson CALMELS;Toulouse Club De Patinage;FRA;CATEGORIE A BENJAMINS Dames;F
CAPACES;Judit;Judit CAPACES;Font Romeu Club Glace;FRA;N2 NOVICES Dames;F
CASTELLANOS;Eva;Eva CASTELLANOS;Toulouse Club De Patinage;FRA;F2 MINIMES Dames;F
CHAMEROIS;Lou Anh;Lou Anh CHAMEROIS;Montpellier Mediterranee Metropole Patinage;FRA;CATEGORIE A OPEN MINIMES Dames;F
CLIQUOT;Mathilde;Mathilde CLIQUOT;Blagnac Patinage Sur Glace;FRA;F1 NOVICES Dame;F
CLIQUOT;Maeva;Maeva CLIQUOT;Blagnac Patinage Sur Glace;FRA;F2 MINIMES Dames;F
COCHEZ;Diane;Diane COCHEZ;Font Romeu Club Glace;FRA;CATEGORIE B NOVICES Dames;F
COLL COTS;Mariona;Mariona COLL COTS;Font Romeu Club Glace;FRA;F2 JUNIORS Dames;F
COMBES;Chloe;Chloe COMBES;Montpellier Mediterranee Metropole Patinage;FRA;F2 BENJAMINS Dames;F
