Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERT;Maeva;Maeva ALBERT;Castres Sports De Glace;FRA;CAT A MODIFIE NOVICE FILLES;F
AMBROSETTI;Tchen;Tchen AMBROSETTI;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE JUNIOR/SENIOR GARCONS;F
AMELOT;Louise;Louise AMELOT;Blagnac Patinage Sur Glace;FRA;CAT B BENJAMIN FILLES;F
ARKHIPOV;Angelika;Angelika ARKHIPOV;Toulouse Club De Patinage;FRA;CAT A POUSSIN FILLES;F
ATTARD;Carla;Carla ATTARD;Club Olympique Patinage Nimois;FRA;BASIC NOVICE JUNIOR/SENIOR FILLES;F
BARTHELEMY;Camille;Camille BARTHELEMY;Montpellier Mediterranee Metropole Patinage;FRA;CAT A POUSSIN FILLES;F
BELOT;Ines;Ines BELOT;Anglet Sports De Glace;FRA;N1 NOVICE FILLES;F
BISCHOFF;Camille;Camille BISCHOFF;Blagnac Patinage Sur Glace;FRA;F2 JUNIOR FILLES;F
BOUQUIER;Yaelle;Yaelle BOUQUIER;Toulouse Club De Patinage;FRA;CAT A BENJAMIN FILLES;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;Toulouse Club De Patinage;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;N2 NOVICE GARCONS;F
BRUNEVAL;Lilly;Lilly BRUNEVAL;Club Olympique Patinage Nimois;FRA;F1 BENJAMIN FILLES;F
BUSNEL;Clara;Clara BUSNEL;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
CABIROL;Rose;Rose CABIROL;Toulouse Club De Patinage;FRA;F1 NOVICE FILLES;F
CALMELS;Alyson;Alyson CALMELS;Toulouse Club De Patinage;FRA;F2 BENJAMIN FILLES;F
CAPACES;Judit;Judit CAPACES;Font Romeu Club Glace;FRA;N2 NOVICE FILLES;F
CASTELLANOS;Eva;Eva CASTELLANOS;Toulouse Club De Patinage;FRA;F1 MINIME FILLES;F
CATUSSE;Amandine;Amandine CATUSSE;Toulouse Club De Patinage;FRA;CAT A OPEN NOVICE FILLES;F
CLIQUOT;Maeva;Maeva CLIQUOT;Blagnac Patinage Sur Glace;FRA;F2 MINIME FILLES;F
CLIQUOT;Mathilde;Mathilde CLIQUOT;Blagnac Patinage Sur Glace;FRA;F1 NOVICE FILLES;F
COLL COTS;Mariona;Mariona COLL COTS;Font Romeu Club Glace;FRA;F2 JUNIOR FILLES;F
COMTE--MAHIEU;Kalie;Kalie COMTE--MAHIEU;Castres Sports De Glace;FRA;CAT B OPEN MINIME FILLES;F
COURTIN;Emy;Emy COURTIN;Font Romeu Club Glace;FRA;CAT B OPEN MINIME FILLES;F
CUENCA;Pauline;Pauline CUENCA;Font Romeu Club Glace;FRA;F2 NOVICE FILLES;F
CULLELL;Nina;Nina CULLELL;Font Romeu Club Glace;FRA;F1 JUNIOR FILLES;F
DENOYELLE;Leonie;Leonie DENOYELLE;Club Olympique Patinage Nimois;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
DENOYELLE;Jeanne;Jeanne DENOYELLE;Club Olympique Patinage Nimois;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
DESHAIES;Lois;Lois DESHAIES;Blagnac Patinage Sur Glace;FRA;F1 JUNIOR GARCONS;F
DESHAIES;Danae;Danae DESHAIES;Blagnac Patinage Sur Glace;FRA;F2 MINIME FILLES;F
DUBROCA;Polina;Polina DUBROCA;Anglet Sports De Glace;FRA;N2 MINIME FILLES;F
DUPEYROUX;Clemence;Clemence DUPEYROUX;Narbonne Patinage En Liberte;FRA;CAT C MINIME FILLES;F
DUPIN;Mailis;Mailis DUPIN;Blagnac Patinage Sur Glace;FRA;F2 NOVICE FILLES;F
ERNY;Saskia;Saskia ERNY;Toulouse Club De Patinage;FRA;F2 BENJAMIN FILLES;F
ERNY;Nell;Nell ERNY;Toulouse Club De Patinage;FRA;CAT C POUSSIN FILLES;F
ERY-PEYTAVY;Zoé;Zoé ERY-PEYTAVY;Castres Sports De Glace;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
ESCAPE;Chloé;Chloé ESCAPE;Font Romeu Club Glace;FRA;F2 MINIME FILLES;F
ESCUDIE--BERTRAND;Camille;Camille ESCUDIE--BERTRAND;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
ETIENNE;Margaux;Margaux ETIENNE;Castres Sports De Glace;FRA;CAT B OPEN MINIME FILLES;F
FLOREK;Eva;Eva FLOREK;Toulouse Club De Patinage;FRA;CAT B OPEN MINIME FILLES;F
FOURNAT;Mathy;Mathy FOURNAT;Montpellier Mediterranee Metropole Patinage;FRA;F2 BENJAMIN GARCONS;F
FOURNAT;Hanae;Hanae FOURNAT;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
FUCHS;Perrine;Perrine FUCHS;Blagnac Patinage Sur Glace;FRA;CAT A MODIFIE MINIME FILLES;F
GARCIA;Lya;Lya GARCIA;Narbonne Patinage En Liberte;FRA;F1 MINIME FILLES;F
GAUTHIER;Leylou;Leylou GAUTHIER;Narbonne Patinage En Liberte;FRA;F2 NOVICE FILLES;F
GIRAUD;Serena;Serena GIRAUD;Toulouse Club De Patinage;FRA;N2 SENIOR FILLES;F
GOUSSARD;Célia;Célia GOUSSARD;Montpellier Mediterranee Metropole Patinage;FRA;F2 MINIME FILLES;F
GRATALON;Maloe;Maloe GRATALON;Club Olympique Patinage Nimois;FRA;F2 BENJAMIN FILLES;F
GUILLOTEAU;Hugo;Hugo GUILLOTEAU;Toulouse Club De Patinage;FRA;F1 NOVICE GARCONS;F
HERVE;Mia;Mia HERVE;Toulouse Club De Patinage;FRA;F2 BENJAMIN FILLES;F
HILS;Anna;Anna HILS;Blagnac Patinage Sur Glace;FRA;F2 MINIME FILLES;F
INNOCENT;Tessa;Tessa INNOCENT;Club Olympique Patinage Nimois;FRA;F1 MINIME FILLES;F
ISMAILI;Zakaria;Zakaria ISMAILI;Club Olympique Patinage Nimois;FRA;INTERMEDIARE JUNIOR/SENIOR GARCONS;F
KARMOUNI;Inès;Inès KARMOUNI;Club Olympique Patinage Nimois;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
KARMOUNI;Lina;Lina KARMOUNI;Club Olympique Patinage Nimois;FRA;BASIC NOVICE MINIME/NOVICE FILLES;F
KIBITI;Celia;Celia KIBITI;Toulouse Club De Patinage;FRA;CAT B OPEN NOVICE FILLES;F
LAURENCENA;Angelina;Angelina LAURENCENA;Anglet Sports De Glace;FRA;N2 MINIME FILLES;F
LAURENS;Elvina;Elvina LAURENS;Blagnac Patinage Sur Glace;FRA;INTERMEDIARE JUNIOR/SENIOR FILLES;F
LE SAINT HUBY;Paloma;Paloma LE SAINT HUBY;Toulouse Club De Patinage;FRA;F2 JUNIOR FILLES;F
LLEDOS;Victoria;Victoria LLEDOS;Toulouse Club De Patinage;FRA;CAT B OPEN JUNIOR/SENIOR FILLES;F
