Surname;First Name;Full name;Club;Nationality;Category;Genre
AIT-OUBBA;Sofia;Sofia AIT-OUBBA;Toulouse Club De Patinage;FRA;CAT 2 MINIMES FILLES;F
BEHR;Candice;Candice BEHR;Patinage Artistique Briviste;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
BOUQUIER;Adele;Adele BOUQUIER;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
BRAS;Chloe;Chloe BRAS;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
BUE-HUBERT;Mathys;Mathys BUE-HUBERT;Toulouse Club De Patinage;FRA;CAT 2 MINIMES GARCONS;F
CLEMENTE;Eva;Eva CLEMENTE;Blagnac Patinage Sur Glace;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
CLEMENTE;Leia;Leia CLEMENTE;Blagnac Patinage Sur Glace;FRA;CAT 1 POUSSINS FILLES;F
CLEMENTI;Emma;Emma CLEMENTI;Narbonne Patinage En Liberte;FRA;CAT 2 MINIMES FILLES;F
COCHEZ;Diane;Diane COCHEZ;Font Romeu Club Glace;FRA;DUO INFERIEURE PREPARATOIRE DAMES;F
COLL COTS;Michele;Michele COLL COTS;Font Romeu Club Glace;FRA;CAT 1 MINIMES FILLES;F
CULLELL;Fanny;Fanny CULLELL;Font Romeu Club Glace;FRA;DUO INFERIEURE PREPARATOIRE DAMES;F
DOUMENC;Melinda;Melinda DOUMENC;Blagnac Patinage Sur Glace;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
DRUNOT;Elise;Elise DRUNOT;Toulouse Club De Patinage;FRA;CAT 4 MINIMES FILLES;F
ERNY;Izia;Izia ERNY;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
FLOREK;Eva;Eva FLOREK;Toulouse Club De Patinage;FRA;CAT 4 MINIMES FILLES;F
FUCHS;Perrine;Perrine FUCHS;Blagnac Patinage Sur Glace;FRA;CAT 4 MINIMES FILLES;F
GEORGE;Emilie;Emilie GEORGE;Blagnac Patinage Sur Glace;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
GETREAU;Noemie;Noemie GETREAU;Blagnac Patinage Sur Glace;FRA;CAT 1 POUSSINS FILLES;F
GONZALEZ;Julie;Julie GONZALEZ;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
GYOZALYAN;Monika;Monika GYOZALYAN;Patinage Artistique Briviste;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
HOVHANNISSIAN;Sussanna;Sussanna HOVHANNISSIAN;Blagnac Patinage Sur Glace;FRA;CAT 2 MINIMES FILLES;F
KIBITI;Celia;Celia KIBITI;Toulouse Club De Patinage;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
LAFTESS;Eden;Eden LAFTESS;Montpellier Mediterranee Metropole Patinage;FRA;CAT 4 MINIMES FILLES;F
LAIGUE MION;Apoline;Apoline LAIGUE MION;Blagnac Patinage Sur Glace;FRA;CAT 1 POUSSINS FILLES;F
LATRASSE;Tamara;Tamara LATRASSE;Toulouse Club De Patinage;FRA;CAT 2 MINIMES FILLES;F
LLEDOS;Victoria;Victoria LLEDOS;Toulouse Club De Patinage;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
MAMALET MALEYRIE;Loona;Loona MAMALET MALEYRIE;Patinage Artistique Briviste;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
MARGAIL;Laia;Laia MARGAIL;Font Romeu Club Glace;FRA;CAT 1 POUSSINS FILLES;F
MAZET-BOURGOIS;Doriane;Doriane MAZET-BOURGOIS;Montpellier Mediterranee Metropole Patinage;FRA;CAT 4 MINIMES FILLES;F
MEUNIER;Romane;Romane MEUNIER;Font Romeu Club Glace;FRA;CAT 1 POUSSINS FILLES;F
PASCUAL;Laura;Laura PASCUAL;Toulouse Club De Patinage;FRA;CAT 3 MINIMES FILLES 3;F
PITIE;Shaims;Shaims PITIE;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS GARCONS;F
RIEU;Constance;Constance RIEU;Montpellier Mediterranee Metropole Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
SCHWARTZ;Noemie;Noemie SCHWARTZ;Blagnac Patinage Sur Glace;FRA;CAT 1 POUSSINS FILLES;F
SEGHIR--BAKIR;Sirine;Sirine SEGHIR--BAKIR;Blagnac Patinage Sur Glace;FRA;CAT 1 POUSSINS FILLES;F
SOULIE;Emma;Emma SOULIE;Patinage Artistique Briviste;FRA;CAT 3 POUSSINS FILLES;F
SUBOTINA;Sofiia;Sofiia SUBOTINA;Blagnac Patinage Sur Glace;FRA;CAT 4 NOVICES/JUNIOR/SENIOR DAMES;F
VIGNOLES;Sophie;Sophie VIGNOLES;Toulouse Club De Patinage;FRA;CAT 2  POUSSINS/BENJAMINS FILLES;F
ZALATEU--LATGER;Maeva;Maeva ZALATEU--LATGER;Blagnac Patinage Sur Glace;FRA;CAT 3 MINIMES FILLES 3;F
