Surname;First Name;Full name;Club;Nationality;Category;Genre
ALBERT;Maeva;Maeva ALBERT;Castres Sports De Glace;FRA;Basic Novice Minimes/Novices Dames;F
AMBROSETTI;Tchen;Tchen AMBROSETTI;Blagnac Patinage Sur Glace;FRA;Basic Novice Juniors/Senior Messieurs;M
ARKHIPOV;Angelika;Angelika ARKHIPOV;Toulouse Club De Patinage;FRA;National 2 Poussins Filles;F
AZANZA;Victoria;Victoria AZANZA;Anglet Sports De Glace;FRA;Categorie D Poussins Filles;F
BARTHELEMY;Camille;Camille BARTHELEMY;Montpellier Mediterranee Metropole Patinage;FRA;National 2 Poussins Filles;F
BASSO;Alicia;Alicia BASSO;Montpellier Mediterranee Metropole Patinage;FRA;Categorie A Juniors/Seniors Dames;F
BEAUMES RODRIGUEZ;Izie;Izie BEAUMES RODRIGUEZ;Montpellier Mediterranee Metropole Patinage;FRA;Categorie A Benjamins Filles;F
BERTOMEU;Leyna;Leyna BERTOMEU;Montpellier Mediterranee Metropole Patinage;FRA;National 2 Benjamins Filles;F
BERTRAND;Margaux;Margaux BERTRAND;Blagnac Patinage Sur Glace;FRA;Federal 1 Juniors Dames;F
BEYSSAC;Léna;Léna BEYSSAC;Patinage Artistique Briviste;FRA;Federal 2 Minimes Filles;F
BIDAULT;Erine;Erine BIDAULT;Castres Sports De Glace;FRA;Categorie C Novices Dames;F
BISCHOFF;Camille;Camille BISCHOFF;Blagnac Patinage Sur Glace;FRA;Federal 2 Juniors Dames;F
BLACHE;Lou Anne;Lou Anne BLACHE;Montpellier Mediterranee Metropole Patinage;FRA;Basic Novice Minimes/Novices Dames;F
BLAZART;Suzon;Suzon BLAZART;Patinage Artistique Briviste;FRA;Federal 2 Benjamins Filles;F
BODIT;Laurine;Laurine BODIT;Association Expressions;FRA;Categorie B Benjamins Filles;F
BORIES;Maeva;Maeva BORIES;Montpellier Mediterranee Metropole Patinage;FRA;Federal 2 Juniors Dames;F
BOUQUIER;Yaelle;Yaelle BOUQUIER;Toulouse Club De Patinage;FRA;Federal 2 Benjamins Filles;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;Toulouse Club De Patinage;FRA;Federal 2 Minimes Filles;F
BOUTON MARGAIL;Jeanne;Jeanne BOUTON MARGAIL;Font Romeu Club Glace;FRA;Catégorie B Minimes Filles;F
BOYER;Charlise;Charlise BOYER;Association Expressions;FRA;Categorie B Poussins Filles;F
BRILLOUET;Elise;Elise BRILLOUET;Association Expressions;FRA;Basic Novice Minimes/Novices Dames;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;National 2 Novices Messieurs;M
BRUNEVAL;Lilly;Lilly BRUNEVAL;Club Olympique Patinage Nimois;FRA;Federal 1 Benjamins Filles;F
BUISAN;Lola;Lola BUISAN;Font Romeu Club Glace;FRA;Categorie B Benjamins Filles;F
BUSNEL;Clara;Clara BUSNEL;Blagnac Patinage Sur Glace;FRA;Federal 2 Minimes Filles;F
