Surname;First Name;Full name;Club;Nationality;Category;Genre
;xxxx;xxxx;;;REGIONAL D POUSSINS DAMES;F
;xxxx;xxxx;;;REGIONAL B JUNIOR DAMES;F
;xxx;xxx;;;BASIC NOVICE JUNIOR MESSIEURS;F
;xxxx;xxxx;;;BASIC NOVICE MINIMES MESSIEURS;F
;xxx;xxx;;;NATIONAL 2 SENIOR MESSIEURS;F
;xxx;xxx;;;FEDERAL 1 NOVICES DAMES;F
;xxxx;xxxx;;;FEDERAL 1 JUNIOR MESSIEURS;F
;xxxx;xxxx;;;REGIONAL C NOVICES MESSIEURS;F
;xxxx;xxxx;;;FEDERAL 1 NOVICES MESSIEURS;F
;xxx;xxx;;;REGIONAL C BENJAMIN MESSIEURS;F
;xxx;xxx;;;NATIONAL 2 NOVICES MESSIEURS;F
;xxxx;xxxx;;;REGIONAL C BENJAMIN DAME;F
;xxx;xxx;;;NATIONAL 2 POUSSIN DAMES;F
ALBERT;Maeva;Maeva ALBERT;Castres Sports De Glace;FRA;REGIONAL A MINIMES/NOVICES DAMES;F
AMBROSETTI;Tchen;Tchen AMBROSETTI;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE JUNIOR MESSIEURS;F
ARKHIPOV;Angelika;Angelika ARKHIPOV;Toulouse Club De Patinage;FRA;NATIONAL 2 POUSSIN DAMES;F
ATTARD;Carla;Carla ATTARD;Club Olympique Patinage Nimois;FRA;BASIC NOVICES JUNIOR/SENIOR DAMES;F
BARTHELEMY;Camille;Camille BARTHELEMY;Montpellier Mediterranee Metropole Patinage;FRA;REGIONAL A POUSSIN/BINJAMIN DAMES;F
BEAUMES RODRIGUEZ;Izie;Izie BEAUMES RODRIGUEZ;Montpellier Mediterranee Metropole Patinage;FRA;REGIONAL B BENJAMIN DAMES;F
BERTOMEU;Leyna;Leyna BERTOMEU;Montpellier Mediterranee Metropole Patinage;FRA;FEDERAL 2 BENJAMINS DAMES;F
BIDAULT;Erine;Erine BIDAULT;Castres Sports De Glace;FRA;REGIONAL C MINIME/NOVICE DAME;F
BISCHOFF;Camille;Camille BISCHOFF;Blagnac Patinage Sur Glace;FRA;FEDERAL 2 JUNIOR DAMES;F
BLACHE;Lou Anne;Lou Anne BLACHE;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
BORIES;Maeva;Maeva BORIES;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICES JUNIOR/SENIOR DAMES;F
BOUQUIER;Yaelle;Yaelle BOUQUIER;Toulouse Club De Patinage;FRA;REGIONAL A POUSSIN/BINJAMIN DAMES;F
BOUSSOUALIN;Besma;Besma BOUSSOUALIN;Toulouse Club De Patinage;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
BOUTON MARGAIL;Jeanne;Jeanne BOUTON MARGAIL;Font Romeu Club Glace;FRA;REGIONAL B MINIMES/NOVICES DAMES;F
BROQUA;Lilian;Lilian BROQUA;Toulouse Club De Patinage;FRA;NATIONAL 2 NOVICES MESSIEURS;F
BRUNEVAL;Lilly;Lilly BRUNEVAL;Club Olympique Patinage Nimois;FRA;FEDERAL 1 BENJAMIN DAMES;F
BUSNEL;Clara;Clara BUSNEL;Blagnac Patinage Sur Glace;FRA;FEDERAL 2 MINIMES DAMES;F
CALBO;Alexandrine;Alexandrine CALBO;Toulouse Club De Patinage;FRA;BASIC NOVICES JUNIOR/SENIOR DAMES;F
CALMELS;Alyson;Alyson CALMELS;Toulouse Club De Patinage;FRA;FEDERAL 2 BENJAMINS DAMES;F
CATUSSE;Amandine;Amandine CATUSSE;Toulouse Club De Patinage;FRA;REGIONAL A MINIMES/NOVICES DAMES;F
CHAMEROIS;Lou Anh;Lou Anh CHAMEROIS;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
CLIQUOT;Maeva;Maeva CLIQUOT;Blagnac Patinage Sur Glace;FRA;FEDERAL 2 MINIMES DAMES;F
COCHEZ;Diane;Diane COCHEZ;Font Romeu Club Glace;FRA;REGIONAL A MINIMES/NOVICES DAMES;F
COMBES;Chloe;Chloe COMBES;Montpellier Mediterranee Metropole Patinage;FRA;FEDERAL 1 BENJAMIN DAMES;F
COMTE--MAHIEU;Kalie;Kalie COMTE--MAHIEU;Castres Sports De Glace;FRA;REGIONAL A MINIMES/NOVICES DAMES;F
CORTET;Real;Real CORTET;Montpellier Mediterranee Metropole Patinage;FRA;REGIONAL C BENJAMIN MESSIEURS;F
CULLELL;Fanny;Fanny CULLELL;Font Romeu Club Glace;FRA;REGIONAL A MINIMES/NOVICES DAMES;F
DABOVILLE;Eva;Eva DABOVILLE;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICES JUNIOR/SENIOR DAMES;F
DENOYELLE;Leonie;Leonie DENOYELLE;Club Olympique Patinage Nimois;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
DESHAIES;Danae;Danae DESHAIES;Blagnac Patinage Sur Glace;FRA;FEDERAL 1 MINIMES DAMES;F
DESHAIES;Lois;Lois DESHAIES;Blagnac Patinage Sur Glace;FRA;FEDERAL 1 JUNIOR MESSIEURS;F
DUPEYROUX;Clemence;Clemence DUPEYROUX;Narbonne Patinage En Liberte;FRA;REGIONAL C MINIME/NOVICE DAME;F
DUPIN;Mailis;Mailis DUPIN;Blagnac Patinage Sur Glace;FRA;FEDERAL 2 NOVICES DAMES;F
ERY-PEYTAVY;Zoé;Zoé ERY-PEYTAVY;Castres Sports De Glace;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
ESCUDIE--BERTRAND;Camille;Camille ESCUDIE--BERTRAND;Blagnac Patinage Sur Glace;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
ETIENNE;Margaux;Margaux ETIENNE;Castres Sports De Glace;FRA;REGIONAL B MINIMES/NOVICES DAMES;F
FLOREK;Eva;Eva FLOREK;Toulouse Club De Patinage;FRA;REGIONAL B MINIMES/NOVICES DAMES;F
FOURNAT;Mathy;Mathy FOURNAT;Montpellier Mediterranee Metropole Patinage;FRA;FEDERAL 2 BENJAMIN MESSIEURS;F
FOURNAT;Hanae;Hanae FOURNAT;Montpellier Mediterranee Metropole Patinage;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
GARCIA;Lya;Lya GARCIA;Narbonne Patinage En Liberte;FRA;FEDERAL 1 MINIMES DAMES;F
GARCIA;Jeanne;Jeanne GARCIA;Castres Sports De Glace;FRA;FEDERAL 2 NOVICES DAMES;F
GAUTHIER;Leylou;Leylou GAUTHIER;Narbonne Patinage En Liberte;FRA;FEDERAL 1 NOVICES DAMES;F
GENIEZ;Clara;Clara GENIEZ;Montpellier Mediterranee Metropole Patinage;FRA;FEDERAL 2 NOVICES DAMES;F
GHANEM;Widad;Widad GHANEM;Montpellier Mediterranee Metropole Patinage;FRA;REGIONAL B BENJAMIN DAMES;F
GLORIEUX;Justine;Justine GLORIEUX;Club Olympique Patinage Nimois;FRA;FEDERAL 2 BENJAMINS DAMES;F
GOYARD;Luna;Luna GOYARD;Narbonne Patinage En Liberte;FRA;BASIC NOVICE MINIMES/NOVICES DAMES;F
GRATALON;Maloe;Maloe GRATALON;Club Olympique Patinage Nimois;FRA;FEDERAL 2 BENJAMINS DAMES;F
