Surname;First Name;Full name;Club;Nationality;Category;Genre
ARAGONES;Queralt;Queralt ARAGONES;Epwlm;FRA;D3 BENJAMINS DAMES;F
BAJIT;Sana;Sana BAJIT;Mulhouse Asg;FRA;D3 NOVICES DAMES;F
BATTEUX;Valentine;Valentine BATTEUX;Amiens Patinage Club;FRA;D3 NOVICES DAMES;F
BEAURAIN;Maeva;Maeva BEAURAIN;Skating Club Compiegne Oise;FRA;D3 JUNIOR/SENIOR DAMES;F
BECK;Elena;Elena BECK;Amnevillois Club Des Sports De Glace;FRA;D2 BENJAMINS DAMES;F
BELKHALLOUFI;Zahra;Zahra BELKHALLOUFI;Strasbourg Alsace Csg;FRA;D3 BENJAMINS DAMES;F
BELLEC;Justine;Justine BELLEC;Amiens Patinage Club;FRA;D3 MINIMES DAMES;F
BERTHE;Eva;Eva BERTHE;Charleville Mezieres Sg;FRA;D2 MINIMES DAMES;F
BERTRAND;Faustine;Faustine BERTRAND;Sport De Glace De Metz;FRA;D3 MINIMES DAMES;F
BOUDERSA;Cherine;Cherine BOUDERSA;Amnevillois Club Des Sports De Glace;FRA;D2 MINIMES DAMES;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;Amnevillois Club Des Sports De Glace;FRA;D2 MINIMES DAMES;F
BOUMEZBEUR;Melina;Melina BOUMEZBEUR;Amnevillois Club Des Sports De Glace;FRA;D2 BENJAMINS DAMES;F
BRUNO;Emma;Emma BRUNO;Strasbourg Alsace Csg;FRA;D3 BENJAMINS DAMES;F
BUI VAN FOUCHE;Loan;Loan BUI VAN FOUCHE;Skating Club Compiegne Oise;FRA;D1 MINIMES DAMES;F
CADART;Samuel;Samuel CADART;Club De Patinage Artistique De Reims;FRA;D3 JUNIOR/SENIOR MESSIEURS;F
CASSERT;Mathys;Mathys CASSERT;Charleville Mezieres Sg;FRA;D3 NOVICES MESSIEURS;F
CAZZARO;Lola;Lola CAZZARO;Charleville Mezieres Sg;FRA;D1 NOVICES DAMES;F
CHAFFOTTE;Fantine;Fantine CHAFFOTTE;Sport De Glace De Metz;FRA;D2 NOVICES DAMES;F
CHAFFOTTE;Zelie;Zelie CHAFFOTTE;Sport De Glace De Metz;FRA;D3 JUNIOR/SENIOR DAMES;F
CHENEY;Maxime;Maxime CHENEY;Club De Patinage Artistique De Reims;FRA;D1 BENJAMINS MESSIEURS;F
CHENEY;Alexandre;Alexandre CHENEY;Club De Patinage Artistique De Reims;FRA;D1 NOVICES MESSIEURS;F
CHOO;Monica;Monica CHOO;Strasbourg Alsace Csg;FRA;D3 BENJAMINS DAMES;F
CLEMENT;Victoire;Victoire CLEMENT;Sport De Glace De Metz;FRA;D2 NOVICES DAMES;F
CORBELLARI;Lola;Lola CORBELLARI;Charleville Mezieres Sg;FRA;D2 NOVICES DAMES;F
DA SILVA;Florence;Florence DA SILVA;Amiens Patinage Club;FRA;D3 JUNIOR/SENIOR DAMES;F
DASILVA-MOUTINHO;Elsa;Elsa DASILVA-MOUTINHO;Club De Patinage Artistique De Reims;FRA;D2 POUSSINS DAMES;F
DE CIANCIO;Sara;Sara DE CIANCIO;Amnevillois Club Des Sports De Glace;FRA;D3 JUNIOR/SENIOR DAMES;F
DEBOURCES;Angel;Angel DEBOURCES;Charleville Mezieres Sg;FRA;D1 JUNIORS MESSIEURS;F
DEBROCK;Astrid;Astrid DEBROCK;Epwlm;FRA;D3 MINIMES DAMES;F
DELATTRE;Krystina;Krystina DELATTRE;Amiens Patinage Club;FRA;D3 MINIMES DAMES;F
DENIZART;Emilian;Emilian DENIZART;Club De Patinage Artistique De Reims;FRA;D3 NOVICES MESSIEURS;F
DENIZART;Louise;Louise DENIZART;Club De Patinage Artistique De Reims;FRA;D2 POUSSINS DAMES;F
DETREILLE-MALL;Bérénice;Bérénice DETREILLE-MALL;Strasbourg Alsace Csg;FRA;D2 NOVICES DAMES;F
DI MURO;Julia;Julia DI MURO;Amnevillois Club Des Sports De Glace;FRA;D3 NOVICES DAMES;F
DIEUDONNE;Alexis;Alexis DIEUDONNE;Club De Patinage Artistique De Reims;FRA;D3 JUNIOR/SENIOR MESSIEURS;F
DIRKSMEIER;Tea;Tea DIRKSMEIER;Amnevillois Club Des Sports De Glace;FRA;D3 NOVICES DAMES;F
DOUALE--LEPAGE;Oxence;Oxence DOUALE--LEPAGE;Amiens Patinage Club;FRA;D2 NOVICE MESSIEURS;F
DRIJKONINGEN;Aube-Laure;Aube-Laure DRIJKONINGEN;;BEL;D1 MINIMES DAMES;F
DUCHENE;Victor;Victor DUCHENE;Strasbourg Alsace Csg;FRA;D2 MINIMES MESSIEURS;F
DUCHENE;Martin;Martin DUCHENE;Strasbourg Alsace Csg;FRA;D2 BENJAMINS MESSIEURS;F
FALLOT;Louison;Louison FALLOT;Charleville Mezieres Sg;FRA;D3 NOVICES DAMES;F
FILLMANN;Siana;Siana FILLMANN;Amnevillois Club Des Sports De Glace;FRA;D3 BENJAMINS DAMES;F
FRITZ--CAGNAT;Emi;Emi FRITZ--CAGNAT;Sport De Glace De Metz;FRA;D3 MINIMES DAMES;F
FRITZ--CAGNAT;Charlie;Charlie FRITZ--CAGNAT;Sport De Glace De Metz;FRA;D3 BENJAMINS DAMES;F
GABRIEL;Lana;Lana GABRIEL;Sport De Glace De Metz;FRA;D3 NOVICES DAMES;F
GAGNARD;Aline;Aline GAGNARD;Skating Club Compiegne Oise;FRA;D2 MINIMES DAMES;F
GARCIA;Carla;Carla GARCIA;Mulhouse Asg;FRA;D1 MINIMES DAMES;F
GASHAEVA;Liliya;Liliya GASHAEVA;Club De Patinage Artistique De Reims;FRA;D2 MINIMES DAMES;F
GAUTIER;Lana;Lana GAUTIER;Club De Patinage Artistique De Reims;FRA;D3 BENJAMINS DAMES;F
GHEBBARI;Kony;Kony GHEBBARI;Mulhouse Asg;FRA;D2 JUNIORS DAMES;F
GHEBBARI;Kirsten;Kirsten GHEBBARI;Mulhouse Asg;FRA;D1 NOVICES DAMES;F
GHODBANE;Ly Ann;Ly Ann GHODBANE;Sport De Glace De Metz;FRA;D2 NOVICES DAMES;F
GOBLET;Chloé;Chloé GOBLET;Amiens Patinage Club;FRA;D2 MINIMES DAMES;F
GROSBOIS;Loric;Loric GROSBOIS;Charleville Mezieres Sg;FRA;D3 BENJAMINS MESSIEURS;F
GUILLAUME;Lilou;Lilou GUILLAUME;Charleville Mezieres Sg;FRA;D3 BENJAMINS DAMES;F
HERAUD;Matheo;Matheo HERAUD;Club De Patinage Artistique De Reims;FRA;D3 NOVICES MESSIEURS;F
HUART;Salome;Salome HUART;Charleville Mezieres Sg;FRA;D1 NOVICES DAMES;F
IAFRATE;Morgan;Morgan IAFRATE;Skating Club Compiegne Oise;FRA;D3 MINIMES MESSIEURS;F
IDOUMGHAR;Hind;Hind IDOUMGHAR;Mulhouse Asg;FRA;D3 BENJAMINS DAMES;F
ILIC;Nina;Nina ILIC;Mulhouse Asg;FRA;D3 BENJAMINS DAMES;F
JACQUES;Camille;Camille JACQUES;Charleville Mezieres Sg;FRA;D3 MINIMES DAMES;F
JOULIA;Margaux;Margaux JOULIA;Club De Patinage Artistique De Reims;FRA;D2 BENJAMINS DAMES;F
