Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;CHAMP;FRA;N1 Junior Femme;F
BARADEL;Theo;Theo BARADEL;ESPAR;FRA;N1 Junior Homme;M
BAUSSERON;Alexandra;Alexandra BAUSSERON;COURB;FRA;N1 Novice Femme;F
BELOT;Ines;Ines BELOT;ANGLE;FRA;N1 Junior Femme;F
BENARAB;Samsha;Samsha BENARAB;COURB;FRA;N1 Novice Femme;F
BERISSET;Ivan;Ivan BERISSET;COURB;FRA;N1 Novice Homme;M
BERTSCH;Mila;Mila BERTSCH;GRENO;FRA;N1 Novice Femme;F
BUI FOUCHE;Loan van;Loan BUI van FOUCHE;COMPI;FRA;N1 Novice Femme;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;NICE;FRA;N1 Novice Femme;F
CASALENGO;Alice;Alice CASALENGO;VAL26;FRA;N1 Junior Femme;F
DAPOIGNY;Ninon;Ninon DAPOIGNY;GRENO;FRA;N1 Junior Femme;F
DOROZARIO;Marie Lou;Marie Lou DOROZARIO;DAMMA;FRA;N1 Junior Femme;F
DUBECQ;Eve;Eve DUBECQ;REIMS;FRA;N1 Junior Femme;F
GARCIA;Carla;Carla GARCIA;MULHO;FRA;N1 Novice Femme;F
GHEBBARI;Kirsten;Kirsten GHEBBARI;VAL26;FRA;N1 Novice Femme;F
GOGITIDZE;Ilia;Ilia GOGITIDZE;ANNE;FRA;N1 Junior Homme;M
GUILLOIS;Simon;Simon GUILLOIS;HAVRE;FRA;N1 Junior Homme;M
HAMMI;Samy;Samy HAMMI;POIBJ;FRA;N1 Senior Homme;M
HAZOTTE;Lola;Lola HAZOTTE;AMNEV;FRA;N1 Novice Femme;F
HELT;Lena;Lena HELT;BOULO;FRA;N1 Junior Femme;F
HEURTEBIS;Anne-Sophie;Anne-Sophie HEURTEBIS;BOULO;FRA;N1 Novice Femme;F
HIADLOVSKA;Emma;Emma HIADLOVSKA;ANNE;FRA;N1 Junior Femme;F
KOKURA;Andrii;Andrii KOKURA;;UKR;N1 Senior Homme;M
LAGUERRE;Lily-Rose;Lily-Rose LAGUERRE;ANNE;FRA;N1 Novice Femme;F
LEBRUMENT;Timothee;Timothee LEBRUMENT;ESPAR;FRA;N1 Novice Homme;M
LECADRE;Pierre;Pierre LECADRE;ESPAR;FRA;N1 Novice Homme;M
LEMAIRE;Maelie Jude;Maelie Jude LEMAIRE;CERGY;FRA;N1 Novice Femme;F
LEMAIRE;Clara;Clara LEMAIRE;CERGY;FRA;N1 Novice Femme;F
LEWTON-BRAIN;Davide;Davide LEWTON-BRAIN;;MON;N1 Senior Homme;M
LIGET-LATUS;Clelia;Clelia LIGET-LATUS;METZ;FRA;N1 Novice Femme;F
LUNATTI;Ilona;Ilona LUNATTI;NICE;FRA;N1 Junior Femme;F
MAAROUF;Sophia;Sophia MAAROUF;POIBJ;FRA;N1 Senior Femme;F
MACRE;Ilana;Ilana MACRE;ASNIE;FRA;N1 Novice Femme;F
MARECHAL;Elea;Elea MARECHAL;NICE;FRA;N1 Junior Femme;F
MASUREL;Olivia;Olivia MASUREL;EPWLM;FRA;N1 Novice Femme;F
MAY;Landry le;Landry le MAY;VAL26;FRA;N1 Senior Homme;M
MAYINDU;Clemence;Clemence MAYINDU;DAMMA;FRA;N1 Junior Femme;F
MONTIEL;Audrey;Audrey MONTIEL;BOULO;FRA;N1 Novice Femme;F
MOTILLA;Gianni;Gianni MOTILLA;REIMS;FRA;N1 Novice Homme;M
OLIVIER;Lenny;Lenny OLIVIER;ANNE;FRA;N1 Novice Homme;M
PECHENIK;Yana;Yana PECHENIK;DAMMA;FRA;N1 Novice Femme;F
RAKOTOZAFY;Sarah;Sarah RAKOTOZAFY;DAMMA;FRA;N1 Novice Femme;F
RIMET;Zoe;Zoe RIMET;GRENO;FRA;N1 Junior Femme;F
ROLS;Joshua;Joshua ROLS;POIBJ;FRA;N1 Senior Homme;M
ROLS;Xan;Xan ROLS;POIBJ;FRA;N1 Senior Homme;M
SAJINOVIC;Sasha;Sasha SAJINOVIC;COURB;FRA;N1 Novice Femme;F
SAUVAGE;Chloe;Chloe SAUVAGE;POIBJ;FRA;N1 Novice Femme;F
SPINAR;Corentin;Corentin SPINAR;ANNE;FRA;N1 Senior Homme;M
SPRUNG;Sophie;Sophie SPRUNG;COURB;FRA;N1 Junior Femme;F
SPRUNG;Hannah;Hannah SPRUNG;COURB;FRA;N1 Junior Femme;F
STEMPER;Charly;Charly STEMPER;ESPAR;FRA;N1 Junior Femme;F
TELEMAQUE;Romane;Romane TELEMAQUE;DAMMA;FRA;N1 Novice Femme;F
THOMANN;Elian;Elian THOMANN;COURB;FRA;N1 Novice Homme;M
VAUCLIN;Xavier;Xavier VAUCLIN;GRENO;FRA;N1 Senior Homme;M
VERBAT;Daniel;Daniel VERBAT;ANNE;FRA;N1 Novice Homme;M
VOUILLON;Berenice;Berenice VOUILLON;REIMS;FRA;N1 Novice Femme;F
WOLFF;Louane;Louane WOLFF;REIMS;FRA;N1 Novice Femme;F
YAJJOU;Yasmeen;Yasmeen YAJJOU;FRANC;FRA;N1 Novice Femme;F
