Surname;First Name;Full name;Club;Nationality;Category;Genre
ALIZON;Constant;Constant ALIZON;BOULO;FRA;N2 Minime Homme;M
AMAT;Lison;Lison AMAT;ANGLE;FRA;N2 Minime Femme;F
ANDREI;Dominic;Dominic ANDREI;;ROU;N2 Junior Homme;M
ARKHIPOV;Angelika;Angelika ARKHIPOV;TOUCP;FRA;N1 Poussin Femme;F
ARTAUD;Charlotte;Charlotte ARTAUD;BRIAN;FRA;N2 Junior Femme;F
BACAR;Raynourou;Raynourou BACAR;ASNIE;FRA;N2 Novice Femme;F
BEE;Angelina;Angelina BEE;DAMMA;FRA;N2 Minime Femme;F
BELLOUATI;Jade;Jade BELLOUATI;VAL26;FRA;N1 Minime Femme;F
BELOT;Ines;Ines BELOT;ANGLE;FRA;N1 Junior Femme;F
BERTEAU;Alissa;Alissa BERTEAU;COURB;FRA;N2 Minime Femme;F
BONNIN;Clea;Clea BONNIN;ROMO;FRA;N2 Junior Femme;F
BOUDERSA;Cherine;Cherine BOUDERSA;AMNEV;FRA;N2 Novice Femme;F
BOUMAAROUF;Dounia;Dounia BOUMAAROUF;AMNEV;FRA;N2 Novice Femme;F
BRIGHELLI;Faustine;Faustine BRIGHELLI;BOULO;FRA;N2 Minime Femme;F
BRUNO;Vittoria;Vittoria BRUNO;STRAS;FRA;N2 Poussin Femme;F
BUI FOUCHE;Loan van;Loan BUI van FOUCHE;COMPI;FRA;N1 Junior Femme;F
CARON;Clemence;Clemence CARON;VAL59;FRA;N2 Junior Femme;F
CASALENGO;Alice;Alice CASALENGO;VAL26;FRA;N1 Senior Femme;F
CASTELLANOS;Eva;Eva CASTELLANOS;TOUCP;FRA;N2 Novice Femme;F
CHAUMIN;Sarah;Sarah CHAUMIN;TOURS;FRA;N2 Junior Femme;F
CHENEY;Alexandre;Alexandre CHENEY;REIMS;FRA;N1 Junior Homme;M
CHENEY;Maxime;Maxime CHENEY;REIMS;FRA;N1 Minime Homme;M
CHILINGUIRIAN;Emma;Emma CHILINGUIRIAN;BOULO;FRA;N2 Novice Femme;F
CHILINGUIRIAN;Julie;Julie CHILINGUIRIAN;BOULO;FRA;N2 Novice Femme;F
CHOUTEAU;Selena;Selena CHOUTEAU;LA RO;FRA;N2 Junior Femme;F
COLLEMARE;Marielle;Marielle COLLEMARE;ASNIE;FRA;N1 Junior Femme;F
DORIER;Khelia;Khelia DORIER;VAL26;FRA;N2 Minime Femme;F
DOROZARIO;Marie Lou;Marie Lou DOROZARIO;DAMMA;FRA;N1 Junior Femme;F
DRIJKONINGEN;Aube-Laure;Aube-Laure DRIJKONINGEN;;BEL;N1 Novice Femme;F
DUBROCA;Polina;Polina DUBROCA;ANGLE;FRA;N2 Novice Femme;F
DUCHENE;Victor;Victor DUCHENE;STRAS;FRA;N1 Minime Homme;M
ETOURMY;Ambre;Ambre ETOURMY;BRIAN;FRA;N2 Junior Femme;F
FEREDJ;Emyl;Emyl FEREDJ;ASNIE;FRA;N2 Novice Homme;M
GAGNARD;Aline;Aline GAGNARD;COMPI;FRA;N2 Novice Femme;F
GALLINET;Beatrice;Beatrice GALLINET;BRIAN;FRA;N1 Novice Femme;F
GARCIA;Lya;Lya GARCIA;NARBO;FRA;N2 Novice Femme;F
GERARD;Hannah;Hannah GERARD;DAMMA;FRA;N2 Minime Femme;F
GHEBBARI;Kirsten;Kirsten GHEBBARI;VAL26;FRA;N1 Novice Femme;F
GOUVEIA;David;David GOUVEIA;;POR;N1 Senior Homme;M
HALEGUA;Charline;Charline HALEGUA;ROAN;FRA;N2 Minime Femme;F
HAMBYE;Prince De Luc;Prince De Luc HAMBYE;BOULO;FRA;N2 Minime Homme;M
HAZOTTE;Lola;Lola HAZOTTE;AMNEV;FRA;N1 Novice Femme;F
HELT;Lena;Lena HELT;BOULO;FRA;N1 Junior Femme;F
HEURTEBIS;Anne-Sophie;Anne-Sophie HEURTEBIS;BOULO;FRA;N1 Minime Femme;F
HOUSSIN;Eva;Eva HOUSSIN;COURB;FRA;N2 Minime Femme;F
IAFRATE;Morgan;Morgan IAFRATE;COMPI;FRA;N2 Minime Homme;M
JOULIA;Margaux;Margaux JOULIA;REIMS;FRA;N2 Minime Femme;F
KACI;Lola;Lola KACI;BRIAN;FRA;N2 Novice Femme;F
KHACHAB;Mayane;Mayane KHACHAB;COURB;FRA;N2 Minime Femme;F
KHOUADER;Assia;Assia KHOUADER;FRANC;FRA;N1 Benjamin Femme;F
KHOUADER;Fatiha;Fatiha KHOUADER;FRANC;FRA;N2 Novice Femme;F
KOLTUSHKIN;Victoria;Victoria KOLTUSHKIN;COURB;FRA;N2 Minime Femme;F
KRIVOCHTCHEKOV;Anastassia;Anastassia KRIVOCHTCHEKOV;LA GA;FRA;N2 Junior Femme;F
KRIVOCHTCHEKOV;Ekaterina;Ekaterina KRIVOCHTCHEKOV;LA GA;FRA;N2 Junior Femme;F
KYSIL;Yuliia;Yuliia KYSIL;;UKR;N2 Minime Femme;F
LAENG;Julie;Julie LAENG;STRAS;FRA;N2 Novice Femme;F
LAMARRE;Alix;Alix LAMARRE;BELFO;FRA;N2 Novice Femme;F
LEMOINE;Nell;Nell LEMOINE;HUEZ;FRA;N2 Junior Femme;F
LEMOINE;Noemie;Noemie LEMOINE;MTDOR;FRA;N2 Novice Femme;F
LIROT;Alexandre;Alexandre LIROT;DAMMA;FRA;N2 Minime Homme;M
MACRE;Ilana;Ilana MACRE;ASNIE;FRA;N1 Novice Femme;F
MAILLARD;Louna;Louna MAILLARD;CLERM;FRA;N2 Novice Femme;F
MAILLET MELTZER;Salome;Salome MAILLET MELTZER;ASNIE;FRA;N2 Novice Femme;F
MALETTE;Clara;Clara MALETTE;REIMS;FRA;N2 Minime Femme;F
MAYINDU;Clemence;Clemence MAYINDU;DAMMA;FRA;N1 Senior Femme;F
MEURIC;Daphne;Daphne MEURIC;BOULO;FRA;N2 Junior Femme;F
MONTIEL;Audrey;Audrey MONTIEL;BOULO;FRA;N1 Novice Femme;F
MOREAU;Dorine;Dorine MOREAU;FRANC;FRA;N2 Novice Femme;F
MOTILLA;Gianni;Gianni MOTILLA;REIMS;FRA;N1 Novice Homme;M
MOUDAKKIR;Sanaa;Sanaa MOUDAKKIR;FRANC;FRA;N1 Novice Femme;F
MUSGRAVE;Lilian;Lilian MUSGRAVE;;GBR;N1 Novice Femme;F
NARDONI;Isabella;Isabella NARDONI;BOULO;FRA;N2 Minime Femme;F
OBANDO;Emilie;Emilie OBANDO;ASNIE;FRA;N1 Novice Femme;F
OLIVEIRA;Eva;Eva OLIVEIRA;BOULO;FRA;N2 Novice Femme;F
PACHOT;Oksana;Oksana PACHOT;COURB;FRA;N2 Minime Femme;F
PANNEAU-THIERY;Lola;Lola PANNEAU-THIERY;FRANC;FRA;N2 Novice Femme;F
PECHENIK;Yana;Yana PECHENIK;DAMMA;FRA;N1 Novice Femme;F
PECQUET-LEDUC;Tom;Tom PECQUET-LEDUC;COMPI;FRA;N2 Junior Homme;M
PELTIER;Clemence;Clemence PELTIER;STRAS;FRA;N2 Junior Femme;F
PLANTIER;Milly;Milly PLANTIER;COURB;FRA;N2 Minime Femme;F
PONCHAUT-THERY;Olivia;Olivia PONCHAUT-THERY;DAMMA;FRA;N1 Minime Femme;F
POULIQUEN;Leane;Leane POULIQUEN;FRANC;FRA;N2 Novice Femme;F
RAKOTOZAFY;Sarah;Sarah RAKOTOZAFY;DAMMA;FRA;N1 Junior Femme;F
RANDRIANALISOA;Mahatoky;Mahatoky RANDRIANALISOA;REIMS;FRA;N2 Poussin Femme;F
RAPESO;Alessio;Alessio RAPESO;REIMS;FRA;N1 Junior Homme;M
REBOULLET;Anna;Anna REBOULLET;BOULO;FRA;N2 Poussin Femme;F
RENAUT;Cassandre;Cassandre RENAUT;VAL26;FRA;N2 Minime Femme;F
RITCHIE;Sylvain;Sylvain RITCHIE;ROMO;FRA;N2 Junior Homme;M
ROBIC;Nolwenn;Nolwenn ROBIC;FRANC;FRA;N2 Minime Femme;F
