Surname;First Name;Full name;Club;Nationality;Category;Genre
AGRAPART;Lison;Lison AGRAPART;CHAMP;FRA;N1 Junior Femme;F
AHMED;Axel;Axel AHMED;COURB;FRA;N1 Junior Homme;M
AVISSE--XAVIR;Noryane;Noryane AVISSE--XAVIR;CERGY;FRA;N1 Novice Femme;F
BABILANI;Tiana;Tiana BABILANI;ANNE;FRA;N2 Minime Femme;F
BARADEL;Theo;Theo BARADEL;ESPAR;FRA;N1 Senior Homme;M
BAUSSERON;Alexandra;Alexandra BAUSSERON;COURB;FRA;N1 Junior Femme;F
BENAMAR;Selma;Selma BENAMAR;CERGY;FRA;N2 Minime Femme;F
BENARAB;Samsha;Samsha BENARAB;COURB;FRA;N1 Novice Femme;F
BENTARA;Iliana;Iliana BENTARA;CERGY;FRA;N2 Novice Femme;F
BERISSET;Ivan;Ivan BERISSET;COURB;FRA;N1 Novice Homme;M
BERTHE;Eva;Eva BERTHE;CHARL;FRA;N2 Minime Femme;F
BERTOIS;Camille;Camille BERTOIS;ESPAR;FRA;N2 Minime Femme;F
BERTSCH;Mila;Mila BERTSCH;GRENO;FRA;N1 Novice Femme;F
BLANCHET;Lilian;Lilian BLANCHET;GRENO;FRA;N2 Benjamin Homme;M
BORNER;Camille;Camille BORNER;ANNE;FRA;N1 Novice Femme;F
BOUILLAULT;Jade;Jade BOUILLAULT;CAEN;FRA;N2 Minime Femme;F
BOURBON;Melina;Melina BOURBON;ANNE;FRA;N1 Minime Femme;F
BRON;Sarah;Sarah BRON;NANTE;FRA;N2 Novice Femme;F
BURNAT;Lucie;Lucie BURNAT;ANNE;FRA;N2 Poussin Femme;F
CAPEAUMONT;Eloane;Eloane CAPEAUMONT;NICE;FRA;N1 Junior Femme;F
CAZZARO;Lola;Lola CAZZARO;CHARL;FRA;N2 Junior Femme;F
CELLARD;Amandine;Amandine CELLARD;;MON;N2 Novice Femme;F
CERNEI;Laura;Laura CERNEI;;ROU;N1 Junior Femme;F
CHAN;Amandine;Amandine CHAN;ESPAR;FRA;N2 Minime Femme;F
DAVID;Louise Marie;Louise Marie DAVID;CERGY;FRA;N1 Novice Femme;F
DEBOURCES;Angel;Angel DEBOURCES;CHARL;FRA;N2 Senior Homme;M
DEBROCK;Astrid;Astrid DEBROCK;EPWLM;FRA;N2 Novice Femme;F
DESJARDINS;Eloise;Eloise DESJARDINS;COLMA;FRA;N2 Minime Femme;F
DEVITERNE-LAPEYRE;Louanne;Louanne DEVITERNE-LAPEYRE;NICE;FRA;N1 Novice Femme;F
DHAINE;Emilie;Emilie DHAINE;CHAMP;FRA;N2 Junior Femme;F
DINGER;Helena;Helena DINGER;ANNE;FRA;N2 Junior Femme;F
DOUSSY;Lea;Lea DOUSSY;CERGY;FRA;N2 Junior Femme;F
DUFOUR;Emi;Emi DUFOUR;DAMMA;FRA;N2 Minime Femme;F
ESCROUZAILLES;Lou;Lou ESCROUZAILLES;ANNE;FRA;N2 Novice Femme;F
FILIPOVICH;Angelique;Angelique FILIPOVICH;CHAMP;FRA;N2 Minime Femme;F
FILLATRE;Louison;Louison FILLATRE;ESPAR;FRA;N2 Minime Femme;F
FOFANA;Maya;Maya FOFANA;PFV;FRA;N2 Minime Femme;F
FRANDSEN;Elisa;Elisa FRANDSEN;POIBJ;FRA;N1 Junior Femme;F
FREITAS PERESTRELO;Lisa de;Lisa de FREITAS PERESTRELO;MULHO;FRA;N1 Senior Femme;F
FRITZ--CAGNAT;Emi;Emi FRITZ--CAGNAT;METZ;FRA;N2 Novice Femme;F
FROETSCHER;Clara;Clara FROETSCHER;NICE;FRA;N2 Novice Femme;F
GARCIA;Carla;Carla GARCIA;MULHO;FRA;N1 Novice Femme;F
GARNEAU;Natasha;Natasha GARNEAU;NICE;FRA;N2 Minime Femme;F
GARNIER;Alexandra;Alexandra GARNIER;NANTE;FRA;N2 Novice Femme;F
GELLON;Baptiste;Baptiste GELLON;CHAMP;FRA;N1 Benjamin Homme;M
GERBIER;Prune;Prune GERBIER;COLMA;FRA;N2 Novice Femme;F
GHEBBARI;Kony;Kony GHEBBARI;MULHO;FRA;N2 Junior Femme;F
GIROND;Juliette;Juliette GIROND;ANNE;FRA;N2 Poussin Femme;F
GOBAIN;Loriane;Loriane GOBAIN;CERGY;FRA;N2 Minime Femme;F
GUILHOT;Julia;Julia GUILHOT;CHAMB;FRA;N2 Minime Femme;F
HALLET;Charlie;Charlie HALLET;CHAMP;FRA;N2 Minime Femme;F
HAUPTMANN;Iris;Iris HAUPTMANN;CHAMP;FRA;N2 Novice Femme;F
HAYET;Elsa;Elsa HAYET;CERGY;FRA;N1 Junior Femme;F
HEUZARD-FRECHE;Salome;Salome HEUZARD-FRECHE;NANTE;FRA;N2 Minime Femme;F
HIADLOVSKA;Emma;Emma HIADLOVSKA;ANNE;FRA;N1 Junior Femme;F
HONHON;Celiane;Celiane HONHON;;BEL;N1 Novice Femme;F
HUART;Salome;Salome HUART;CHARL;FRA;N2 Junior Femme;F
JANET;Margaux;Margaux JANET;LGP;FRA;N1 Junior Femme;F
KHORSUNENKO;Olena;Olena KHORSUNENKO;;UKR;N1 Minime Femme;F
KOLTUSHKIN;Anna;Anna KOLTUSHKIN;COURB;FRA;N1 Novice Femme;F
KUBLER;Hannah;Hannah KUBLER;CAEN;FRA;N1 Minime Femme;F
LAGUERRE;Lily-Rose;Lily-Rose LAGUERRE;ANNE;FRA;N1 Novice Femme;F
LASRY;Alyssa;Alyssa LASRY;CAEN;FRA;N2 Minime Femme;F
LAUBENHEIMER;Capucine;Capucine LAUBENHEIMER;NANTE;FRA;N2 Junior Femme;F
LEBRUMENT;Timothee;Timothee LEBRUMENT;ESPAR;FRA;N1 Junior Homme;M
LECADRE;Pierre;Pierre LECADRE;ESPAR;FRA;N1 Novice Homme;M
LEGENTILHOMME;Laora;Laora LEGENTILHOMME;NANTE;FRA;N2 Novice Femme;F
LEMAIRE;Maelie Jude;Maelie Jude LEMAIRE;CERGY;FRA;N1 Novice Femme;F
LEMAIRE;Clara;Clara LEMAIRE;CERGY;FRA;N1 Junior Femme;F
LEMARCHAND;Alice;Alice LEMARCHAND;ESPAR;FRA;N2 Novice Femme;F
LENFANT;Sarah;Sarah LENFANT;ESPAR;FRA;N2 Novice Femme;F
LESEIGNEUR;Elodie;Elodie LESEIGNEUR;CAEN;FRA;N1 Junior Femme;F
LIGET-LATUS;Clelia;Clelia LIGET-LATUS;METZ;FRA;N1 Novice Femme;F
LIISANANTTI;Fanny Sofia;Fanny Sofia LIISANANTTI;NICE;FRA;N2 Novice Femme;F
LUNATTI;Ilona;Ilona LUNATTI;NICE;FRA;N1 Junior Femme;F
MAIGA;Leyla;Leyla MAIGA;PFV;FRA;N2 Minime Femme;F
MARECHAL;Tiara;Tiara MARECHAL;NICE;FRA;N1 Minime Femme;F
MAROIS;Gabin le;Gabin le MAROIS;ESPAR;FRA;N2 Novice Homme;M
MASUREL;Olivia;Olivia MASUREL;EPWLM;FRA;N1 Novice Femme;F
MATHEVET;Clothilde;Clothilde MATHEVET;CHAMB;FRA;N2 Novice Femme;F
MAY;Vassili le;Vassili le MAY;NANTE;FRA;N2 Junior Homme;M
MEDARD;Jean;Jean MEDARD;POIBJ;FRA;N1 Junior Homme;M
MEDARD;Nicolas;Nicolas MEDARD;POIBJ;FRA;N2 Junior Homme;M
MENUT;Lalie;Lalie MENUT;METZ;FRA;N2 Minime Femme;F
MICACO;Elisa;Elisa MICACO;PFV;FRA;N2 Poussin Femme;F
MIZOKAMI;Laïla;Laïla MIZOKAMI;NICE;FRA;N2 Minime Femme;F
MORLON;Lilou;Lilou MORLON;NICE;FRA;N2 Novice Femme;F
MORTELETTE SALA SABATE;Maria;Maria MORTELETTE SALA SABATE;MARSE;FRA;N2 Poussin Femme;F
MULLER;Alya;Alya MULLER;COLMA;FRA;N2 Novice Femme;F
NANDROT;Luca;Luca NANDROT;CHAMP;FRA;N2 Junior Homme;M
OLIVIER;Lenny;Lenny OLIVIER;ANNE;FRA;N1 Minime Homme;M
OVIDE ETIENNE;Sheryl;Sheryl OVIDE ETIENNE;COURB;FRA;N1 Novice Femme;F
PARNAUDEAU;Maelys;Maelys PARNAUDEAU;POIBJ;FRA;N2 Novice Femme;F
PIERSON;Harmonie;Harmonie PIERSON;CHARL;FRA;N2 Minime Femme;F
PRIEUR PERRAY;Timothee du;Timothee PRIEUR du PERRAY;CHOLE;FRA;N2 Minime Homme;M
PROUX;Melina;Melina PROUX;CHARL;FRA;N1 Novice Femme;F
RENAUD;Shylina;Shylina RENAUD;NANTE;FRA;N2 Minime Femme;F
RICAULT;Maely;Maely RICAULT;CHARL;FRA;N1 Novice Femme;F
RIMET;Zoe;Zoe RIMET;GRENO;FRA;N1 Senior Femme;F
ROBIN;Louna;Louna ROBIN;GRENO;FRA;N2 Minime Femme;F
SAJINOVIC;Sasha;Sasha SAJINOVIC;COURB;FRA;N1 Junior Femme;F
SATFAOUI;Isma;Isma SATFAOUI;LGP;FRA;N2 Junior Femme;F
SAUVAGE;Chloe;Chloe SAUVAGE;POIBJ;FRA;N1 Junior Femme;F
SIBELLE;Eulalie;Eulalie SIBELLE;LGP;FRA;N2 Junior Femme;F
SIMON;Camille Mathilde;Camille Mathilde SIMON;COURB;FRA;N1 Junior Femme;F
STEMPER;Charly;Charly STEMPER;ESPAR;FRA;N1 Junior Femme;F
SZENTIVANYI;Julia;Julia SZENTIVANYI;;HUN;N1 Novice Femme;F
SZENTIVANYI;Nora;Nora SZENTIVANYI;;HUN;N2 Poussin Femme;F
