Surname;First Name;Full name;Club;Nationality;Category;Genre
;Team Flammes;Team Flammes;EPWLM;FRA;Juniors Synchro;F
;Team Black Diam's;Team Black Diam's;COMPI;FRA;Juniors Synchro;F
;Team Zoulous;Team Zoulous;LGP;FRA;Seniors Synchro;F
;Team Jeanne d'Arc;Team Jeanne d'Arc;ROC;FRA;Seniors Synchro;F
AHMED;Axel;Axel AHMED;COURB;FRA;Junior Homme;M
ALIEVA COUYRAS;Mariia / Mathieu;Mariia ALIEVA / Mathieu COUYRAS;LSG-LYON/LSG-LYON;FRA;Seniors Danse;F
AYMOZ;Kevin;Kevin AYMOZ;GRENO;FRA;Senior Homme;M
BARADEL;Theo;Theo BARADEL;ESPAR;FRA;Junior Homme;M
BORDET GIPOULOU;Louise / Thomas;Louise BORDET / Thomas GIPOULOU;VLP-VILL/BPC-BRIV;FRA;Juniors Danse;F
CASALENGO;Alice;Alice CASALENGO;VAL26;FRA;Junior Femme;F
CHINE CHATAIGNOUX;Maissane / Lucas;Maissane CHINE / Lucas CHATAIGNOUX;BOR-BORD/BOR-BORD;FRA;Juniors Danse;F
DAPOIGNY;Ninon;Ninon DAPOIGNY;GRENO;FRA;Junior Femme;F
DEMOUGEOT MERCIER;Loicia / Theo le;Loicia DEMOUGEOT / Theo le MERCIER;VLP-VILL/BEL-ASM;FRA;Seniors Danse;F
DENTON BOOTH;Nell / Joseph;Nell DENTON / Joseph BOOTH;LSG-LYON/GER-SAIN;FRA;Juniors Danse;F
DUBECQ;Eve;Eve DUBECQ;REIMS;FRA;Junior Femme;F
DUPAYAGE NABAIS;Marie / Thomas;Marie DUPAYAGE / Thomas NABAIS;VLP-VILL/VSC-Vitry;FRA;Seniors Danse;F
ECONOMIDES;Luc;Luc ECONOMIDES;AFSAV;FRA;Senior Homme;M
EHRHARD PELLEGRIS;Louise / Matthis;Louise EHRHARD / Matthis PELLEGRIS;CHAMP/CHAMP;FRA;Junior Couple;F
FAULA BELLE;Aurelie / Theo;Aurelie FAULA / Theo BELLE;CAEN/CAEN;FRA;Senior Couple;F
FRADJI FOURNEAUX;Celina / Jean-Hans;Celina FRADJI / Jean-Hans FOURNEAUX;VLP-VILL/VLP-VILL;FRA;Juniors Danse;F
