Surname;First Name;Full name;Club;Nationality;Category;Genre
AGOSTINELLI;Elena;Elena AGOSTINELLI;ITA;;Junior Women;F
AHMED;Axel;Axel AHMED;FRA;;Junior Men;F
ALDARMAKI;Dhiyab;Dhiyab ALDARMAKI;UAE;;Junior Men;F
ATTAWIBOON;Supitsara;Supitsara ATTAWIBOON;THA;;Junior Women;F
BARISON;Tommaso;Tommaso BARISON;ITA;;Junior Men;F
BHASIN;Simona;Simona BHASIN;AUS;;Junior Women;F
BODENSTEIN;Noah;Noah BODENSTEIN;SUI;;Junior Men;F
BRAY;Connor;Connor BRAY;GBR;;Junior Men;F
BROVALL;Julia;Julia BROVALL;SWE;;Junior Women;F
CHA;Younghyun;Younghyun CHA;KOR;;Junior Men;F
CHEN;Ella;Ella CHEN;ISR;;Junior Women;F
CUEVA;Valentina;Valentina CUEVA;ECU;;Junior Women;F
DINCER;Efe Ergin;Efe Ergin DINCER;TUR;;Junior Men;F
DUBECQ;Eve;Eve DUBECQ;FRA;;Junior Women;F
EGYPTSON;Jonathan;Jonathan EGYPTSON;SWE;;Junior Men;F
EVERHARDT;Sarah;Sarah EVERHARDT;USA;;Junior Women;F
FOSTER;Robyn;Robyn FOSTER;IRL;;Junior Women;F
GHOZALI;Lola;Lola GHOZALI;FRA;;Junior Women;F
GITELMAN;Leonid;Leonid GITELMAN;ISR;;Junior Men;F
GRADINARU;Carla Anthea;Carla Anthea GRADINARU;SUI;;Junior Women;F
HAGARA;Adam;Adam HAGARA;SVK;;Junior Men;F
HANSSON-OSTERGAARD;Babeth;Babeth HANSSON-OSTERGAARD;DEN;;Junior Women;F
ISSAKOVA;Karina;Karina ISSAKOVA;KAZ;;Junior Women;F
IVANOVAITE;Agne;Agne IVANOVAITE;LTU;;Junior Women;F
JUDGE;Dillon;Dillon JUDGE;IRL;;Junior Men;F
KAISER;Livia;Livia KAISER;SUI;;Junior Women;F
KALJUVERE;Maria Eliise;Maria Eliise KALJUVERE;EST;;Junior Women;F
KANKARE;Elli Noriko Madeleine;Elli Noriko Madeleine KANKARE;LUX;;Junior Women;F
KAZANECKI;Lucius;Lucius KAZANECKI;USA;;Junior Men;F
KIM;Yujae;Yujae KIM;KOR;;Junior Women;F
LI;David;David LI;CAN;;Junior Men;F
MARGARIDO PEREIRA;Paula;Paula MARGARIDO PEREIRA;AND;;Junior Women;F
MAYINDU;Clemence;Clemence MAYINDU;FRA;;Junior Women;F
MEDARD;Jean;Jean MEDARD;FRA;;Junior Men;F
MELNIKOV;Oleg;Oleg MELNIKOV;KAZ;;Junior Men;F
MORIMOTO;Ryoga;Ryoga MORIMOTO;JPN;;Junior Men;F
NAKAMURA;Shunsuke;Shunsuke NAKAMURA;JPN;;Junior Men;F
ONG;McKayla;McKayla ONG;SGP;;Junior Women;F
PELKONEN;Nella;Nella PELKONEN;FIN;;Junior Women;F
PEREIRA;Lia;Lia PEREIRA;CAN;;Junior Women;F
POLNIUK;Julija;Julija POLNIUK;POL;;Junior Women;F
PRIGG;Lowenna;Lowenna PRIGG;GBR;;Junior Women;F
SEO;Clare;Clare SEO;USA;;Junior Women;F
SHIBAYAMA;Ayumi;Ayumi SHIBAYAMA;JPN;;Junior Women;F
SMIT;Isabella;Isabella SMIT;NED;;Junior Women;F
STEPCENKO;Sofja;Sofja STEPCENKO;LAT;;Junior Women;F
SUNTSEV;Makar;Makar SUNTSEV;FIN;;Junior Men;F
TANAKA;Sorami;Sorami TANAKA;PER;;Junior Women;F
VAUCLIN;Ian;Ian VAUCLIN;FRA;;Junior Men;F
XIE;Michael;Michael XIE;USA;;Junior Men;F
YOSHIDA;Hana;Hana YOSHIDA;JPN;;Junior Women;F
YOUN;Seojin;Seojin YOUN;KOR;;Junior Women;F
