aspect_id,judge,score
001b8baf62,J1,0.0
001b8baf62,J2,0.0
001b8baf62,J3,1.0
0026d2a663,J1,-2.0
0026d2a663,J2,-2.0
0026d2a663,J3,-3.0
0026d2a663,J4,-1.0
0026d2a663,J5,-2.0
002709cd3f,J1,0.0
002709cd3f,J2,0.0
002709cd3f,J3,1.0
002709cd3f,J4,0.0
002709cd3f,J5,0.0
0034fc5b3f,J1,0.0
0034fc5b3f,J2,-1.0
0034fc5b3f,J3,0.0
004469612f,J1,-1.0
004469612f,J2,0.0
004469612f,J3,-1.0
004469612f,J4,0.0
004469612f,J5,0.0
004f6c9643,J1,2.25
004f6c9643,J2,2.5
004f6c9643,J3,3.0
004f6c9643,J4,3.0
004f6c9643,J5,2.75
008025227e,J1,2.0
008025227e,J2,1.0
008025227e,J3,-1.0
008025227e,J4,1.0
008025227e,J5,2.0
008cbf32fa,J1,2.0
008cbf32fa,J2,3.0
008cbf32fa,J3,0.0
008cbf32fa,J4,2.0
008cbf32fa,J5,0.0
0091887d05,J1,-1.0
0091887d05,J2,0.0
0091887d05,J3,0.0
0091887d05,J4,0.0
0091887d05,J5,0.0
0093875ec3,J1,-5.0
0093875ec3,J2,-5.0
0093875ec3,J3,-5.0
00a972d1b7,J1,1.0
00a972d1b7,J2,1.0
00a972d1b7,J3,0.0
00a972d1b7,J4,0.0
00a972d1b7,J5,0.0
00c01c43d2,J1,-3.0
00c01c43d2,J2,-2.0
00c01c43d2,J3,-3.0
00c17f43fe,J1,-5.0
00c17f43fe,J2,-5.0
00c17f43fe,J3,-5.0
00c17f43fe,J4,-5.0
00c17f43fe,J5,-5.0
00ceae1775,J1,0.0
00ceae1775,J2,-1.0
00ceae1775,J3,0.0
00ceae1775,J4,0.0
00ceae1775,J5,0.0
00f2936d2f,J1,3.75
00f2936d2f,J2,2.5
00f2936d2f,J3,2.25
00f2936d2f,J4,3.5
00f2936d2f,J5,2.75
010ade6657,J1,3.0
010ade6657,J2,3.0
010ade6657,J3,3.25
0115f43054,J1,0.0
0115f43054,J2,0.0
0115f43054,J3,0.0
011f930eab,J1,-2.0
011f930eab,J2,-3.0
011f930eab,J3,-2.0
011f930eab,J4,-2.0
011f930eab,J5,-2.0
013e29d6a6,J1,0.0
013e29d6a6,J2,0.0
013e29d6a6,J3,1.0
013e29d6a6,J4,-1.0
013e29d6a6,J5,0.0
014a768514,J1,-1.0
014a768514,J2,0.0
014a768514,J3,-1.0
01b39bc86d,J1,2.75
01b39bc86d,J2,3.5
01b39bc86d,J3,3.5
