aspect_id,performance_id,section,aspect_num,aspect_desc,info_flag,credit_flag,base_value,factor,goe,ref,scores_of_panel
001b8baf62,1e526a4fcb,elements,6,USpB,,,1.0,,0.03,,1.03
0026d2a663,351cc99764,elements,5,StSq1,,,1.8,,-0.36,,1.44
002709cd3f,b5e5181ce5,elements,5,2S+1Lo,,,1.8,,0.0,,1.8
0034fc5b3f,e19fb1870a,elements,4,StSqB,,,1.5,,-0.05,,1.45
004469612f,fa66b04001,elements,5,1A+1Lo,,,1.6,,-0.04,,1.56
004f6c9643,89944ec100,components,,Interpretation of the Music,,,,1.7,,,2.75
0055ae912b,4e3f545e55,elements,,,,,12.5,,,,11.58
007eb3f443,14ddb46c80,elements,,,,,5.48,,,,4.78
008025227e,b04e49d6df,elements,5,CCoSp2,,,2.5,,0.33,,2.83
008cbf32fa,552c6c5564,elements,2,CCoSp2,,,2.5,,0.33,,2.83
0091887d05,9ff9645f45,elements,5,2S+1T,,,1.7,,0.0,,1.7
0093875ec3,d572716b32,elements,7,2F,,,1.8,,-0.9,,0.9
00a972d1b7,caa1956039,elements,8,1A,,,1.1,,0.04,,1.14
00c01c43d2,a7351e5e5c,elements,7,SSp1,,,1.3,,-0.35,,0.95
00c17f43fe,cfc4314093,elements,6,2F!<,<,,1.44,,-0.72,,0.72
00cdd7b8ae,3525629243,elements,,,,,8.3,,,,8.52
00ceae1775,b59a716b68,elements,4,StSqB,,,1.5,,0.0,,1.5
00ee8d57ec,523152c765,elements,2,CCoSp,,,0.0,,0.0,,0.0
00f2936d2f,674cff475c,components,,Interpretation of the Music,,,,1.7,,,2.92
010ade6657,ec8433214c,components,,Interpretation of the Music,,,,1.7,,,3.08
010d3b456a,351cc99764,elements,7,CCoSp,,,0.0,,0.0,,0.0
0115f43054,fdcad27a48,elements,1,StSqB,,,1.5,,0.0,,1.5
011f930eab,187926d92c,elements,1,2S<,<,,1.04,,-0.21,,0.83
013e29d6a6,404022f49f,elements,3,1S+1T,,,0.8,,0.0,,0.8
014a768514,2477bcd35e,elements,6,StSqB,,,1.5,,-0.1,,1.4
0171201aa3,afa452f5d9,elements,6,A,,,0.0,,0.0,,0.0
01b39bc86d,723cebacb2,components,,Skating Skills,,,,1.7,,,3.42
01b4142cbc,b5e5181ce5,elements,8,1A,,,1.1,,0.0,,1.1
01cd5133eb,7877fb591a,components,,Interpretation,,,,1.0,,,1.92
01d0a131c0,7fcd568057,elements,,,,,10.54,,,,9.83
01ee3bbdc2,cc67ec9f53,elements,3,1A+1A+SEQ,,,1.76,,-0.11,,1.65
0212b7f752,4f537986c8,components,,Skating Skills,,,,1.0,,,1.67
0217566091,e5ee96f372,elements,7,CSSp2,,,2.3,,0.23,,2.53
0266d62735,acc7622aa0,components,,Skating Skills,,,,1.0,,,1.75
02732fb20f,723cebacb2,components,,Performance,,,,1.7,,,3.33
027b9b79b0,92ced3aafa,elements,6,StSq2,,,2.6,,0.09,,2.69
0290becb64,d6bf443adb,components,,Performance,,,,1.7,,,3.58
02c0d67c26,26a1a3bc5b,elements,1,2Sq,q,,1.3,,-0.65,,0.65
02c5ba71f0,370a5f0ae0,elements,5,1A+1T,,,1.5,,-0.04,,1.46
02d7a5b84d,d605f101cb,components,,Interpretation of the Music,,,,1.6,,,3.08
02e11f287b,2477bcd35e,elements,7,1S,,x,0.8,,0.0,,0.8
0317c09b85,3babb9fe8d,elements,4,SSpB,,,1.1,,-0.11,,0.99
0349953710,b5e5181ce5,elements,2,2Lo,,,1.7,,0.0,,1.7
034c470844,ebdfb1fe5d,elements,,,,,7.81,,,,7.05
034d360145,404022f49f,elements,5,CoSpB,,,1.5,,0.15,,1.65
034ec57409,b2e4ff3ef7,elements,1,StSqB,,,1.5,,-0.1,,1.4
0355ca7096,536a6c986d,components,,Skating Skills,,,,2.5,,,3.0
0364df6c6c,9071530734,components,,Interpretation of the Music,,,,1.7,,,3.0
0385dd81d2,542d4970b9,elements,3,StSq1,,,1.8,,-0.12,,1.68
0389f5bf28,9071530734,elements,8,1A+1Lo,,,1.6,,0.0,,1.6
039bc46921,6cdcb662e6,elements,4,2T,,,1.3,,0.04,,1.34
03b966d673,452f219b70,elements,6,StSq,,,0.0,,0.0,,0.0
03f767bcaa,e5979d4a9e,elements,5,2Sq,q,,1.3,,-0.65,,0.65
