competition,program,pdf
Championnat de France (France 3),Coupe de France 2022,CdF22_CDFNOVICESMESSIEURS_FS_Scores.pdf
Championnat de France (France 3),Coupe de France 2022,CdF22_CDFSENIORSMESSIEURS_FS_Scores.pdf
Coupe Prido,BASIC NOVICE JUNIORS/SENIORS DAMES FREE SKATING,BASICNOVICEJUNIORSSENIORSDames_FS_Scores.pdf
Coupe Prido,BASIC NOVICE MINIMES/NOVICES DAMES FREE SKATING,BASICNOVICEMINIMESNOVICESDames_FS_Scores.pdf
Coupe Prido,CATEGORIE A BENJAMINS DAMES FREE SKATING,CATEGORIEABENJAMINSDames_FS_Scores.pdf
Coupe Prido,CATEGORIE A OPEN MINIMES DAMES FREE SKATING,CATEGORIEAOPENMINIMESDames_FS_Scores.pdf
Coupe Prido,CATEGORIE A POUSSINS DAMES FREE SKATING,CATEGORIEAPOUSSINSDames_FS_Scores.pdf
Coupe Prido,F1 JUNIORS DAMES FREE SKATING,F1JUNIORSDames_FS_Scores.pdf
Coupe Prido,F1 NOVICES DAME FREE SKATING,F1NOVICESDame_FS_Scores.pdf
Coupe Prido,F1 NOVICES MESSIEURS FREE SKATING,F1NOVICESMessieurs_FS_Scores.pdf
Coupe Prido,F2 BENJAMINS DAMES FREE SKATING,F2BENJAMINSDames_FS_Scores.pdf
Coupe Prido,F2 JUNIORS DAMES FREE SKATING,F2JUNIORSDames_FS_Scores.pdf
Coupe Prido,F2 MINIMES DAMES FREE SKATING,F2MINIMESDames_FS_Scores.pdf
Coupe des Costières,BASIC NOVICE  JUNIORS SENIORS DAMES FREE SKATING,BASICNOVICEJuniorsSeniorsDames_FS_Scores.pdf
Coupe des Costières,BASIC NOVICE MINIMES NOVICES DAMES FREE SKATING,BASICNOVICEMinimesNovicesDames_FS_Scores.pdf
Coupe des Costières,FEDERAL 1 BENJAMINES FILLES FREE SKATING,FEDERAL1BenjaminesFilles_FS_Scores.pdf
Coupe des Costières,FEDERAL 1 JUNIORS DAMES FREE SKATING,FEDERAL1JuniorsDames_FS_Scores.pdf
Coupe des Costières,FEDERAL 1 MINIMES FILLES FREE SKATING,FEDERAL1MinimesFilles_FS_Scores.pdf
Coupe des Costières,FEDERAL 1 NOVICES DAMES FREE SKATING,FEDERAL1NovicesDames_FS_Scores.pdf
Coupe des Costières,FEDERAL 1 NOVICES MESSSIEURS FREE SKATING,FEDERAL1NovicesMesssieurs_FS_Scores.pdf
Coupe des Costières,FEDERAL 2 BENJAMINES FILLES FREE SKATING,FEDERAL2BenjaminesFilles_FS_Scores.pdf
Coupe des Costières,FEDERAL 2 MINIMES FILLES FREE SKATING,FEDERAL2MinimesFilles_FS_Scores.pdf
Coupe des Costières,INTERMEDIAIRE JUNIORS SENIORS DAMES FREE SKATING,INTERMEDIAIREJuniorsSeniorsDames_FS_Scores.pdf
Coupe des Costières,N2 NOVICES MESSIEURS FREE SKATING,N2NovicesMessieurs_FS_Scores.pdf
Coupe des Costières,N2 POUSSINES FILLES FREE SKATING,N2PoussinesFilles_FS_Scores.pdf
Coupe des Costières,N2 SENIORS MESSIEURS FREE SKATING,N2SeniorsMessieurs_FS_Scores.pdf
Coupe des Violettes,CAT B MINIME FILLES FREE SKATING,SFCSO-22_CatBMinimeFilles_FS_Scores.pdf
